('npm:react-popper', '0.10.4')
('npm:scss-tokenizer', '0.2.3')
('npm:handle-thing', '1.2.5')
('npm:fs-extra', '6.0.1')
('npm:babel-plugin-transform-es2015-block-scoped-functions', '6.22.0')
('npm:commander', '2.15.1')
('npm:@babel/helper-optimise-call-expression', '7.0.0')
('npm:wrappy', '1.0.2')
('npm:buffer-xor', '1.0.3')
('npm:repeat-element', '1.1.2')
('npm:babylon', '6.18.0')
('npm:postcss-loader', '2.0.8')
('npm:walker', '1.0.7')
('npm:multer', '1.4.1')
('npm:sockjs-client', '1.1.4')
('npm:@babel/helper-get-function-arity', '7.0.0')
('npm:@types/react-redux', '^ 6.0.9')
('npm:postcss-calc', '5.3.1')
('npm:@babel/helper-define-map', '7.1.0')
('npm:bonjour', '3.5.0')
('npm:html-webpack-plugin', '2.29.0')
('npm:amdefine', '1.0.1')
('npm:react-ga', '^ 2.5.6')
('npm:extend', '3.0.2')
('npm:path-browserify', '0.0.0')
('npm:uglifyjs-webpack-plugin', '0.4.6')
('npm:pretty-format', '20.0.3')
('npm:spdx-expression-parse', '3.0.0')
('npm:dns-txt', '2.0.2')
('npm:npm-packlist', '1.1.10')
('npm:node-releases', '1.1.7')
('npm:v8flags', '3.1.2')
('npm:detect-node', '2.0.3')
('npm:are-we-there-yet', '1.1.5')
('npm:autoprefixer', '6.7.7')
('npm:timed-out', '4.0.1')
('npm:dotenv-expand', '4.2.0')
('npm:evp_bytestokey', '1.0.3')
('npm:topo', '3.0.0')
('npm:leven', '2.1.0')
('npm:postcss-discard-unused', '2.2.3')
('npm:color-string', '0.3.0')
('npm:@babel/plugin-transform-template-literals', '7.2.0')
('npm:d3-time', '1.0.10')
('npm:for-in', '1.0.2')
('npm:babel-plugin-transform-es2015-classes', '6.24.1')
('npm:awesome-typescript-loader', '5.2.0')
('npm:js-sha256', '^ 0.9.0')
('npm:@babel/helper-regex', '7.0.0')
('npm:path-parse', '1.0.5')
('npm:react-redux', '5.0.7')
('npm:normalize-range', '0.1.2')
('npm:tunnel-agent', '0.6.0')
