('npm:coa', '2.0.2')
('pip:lxml', '4.9.1')
('npm:internal-slot', '1.0.3')
('pip:pillow', '9.3.0')
('npm:css-tree', '1.1.3')
('pip:apipkg', '1.5')
('npm:@babel/helper-optimise-call-expression', '7.16.7')
('pip:frozenlist', '1.3.3')
('pip:django-db-file-storage', '0.5.3')
('npm:electron-to-chromium', '1.4.131')
('npm:postcss', '7.0.39')
('npm:esbuild-freebsd-64', '0.14.38')
('npm:consolidate', '0.16.0')
('npm:@babel/helper-plugin-utils', '7.16.7')
('pip:django-storages', '1.11.1')
('pip:django-filter', '2.4.0')
('npm:vite-plugin-vue2-svg', '0.1.8')
('pip:django-model-utils', '4.0.0')
('npm:html-tags', '2.0.0')
('npm:is-shared-array-buffer', '1.0.2')
('pip:pynacl', '1.3.0')
('npm:open', '8.4.0')
('pip:joblib', '1.2.0')
('pip:bcrypt', '3.1.6')
('npm:has-bigints', '1.0.2')
('pip:paramiko', '2.12.0')
('npm:@babel/helper-replace-supers', '7.16.7')
('npm:@babel/core', '7.17.10')
('npm:is-core-module', '2.9.0')
('pip:flatten-json', '0.1.7')
('pip:faker', '13.15.1')
('npm:color-name', '1.1.4')
('pip:playwright', '1.35.0')
('pip:pip', '21.3.1')
('npm:esbuild-linux-64', '0.14.38')
('pip:pytest-base-url', '2.0.0')
('npm:semver', '6.3.0')
('npm:entities', '2.2.0')
('npm:@jridgewell/trace-mapping', '0.3.9')
('pip:setuptools', '65.6.3')
('pip:numpy', '1.21.6')
('npm:universalify', '2.0.0')
('npm:@jridgewell/sourcemap-codec', '1.4.12')
('npm:esbuild-android-arm64', '0.14.38')
('pip:uritemplate', '3.0.0')
('pip:tqdm', '4.29.1')
('pip:amqp', '2.4.0')
('pip:wcwidth', '0.2.5')
('npm:is-weakref', '1.0.2')
('npm:prettier', '2.6.2')
('npm:@babel/parser', '7.17.10')
('npm:normalize-path', '3.0.0')
('pip:tomli', '2.0.1')
('pip:itypes', '1.1.0')
('npm:path-parse', '1.0.7')
('npm:vue-router', '3.5.3')
('npm:source-map', '0.7.3')
('pip:fabric3', '1.14.post1')
('pip:retry', '0.9.2')
('pip:psutil', '5.7.0')
('pip:moto', '2.0.8')
('pip:billiard', '3.6.0.0')
('npm:y18n', '5.0.8')
('npm:sprintf-js', '1.0.3')
('com.github.harvard-lil/capstone', '')
('pip:django-pipeline', '2.0.6')
('pip:geoip2', '3.0.0')
('npm:@babel/highlight', '7.17.9')
('pip:pycodestyle', '2.6.0')
('pip:webpage2html', '0.3.6')
('npm:chalk', '2.4.2')
('npm:is-regex', '1.1.4')
('npm:esbuild-darwin-64', '0.14.38')
('npm:stable', '0.1.8')
('npm:esbuild-windows-32', '0.14.38')
('npm:is-number-object', '1.0.7')
('pip:django-hosts', '4.0')
('pip:bagit', '1.7.0')
('pip:pip-tools', '6.4.0')
('pip:more-itertools', '5.0.0')
('npm:string.prototype.trimstart', '1.0.5')
('npm:vue-template-es2015-compiler', '1.9.1')
('npm:debug', '4.3.4')
('npm:vue-functional-data-merge', '3.1.0')
('npm:tr46', '0.0.3')
('npm:side-channel', '1.0.4')
('pip:packaging', '20.4')
('npm:jquery', '3.6.0')
('npm:rollup', '2.77.3')
('pip:botocore', '1.31.11')
('npm:@babel/runtime', '7.17.9')
('npm:cssesc', '3.0.0')
('npm:mark.js', '8.11.1')
('npm:esbuild-darwin-arm64', '0.14.38')
('npm:url-polyfill', '1.1.12')
('npm:@jridgewell/set-array', '1.1.0')
('npm:postcss-selector-parser', '6.0.10')
('pip:wheel', '0.38.4')
('pip:flake8', '3.8.3')
('pip:django-extensions', '3.1.2')
('pip:img2pdf', '0.3.3')
('npm:mdn-data', '2.0.14')
('pip:maxminddb', '1.5.2')
('npm:domelementtype', '2.3.0')
('pip:prompt-toolkit', '3.0.8')
('npm:lodash.debounce', '4.0.8')
('npm:scroll-into-view-if-needed', '2.2.29')
('pip:pygments', '2.15.1')
('pip:importlib-metadata', '1.6.0')
('npm:function-bind', '1.1.1')
('npm:he', '1.2.0')
('pip:mirakuru', '1.1.0')
('npm:@jridgewell/resolve-uri', '3.0.6')
('npm:object-inspect', '1.12.0')
('pip:libsasscompiler', '0.1.8')
('npm:picocolors', '0.2.1')
('pip:click', '7.1.2')
('pip:pytest-redis', '2.0.0')
('npm:vue-slider-component', '3.2.15')
('npm:esbuild-windows-arm64', '0.14.38')
('pip:dictdiffer', '0.8.1')
('pip:pycurl', '7.43.0.5')
