('npm:dom-serializer', '0.1.1')
('npm:@jest/transform', '26.6.2')
('npm:yargs', '15.4.1')
('go:github.com/hashicorp/go-secure-stdlib/awsutil', '0.1.6')
('npm:domexception', '2.0.1')
('npm:yargs-parser', '20.2.9')
('npm:internal-slot', '1.0.3')
('npm:fs-extra', '6.0.1')
('npm:babel-plugin-transform-es2015-block-scoped-functions', '6.22.0')
('npm:commander', '2.15.1')
('go:github.com/pelletier/go-toml/v2', '2.0.2')
('npm:wrappy', '1.0.2')
('npm:schema-utils', '2.7.0')
('npm:@istanbuljs/schema', '0.1.3')
('npm:buffer-xor', '1.0.3')
('go:github.com/ghodss/yaml', '1.0.0')
('npm:babylon', '6.18.0')
('go:github.com/klauspost/cpuid', '1.2.3')
('npm:emittery', '0.7.2')
('npm:which-typed-array', '1.1.9')
('npm:inquirer', '7.3.3')
('npm:tr46', '2.1.0')
('npm:es-abstract', '1.21.1')
('npm:array-initial', '1.1.0')
('npm:walker', '1.0.7')
('npm:configstore', '5.0.1')
('go:github.com/hashicorp/go-hclog', '1.2.1')
('npm:inflected', '2.0.4')
('npm:chrome-trace-event', '1.0.2')
('npm:memorystream', '0.3.1')
('npm:testem', '3.4.3')
('go:github.com/DataDog/datadog-go', '4.0.0+incompatible')
('go:github.com/go-openapi/jsonpointer', '0.19.5')
('npm:escape-string-regexp', '2.0.0')
('go:github.com/golang/groupcache', '0.0.0-20210331224755-41bb18bfe9da')
('npm:globby', '11.0.1')
('npm:eslint-config-next', '13.1.2')
('npm:lodash.foreach', '4.5.0')
('go:github.com/hashicorp/golang-lru', '0.5.4')
('npm:amdefine', '1.0.1')
('npm:extend', '3.0.2')
('npm:linkify-it', '3.0.2')
('npm:@babel/plugin-transform-unicode-escapes', '7.16.7')
('npm:@hashicorp/platform-cli', '2.6.0')
('npm:@babel/plugin-transform-spread', '7.16.7')
('go:github.com/go-playground/universal-translator', '0.17.0')
('go:github.com/spf13/pflag', '1.0.5')
('npm:@webassemblyjs/ieee754', '1.11.1')
('npm:date-time', '2.1.0')
('npm:@babel/plugin-transform-shorthand-properties', '7.16.7')
('npm:style-loader', '2.0.0')
('npm:depd', '2.0.0')
('npm:each-props', '1.3.2')
('go:google.golang.org/genproto', '0.0.0-20221201164419-0e50fba7f41c')
('npm:@typescript-eslint/eslint-plugin', '5.36.2')
('npm:p-limit', '3.1.0')
('go:github.com/json-iterator/go', '1.1.12')
('npm:is-finite', '1.1.0')
('npm:are-we-there-yet', '1.1.5')
('npm:@babel/plugin-proposal-unicode-property-regex', '7.16.7')
('npm:data-urls', '2.0.0')
('go:github.com/jbenet/go-context', '0.0.0-20150711004518-d14ea06fba99')
('npm:faker', '5.1.0')
('npm:@babel/plugin-transform-modules-commonjs', '7.16.8')
('npm:evp_bytestokey', '1.0.3')
('npm:string.prototype.trimstart', '1.0.4')
('npm:resolve-from', '5.0.0')
('npm:semver', '6.3.0')
('npm:babel-import-util', '1.1.0')
('npm:tinycolor2', '1.4.2')
('npm:vfile-statistics', '2.0.0')
('npm:ms', '2.0.0')
('npm:error', '7.2.1')
('npm:now-and-later', '2.0.1')
('npm:for-in', '1.0.2')
('npm:eslint-plugin-import', '2.27.4')
('npm:get-stream', '6.0.1')
('npm:process-relative-require', '1.0.0')
('npm:@types/ember__polyfills', '3.12.0')
('npm:jest-haste-map', '26.6.2')
('npm:babel-plugin-transform-es2015-classes', '6.24.1')
('go:github.com/sabhiram/go-gitignore', '0.0.0-20201211210132-54b8a0bf510f')
('npm:universalify', '2.0.0')
('npm:@types/babel__traverse', '7.14.2')
('npm:ember-load-initializers', '2.1.2')
('go:k8s.io/utils', '0.0.0-20220210201930-3a6ce19ff2f9')
('npm:async-settle', '1.0.0')
('npm:image-size', '0.8.3')
('npm:can-symlink', '1.0.0')
('npm:request', '2.88.2')
('npm:broccoli-favicon', '3.0.0')
('npm:normalize-range', '0.1.2')
('npm:@types/minimatch', '3.0.5')
('npm:@embroider/shared-internals', '0.41.0')
('npm:normalize-path', '3.0.0')
('npm:source-map-support', '0.4.18')
('npm:istanbul-lib-source-maps', '4.0.1')
('npm:tunnel-agent', '0.6.0')
('npm:babel-helper-function-name', '6.24.1')
('npm:heimdalljs-logger', '0.1.10')
('npm:semver', '7.3.5')
('npm:mime-types', '2.1.35')
('npm:ember-cli-inject-live-reload', '2.1.0')
('npm:babel-plugin-transform-es2015-shorthand-properties', '6.24.1')
('npm:array-each', '1.0.1')
('npm:eslint-import-resolver-node', '0.3.7')
('npm:@next/swc-freebsd-x64', '12.3.1')
('npm:is-descriptor', '0.1.6')
('npm:vinyl-fs', '3.0.3')
('npm:is-interactive', '1.0.0')
('npm:available-typed-arrays', '1.0.5')
('npm:memory-fs', '0.4.1')
('go:k8s.io/kubectl', '0.24.2')
('npm:color-string', '1.6.0')
('go:github.com/Masterminds/semver/v3', '3.1.1')
('npm:@typescript-eslint/type-utils', '5.36.2')
('npm:sprintf-js', '1.0.3')
('npm:accepts', '1.3.8')
('actions:actions/checkout', 'c85c95e3d7251135ab7dc9ce3241c5835cc595a9')
('go:github.com/bgentry/go-netrc', '0.0.0-20140422174119-9fd32a8b3d3d')
('go:github.com/hashicorp/go-argmapper', '0.2.4')
('npm:@hashicorp/platform-content-conformance', '0.0.10')
('npm:nth-check', '1.0.2')
('npm:js-sdsl', '4.1.5')
('npm:rollup-plugin-commonjs', '9.3.4')
('npm:@typescript-eslint/typescript-estree', '5.48.1')
('npm:ember-factory-for-polyfill', '1.3.1')
('npm:bn.js', '4.12.0')
('npm:stable', '0.1.8')
('npm:@jimp/plugin-dither', '0.16.1')
('npm:is-number-object', '1.0.5')
('npm:postcss-scss', '2.1.1')
('npm:p-locate', '6.0.0')
('npm:eslint-plugin-prettier', '4.2.1')
('npm:walker', '1.0.8')
('npm:lodash.mapvalues', '4.6.0')
('npm:is-fullwidth-code-point', '1.0.0')
('npm:string.prototype.trimend', '1.0.4')
('npm:sync-disk-cache', '1.3.4')
('npm:babel-plugin-syntax-trailing-function-commas', '6.22.0')
('go:contrib.go.opencensus.io/exporter/ocagent', '0.6.0')
('actions:hashicorp/actions-docker-build', '1.*.*')
('go:github.com/bmatcuk/doublestar', '1.1.5')
('go:github.com/opencontainers/go-digest', '1.0.0')
('npm:broccoli-babel-transpiler', '7.8.0')
('npm:snapdragon-node', '2.1.1')
('npm:broccoli-merge-trees', '3.0.2')
('npm:has-bigints', '1.0.1')
('npm:html-encoding-sniffer', '2.0.1')
('npm:eslint-plugin-ember', '10.5.8')
('npm:is-generator-fn', '2.1.0')
('npm:tr46', '0.0.3')
('go:github.com/sirupsen/logrus', '1.8.1')
('go:github.com/gorilla/mux', '1.8.0')
('go:github.com/hashicorp/vault/api', '1.8.0')
('npm:node-eval', '1.1.1')
('npm:@types/ua-parser-js', '0.7.33')
('npm:cipher-base', '1.0.4')
('npm:cssesc', '3.0.0')
('npm:eslint', '8.26.0')
('npm:bn.js', '5.1.2')
('npm:is-function', '1.0.2')
('go:github.com/golang-jwt/jwt/v4', '4.2.0')
('npm:object-inspect', '1.12.3')
('npm:favicons', '6.2.2')
('npm:@babel/compat-data', '7.16.8')
('npm:babel-plugin-debug-macros', '0.3.4')
('npm:normalize-path', '2.1.1')
('npm:array-flatten', '1.1.1')
('npm:browserify-rsa', '4.0.1')
('npm:ember-intl', '5.7.2')
('go:github.com/hashicorp/go-secure-stdlib/parseutil', '0.1.6')
('npm:filesize', '3.6.1')
('npm:minipass', '2.9.0')
('npm:oauth-sign', '0.9.0')
('npm:serialize-javascript', '6.0.0')
('npm:@babel/plugin-syntax-import-meta', '7.10.4')
('npm:run-queue', '1.0.3')
('npm:@types/json-schema', '7.0.9')
('npm:hmac-drbg', '1.0.1')
('npm:homedir-polyfill', '1.0.3')
('npm:decompress-response', '4.2.1')
('npm:babel-preset-current-node-syntax', '1.0.1')
('npm:debug', '2.6.9')
('npm:@types/fs-extra', '5.1.0')
('go:github.com/pelletier/go-toml', '1.9.5')
('npm:lodash.get', '4.4.2')
('npm:babel-plugin-transform-es2015-modules-systemjs', '6.24.1')
('npm:gulp-eval', '1.0.0')
('npm:listr2', '3.12.1')
('npm:@ember/test-waiters', '3.0.0')
('npm:p-finally', '1.0.0')
('go:github.com/chai2010/gettext-go', '0.0.0-20160711120539-c6fed771bfd5')
('go:github.com/gorilla/handlers', '1.5.1')
('npm:browser-stdout', '1.3.1')
('npm:@babel/plugin-syntax-dynamic-import', '7.8.3')
('npm:ignore', '5.2.0')
('go:github.com/envoyproxy/protoc-gen-validate', '0.1.0')
('npm:@babel/compat-data', '7.14.7')
('npm:@babel/plugin-syntax-class-properties', '7.12.13')
('npm:make-dir', '3.1.0')
('npm:remark-parse', '9.0.0')
('npm:slugify', '1.4.6')
('go:github.com/opencontainers/image-spec', '1.0.3-0.20211202183452-c5a74bcca799')
('npm:@types/component-emitter', '1.2.11')
('npm:intl-messageformat', '9.3.20')
('npm:@types/express', '4.17.13')
('npm:@webassemblyjs/wasm-parser', '1.11.1')
('go:github.com/googleapis/enterprise-certificate-proxy', '0.2.0')
('npm:zwitch', '1.0.5')
('npm:regjsparser', '0.6.4')
('npm:shebang-command', '2.0.0')
('npm:lodash.castarray', '4.4.0')
('npm:axobject-query', '3.1.1')
('npm:ember-cli-page-object', '1.17.10')
('npm:ecc-jsbn', '0.1.2')
('npm:buffer-fill', '1.0.0')
('npm:broccoli-plugin', '2.1.0')
('npm:lodash.debounce', '3.1.1')
('npm:stylelint-config-standard', '20.0.0')
('npm:walk-sync', '3.0.0')
('npm:@types/stack-utils', '2.0.1')
('go:github.com/cenkalti/backoff/v3', '3.0.0')
('npm:@babel/plugin-transform-block-scoping', '7.16.7')
('npm:broccoli-middleware', '2.1.1')
('npm:handlebars', '4.7.7')
('npm:decamelize-keys', '1.1.0')
('npm:chokidar', '2.1.8')
('npm:simple-html-tokenizer', '0.5.11')
('go:github.com/heroku/color', '0.0.6')
('go:google.golang.org/grpc/cmd/protoc-gen-go-grpc', '1.3.0')
('npm:globals', '9.18.0')
('npm:aggregate-error', '3.1.0')
('npm:babel-plugin-transform-es2015-destructuring', '6.23.0')
('npm:http-proxy', '1.18.1')
('npm:human-signals', '2.1.0')
('npm:is-arrayish', '0.2.1')
('npm:is-alphanumeric', '1.0.0')
('go:sigs.k8s.io/kustomize/kyaml', '0.13.6')
('npm:array-to-sentence', '1.1.0')
('npm:type', '1.2.0')
('npm:string-width', '4.2.3')
('npm:p-locate', '3.0.0')
('npm:cookie-signature', '1.0.6')
('npm:graceful-fs', '4.2.9')
('npm:picocolors', '1.0.0')
('npm:pkg-dir', '3.0.0')
('npm:object-assign', '2.1.1')
('npm:@humanwhocodes/config-array', '0.11.8')
('npm:quick-temp', '0.1.8')
('go:github.com/kevinburke/go-bindata', '3.23.0+incompatible')
('npm:body', '5.1.0')
('go:github.com/googleapis/gax-go/v2', '2.7.0')
('npm:eslint-config-prettier', '8.5.0')
('npm:jsonfile', '6.0.1')
('npm:buffer-alloc', '1.2.0')
('npm:exec-sh', '0.3.6')
('npm:pumpify', '1.5.1')
('npm:babel-plugin-ember-data-packages-polyfill', '0.1.2')
('npm:@babel/helper-validator-identifier', '7.16.7')
('npm:enhanced-resolve', '5.12.0')
('npm:fastq', '1.11.1')
('npm:semver', '7.3.7')
('npm:@types/q', '1.5.4')
('go:github.com/hashicorp/go-secure-stdlib/mlock', '0.1.1')
('npm:ceibo', '2.0.0')
('npm:setprototypeof', '1.2.0')
('npm:hosted-git-info', '4.0.2')
('npm:binaryextensions', '2.3.0')
('npm:stream-shift', '1.0.1')
('go:github.com/hashicorp/go-secure-stdlib/strutil', '0.1.2')
('npm:unist-util-visit-parents', '5.1.3')
('npm:aws-sign2', '0.7.0')
('npm:@babel/plugin-transform-parameters', '7.20.7')
('npm:get-package-type', '0.1.0')
('npm:infer-owner', '1.0.4')
('go:gopkg.in/ini.v1', '1.66.6')
('npm:acorn-walk', '7.2.0')
('npm:@babel/plugin-transform-unicode-regex', '7.16.7')
('npm:lcid', '1.0.0')
('npm:signal-exit', '3.0.3')
('npm:v8flags', '3.2.0')
('npm:string.prototype.padend', '3.1.0')
('go:github.com/prometheus/procfs', '0.7.3')
('npm:execa', '5.1.1')
('go:github.com/go-openapi/loads', '0.20.2')
('npm:cli-truncate', '2.1.0')
('npm:execa', '1.0.0')
('npm:graceful-fs', '4.2.4')
('npm:type-check', '0.4.0')
('npm:find-up', '3.0.0')
('npm:is-arguments', '1.1.1')
('npm:lodash.flatten', '3.0.2')
('npm:component-emitter', '1.3.0')
('npm:ember-cli-clipboard', '0.15.0')
('npm:abortcontroller-polyfill', '1.7.3')
('npm:read-chunk', '1.0.1')
('npm:string_decoder', '1.1.1')
('npm:eslint-scope', '7.1.1')
('npm:tiny-lr', '2.0.0')
('go:github.com/google/gnostic', '0.5.7-v3refs')
('npm:has-value', '0.3.1')
('npm:lru-cache', '5.1.1')
('npm:array-sort', '1.0.0')
('npm:socket.io-adapter', '2.3.1')
('npm:fs-merger', '3.2.1')
('go:github.com/jmespath/go-jmespath', '0.4.0')
('npm:is-number', '3.0.0')
('npm:ember-cli-valid-component-name', '1.0.0')
('go:github.com/prometheus/common', '0.32.1')
('npm:@babel/helper-compilation-targets', '7.16.7')
('npm:@babel/plugin-syntax-object-rest-spread', '7.8.3')
('npm:indent-string', '4.0.0')
('actions:actions/download-artifact', '9bc31d5ccc31df68ecc42ccf4149144866c47d8a')
('npm:regenerator-runtime', '0.13.9')
('npm:cli-cursor', '3.1.0')
('npm:styled_string', '0.0.1')
('npm:unist-util-visit', '2.0.3')
('npm:silent-error', '1.1.1')
('npm:ansi-styles', '3.2.1')
('go:cloud.google.com/go/storage', '1.27.0')
('npm:simple-concat', '1.0.1')
('go:github.com/Azure/go-autorest/autorest/validation', '0.2.0')
('npm:bower-endpoint-parser', '0.2.2')
('npm:use-sync-external-store', '1.2.0')
('npm:define-properties', '1.1.3')
('npm:jsesc', '1.3.0')
('npm:@babel/helper-define-polyfill-provider', '0.2.3')
('npm:resolve', '1.22.0')
('npm:copy-props', '2.0.5')
('npm:babel-plugin-transform-regenerator', '6.26.0')
('npm:postcss-less', '3.1.4')
('npm:escodegen', '2.0.0')
('npm:replace-ext', '1.0.1')
('npm:bower-config', '1.4.3')
('npm:electron-to-chromium', '1.3.784')
('npm:acorn-globals', '6.0.0')
('npm:mkdirp', '0.5.5')
('npm:fancy-log', '1.3.3')
('npm:jest-each', '26.6.2')
('npm:babel-polyfill', '6.26.0')
('npm:@babel/plugin-proposal-decorators', '7.16.7')
('npm:flagged-respawn', '1.0.1')
('npm:@eslint/eslintrc', '1.3.3')
('go:github.com/hashicorp/consul/api', '1.15.2')
('npm:node-addon-api', '3.2.1')
('npm:pretty-ms', '3.2.0')
('npm:ember-auto-import', '1.12.2')
('npm:ember-changeset', '3.15.0')
('npm:raw-body', '2.5.1')
('npm:whatwg-encoding', '1.0.5')
('npm:@types/chai-as-promised', '7.1.3')
('npm:set-value', '2.0.1')
('npm:remove-bom-stream', '1.2.0')
('npm:@types/serve-static', '1.13.10')
('npm:bs-logger', '0.2.6')
('npm:eventemitter3', '4.0.4')
('npm:rxjs', '6.6.0')
('npm:prebuild-install', '6.1.4')
