('rust:socket2', '0.5.7')
('npm:iterate-object', '1.3.4')
('npm:mdast-util-gfm-task-list-item', '1.0.2')
('npm:@opentelemetry/sdk-trace-node', '1.0.1')
('npm:yargs', '15.4.1')
('rust:tonic-build', '0.9.2')
('rust:pin-project', '1.1.5')
('npm:@sentry/browser', '7.116.0')
('npm:yargs-parser', '20.2.9')
('npm:@tootallnate/quickjs-emscripten', '0.23.0')
('npm:pretty-format', '27.3.1')
('rust:vsimd', '0.8.0')
('rust:serde_derive', '1.0.204')
('npm:babel-plugin-react-docgen', '4.2.1')
('npm:whatwg-url', '7.1.0')
('rust:libp2p-stream', '0.1.0-alpha.1')
('npm:wrappy', '1.0.2')
('npm:@istanbuljs/schema', '0.1.3')
('rust:libp2p', '0.53.2')
('npm:react-number-format', '5.0.1')
('npm:detect-port', '1.5.1')
('npm:typical', '2.6.1')
('npm:@babel/plugin-transform-private-methods', '7.24.1')
('rust:opentelemetry_api', '0.18.0')
('rust:rusty-fork', '0.3.0')
('npm:es-shim-unscopables', '1.0.2')
('npm:@babel/plugin-transform-block-scoped-functions', '7.24.1')
('npm:@esbuild/win32-x64', '0.18.20')
('npm:@motionone/generators', '10.9.0')
('npm:@msgpackr-extract/msgpackr-extract-linux-x64', '3.0.2')
('npm:hast-util-parse-selector', '2.2.5')
('npm:@aws-sdk/middleware-location-constraint', '3.433.0')
('rust:lru-cache', '0.1.2')
('npm:memorystream', '0.3.1')
('npm:@storybook/cli', '7.0.5')
('npm:@redis/graph', '1.1.1')
('npm:parseley', '0.7.0')
('npm:use-memo-one', '1.1.3')
('npm:minipass', '4.2.8')
('rust:ipnet', '2.9.0')
('npm:is-docker', '3.0.0')
('npm:@types/wait-on', '5.3.1')
('npm:globby', '11.0.1')
('rust:tarpc', '>= 0.33.0,< 0.34.0')
('npm:fbemitter', '3.0.0')
('npm:@storybook/router', '7.0.5')
('npm:@types/node', '12.20.55')
('npm:extend', '3.0.2')
('npm:@radix-ui/primitive', '1.0.0')
('npm:prebuild-install', '7.1.1')
('npm:@aws-sdk/credential-provider-env', '3.433.0')
('npm:@whatwg-node/events', '0.0.3')
('npm:eslint-plugin-typescript-sort-keys', '3.2.0')
('rust:quick-error', '1.2.3')
('npm:@isaacs/cliui', '8.0.2')
('npm:postcss', '8.4.31')
('rust:windows-sys', '0.48.0')
('npm:@esbuild/darwin-x64', '0.19.12')
('npm:prosemirror-dev-tools', '3.1.0')
('npm:vfile-matter', '3.0.1')
('npm:depd', '2.0.0')
('npm:shallow-clone', '0.1.2')
('npm:@rust/hash-status', '0.0.0-private')
('npm:wrap-ansi', '8.1.0')
('npm:pg', '8.11.5')
('rust:include_dir', '0.7.4')
('npm:micromark-util-html-tag-name', '1.0.0')
('npm:@emotion/babel-plugin', '11.11.0')
('npm:p-limit', '3.1.0')
('npm:micromark-util-character', '2.1.0')
('npm:is-generator-function', '1.0.10')
('rust:iso8601-duration', '0.2.0')
('rust:multiaddr', '0.18.1')
