('npm:@types/glob', '7.1.1')
('npm:events', '3.1.0')
('npm:pinkie', '2.0.4')
('npm:mute-stream', '0.0.8')
('npm:astral-regex', '1.0.0')
('npm:ansi-colors', '3.2.4')
('npm:npm-run-path', '2.0.2')
('npm:mixin-deep', '1.3.2')
('npm:validator', '10.11.0')
('npm:@types/selenium-webdriver', '3.0.16')
('npm:@ionic-native/core', '5.8.0')
('npm:balanced-match', '1.0.0')
('npm:shebang-command', '1.2.0')
('npm:hash-base', '3.0.4')
('npm:lodash', '4.17.15')
('npm:ieee754', '1.1.13')
('npm:jest-worker', '24.9.0')
('npm:postcss-load-config', '2.1.0')
('npm:mime-types', '2.1.24')
('npm:url', '0.11.0')
('npm:wrappy', '1.0.2')
('npm:buffer-xor', '1.0.3')
('npm:typescript', '3.5.3')
('npm:@babel/helper-split-export-declaration', '7.4.4')
('npm:@angular/platform-browser', '8.2.14')
('npm:eventemitter3', '3.1.2')
('npm:@babel/helper-compilation-targets', '7.8.4')
('npm:@typescript-eslint/parser', '2.20.0')
('npm:is-utf8', '0.2.1')
('npm:@babel/plugin-transform-modules-amd', '7.8.3')
('npm:events', '1.1.1')
('npm:es-abstract', '1.13.0')
('npm:randombytes', '2.1.0')
('npm:moment-timezone', '0.5.27')
('npm:anymatch', '2.0.0')
('npm:cookie', '0.4.0')
('npm:bytes', '3.0.0')
('npm:is-ip', '2.0.0')
('npm:escape-html', '1.0.3')
('npm:@babel/plugin-transform-async-to-generator', '7.8.3')
('npm:through', '2.3.8')
('npm:chrome-trace-event', '1.0.2')
('npm:@babel/helper-get-function-arity', '7.0.0')
('npm:is-accessor-descriptor', '0.1.6')
('npm:json-schema-traverse', '0.4.1')
('npm:regexpp', '3.0.0')
('npm:@webassemblyjs/helper-module-context', '1.8.5')
('npm:mime-db', '1.38.0')
('npm:@babel/helper-call-delegate', '7.8.3')
('npm:pg-types', '2.0.0')
('npm:@types/eslint-visitor-keys', '1.0.0')
('npm:pinkie-promise', '2.0.1')
('npm:nan', '2.14.0')
('npm:postgres-bytea', '1.0.0')
('npm:bonjour', '3.5.0')
('npm:encodeurl', '1.0.2')
('npm:browserify-des', '1.0.2')
