('npm:lower-case', '1.1.4')
('npm:pinkie', '2.0.4')
('npm:@angular/language-service', '4.4.7')
('npm:scss-tokenizer', '0.2.3')
('npm:handle-thing', '1.2.5')
('npm:d3-collection', '1.0.7')
('npm:npm-run-path', '2.0.2')
('npm:balanced-match', '1.0.0')
('npm:shebang-command', '1.2.0')
('npm:hash-base', '3.0.4')
('npm:magic-string', '0.22.5')
('maven:com.spotify:docker-client', '8.16.0')
('npm:url', '0.11.0')
('npm:wrappy', '1.0.2')
('npm:buffer-xor', '1.0.3')
('npm:domelementtype', '1.2.1')
('npm:babylon', '6.18.0')
('npm:loader-runner', '2.3.1')
('npm:math-random', '1.0.1')
('npm:is-utf8', '0.2.1')
('npm:postcss-import', '11.1.0')
('npm:events', '1.1.1')
('npm:bytes', '3.0.0')
('npm:webpack-subresource-integrity', '1.2.0')
('maven:com.mycila:license-maven-plugin', '2.11')
('npm:mime-types', '2.1.21')
('npm:d3-interpolate', '1.3.2')
('npm:escape-html', '1.0.3')
('npm:istanbul-lib-coverage', '1.2.1')
('npm:through', '2.3.8')
('npm:d3-scale', '2.1.2')
('npm:chartjs-color-string', '0.5.0')
('npm:thunky', '1.0.3')
('npm:array-includes', '3.0.3')
('npm:is-accessor-descriptor', '0.1.6')
('maven:com.fasterxml.jackson.dataformat:jackson-dataformat-yaml', '2.8.8')
('npm:pinkie-promise', '2.0.1')
('npm:bonjour', '3.5.0')
('npm:encodeurl', '1.0.2')
('npm:aws-sign2', '0.6.0')
('npm:browserify-des', '1.0.2')
('npm:trim-right', '1.0.1')
('npm:amdefine', '1.0.1')
('npm:babel-runtime', '6.26.0')
('npm:extend', '3.0.2')
('npm:load-json-file', '1.1.0')
('npm:path-browserify', '0.0.0')
('npm:to-arraybuffer', '1.0.1')
('npm:stream-http', '2.8.3')
('npm:is-extendable', '0.1.1')
('npm:aws4', '1.8.0')
('npm:electron-to-chromium', '1.3.83')
('npm:node-forge', '0.7.5')
('npm:extend-shallow', '3.0.2')
('npm:regjsgen', '0.2.0')
('npm:d3-format', '1.3.2')
('npm:spdx-expression-parse', '3.0.0')
('npm:asap', '2.0.6')
('maven:nz.ac.waikato.cms.weka:weka-stable', '3.8.0')
('npm:dns-txt', '2.0.2')
('npm:class-utils', '0.3.6')
('npm:from2', '2.3.0')
('npm:strip-json-comments', '2.0.1')
('npm:select-hose', '2.0.0')
('npm:to-regex', '3.0.2')
('npm:cacache', '10.0.4')
('npm:@angular/http', '5.2.11')
('maven:commons-collections:commons-collections', '3.2.2')
('npm:moment', '2.22.2')
('npm:d3-transition', '1.2.0')
('npm:are-we-there-yet', '1.1.5')
('npm:arr-flatten', '1.1.0')
('maven:org.slf4j:slf4j-log4j12', '')
('npm:setprototypeof', '1.1.0')
('npm:define-property', '2.0.2')
('npm:semver-dsl', '1.0.1')
('maven:org.json:json', '20160810')
('npm:evp_bytestokey', '1.0.3')
('npm:color-name', '1.1.4')
('npm:stylus-loader', '3.0.2')
('npm:angular-svg-round-progressbar', '1.2.1')
('npm:glob-parent', '2.0.0')
('npm:which', '1.3.1')
('maven:org.eclipse.jetty:jetty-maven-plugin', '9.3.13.v20161014')
('npm:utils-merge', '1.0.1')
('npm:ms', '2.0.0')
('npm:bn.js', '4.11.8')
('npm:postcss', '6.0.23')
('npm:d3-time', '1.0.10')
('npm:ajv-keywords', '3.2.0')
('npm:for-in', '1.0.2')
('npm:caniuse-lite', '1.0.30000905')
('npm:browserify-sign', '4.0.4')
('npm:buffer', '4.9.1')
