('npm:mdast-util-gfm-task-list-item', '1.0.2')
('npm:inquirer', '8.2.6')
('npm:rbush', '2.0.2')
('npm:domexception', '2.0.1')
('npm:chart.js', '4.4.2')
('npm:yargs-parser', '20.2.9')
('npm:@types/supercluster', '7.1.3')
('npm:hastscript', '7.2.0')
('npm:whatwg-url', '7.1.0')
('npm:wrappy', '1.0.2')
('npm:schema-utils', '2.7.0')
('npm:@istanbuljs/schema', '0.1.3')
('npm:@babel/plugin-proposal-private-property-in-object', '7.21.11')
('pip:psycopg2', '2.9.6')
('npm:@pixi/filter-glow', '5.2.1')
('npm:@rapid-sdk/util', '1.0.0-pre.2')
('npm:@babel/plugin-transform-private-methods', '7.24.1')
('npm:tr46', '2.1.0')
('npm:final-form', '4.20.10')
('npm:@types/istanbul-reports', '3.0.4')
('npm:es-shim-unscopables', '1.0.2')
('npm:@babel/plugin-transform-block-scoped-functions', '7.24.1')
('npm:comma-separated-tokens', '2.0.3')
('npm:rehype-raw', '6.1.1')
('npm:babel-jest', '27.5.1')
('npm:is-root', '2.1.0')
('npm:escape-string-regexp', '2.0.0')
('npm:es-iterator-helpers', '1.0.19')
('npm:postcss-discard-empty', '5.1.1')
('npm:react-error-overlay', '6.0.11')
('npm:extend', '3.0.2')
('npm:style-to-object', '0.4.4')
('npm:@isaacs/cliui', '8.0.2')
('npm:style-loader', '3.3.4')
('actions:docker/setup-qemu-action', '3.*.*')
('npm:depd', '2.0.0')
('npm:wrap-ansi', '8.1.0')
('npm:postcss-selector-not', '6.0.1')
('npm:@emotion/babel-plugin', '11.11.0')
('npm:caniuse-lite', '1.0.30001614')
('npm:@pixi/filter-crt', '5.1.1')
('npm:css-prefers-color-scheme', '6.0.3')
('npm:p-limit', '3.1.0')
('npm:is-generator-function', '1.0.10')
('npm:postcss-font-variant', '5.0.0')
('npm:data-urls', '2.0.0')
('npm:@babel/helper-function-name', '7.23.0')
('npm:@babel/plugin-transform-react-pure-annotations', '7.24.1')
('npm:builtin-modules', '3.3.0')
('npm:resolve-from', '5.0.0')
('npm:parse-entities', '4.0.1')
('npm:ms', '2.0.0')
('npm:workbox-precaching', '6.6.1')
('npm:http-proxy-middleware', '2.0.6')
('npm:get-stream', '6.0.1')
('npm:micromark-factory-label', '1.1.0')
('npm:html-entities', '2.5.2')
('npm:micromark-extension-gfm-task-list-item', '1.0.5')
('npm:@types/bonjour', '3.5.13')
('npm:workbox-build', '6.6.1')
('npm:refractor', '4.8.1')
('npm:@pixi/filter-blur', '7.4.0')
('npm:@svgr/babel-plugin-remove-jsx-attribute', '5.4.0')
('npm:@typescript-eslint/visitor-keys', '5.62.0')
('npm:normalize-range', '0.1.2')
('actions:docker/login-action', '3.0.0')
('npm:@nicolo-ribaudo/eslint-scope-5-internals', '5.1.1-1')
('npm:normalize-path', '3.0.0')
('npm:istanbul-lib-source-maps', '4.0.1')
('npm:mime-types', '2.1.35')
('npm:collect-v8-coverage', '1.0.2')
('npm:is-interactive', '1.0.0')
('npm:@floating-ui/core', '1.6.1')
('npm:@sentry/browser', '7.112.2')
('npm:sprintf-js', '1.0.3')
('npm:unist-util-is', '5.2.1')
('npm:accepts', '1.3.8')
('npm:@babel/plugin-proposal-private-methods', '7.18.6')
('npm:nth-check', '1.0.2')
('npm:stable', '0.1.8')
('npm:hast-util-to-string', '2.0.0')
('npm:d3-zoom', '3.0.0')
('npm:@mapbox/geojson-coords', '0.0.2')
('npm:es-object-atoms', '1.0.0')
('npm:dom-serializer', '1.4.1')
('npm:walker', '1.0.8')
('npm:static-eval', '2.0.2')
('npm:ast-types-flow', '0.0.8')
('npm:@babel/plugin-transform-async-generator-functions', '7.24.3')
('npm:rgba-regex', '1.0.0')
('npm:ci-info', '3.9.0')
('npm:lru-cache', '10.2.2')
('npm:html-encoding-sniffer', '2.0.1')
('npm:unicode-property-aliases-ecmascript', '2.1.0')
('npm:is-generator-fn', '2.1.0')
('npm:tr46', '0.0.3')
('npm:@mswjs/cookies', '0.2.2')
('npm:@pixi/utils', '7.4.0')
('npm:babel-plugin-named-asset-import', '0.3.8')
('npm:jest-environment-jsdom', '27.5.1')
('npm:cssesc', '3.0.0')
('npm:web-encoding', '1.1.5')
('npm:@types/serve-static', '1.15.7')
('npm:array-flatten', '1.1.1')
('npm:jest', '27.5.1')
('npm:@pixi/sprite-animated', '7.4.0')
('npm:@babel/plugin-syntax-flow', '7.24.1')
('npm:@webassemblyjs/helper-api-error', '1.11.6')
('npm:domelementtype', '2.3.0')
('pip:apscheduler', '3.10.1')
('npm:eslint-visitor-keys', '3.4.3')
('npm:@babel/plugin-syntax-import-meta', '7.10.4')
('npm:loader-utils', '2.0.4')
('npm:http-cache-semantics', '4.1.1')
('npm:pixi.js', '7.4.0')
('npm:babel-preset-current-node-syntax', '1.0.1')
('npm:debug', '2.6.9')
('npm:jest-environment-node', '27.5.1')
('npm:spdx-correct', '3.2.0')
('npm:postcss-flexbugs-fixes', '5.0.2')
('npm:d3-axis', '3.0.0')
('npm:find-root', '1.1.0')
('npm:@floating-ui/utils', '0.2.2')
('npm:pannellum', '2.5.6')
('npm:potpack', '2.0.0')
('npm:object.hasown', '1.1.4')
('npm:text-encoding-polyfill', '0.6.7')
('npm:@babel/plugin-transform-template-literals', '7.24.1')
('npm:@babel/plugin-syntax-dynamic-import', '7.8.3')
('npm:html-tags', '3.3.1')
('npm:jest-runtime', '27.5.1')
('npm:@babel/plugin-syntax-class-properties', '7.12.13')
('npm:micromark-util-combine-extensions', '1.1.0')
('npm:make-dir', '3.1.0')
('npm:webpack-dev-middleware', '5.3.4')
('npm:@jridgewell/sourcemap-codec', '1.4.15')
('npm:v8-compile-cache-lib', '3.0.1')
('npm:trough', '2.2.0')
('npm:aria-query', '5.3.0')
('npm:which-polygon', '2.2.0')
('npm:postcss-normalize-whitespace', '5.1.1')
('npm:create-require', '1.1.1')
('npm:postcss-page-break', '3.0.4')
('npm:shebang-command', '2.0.0')
('npm:hast-util-is-element', '2.1.3')
('npm:lie', '3.3.0')
('npm:micromark-util-sanitize-uri', '1.2.0')
('npm:any-promise', '1.3.0')
('npm:@svgr/plugin-svgo', '5.5.0')
('npm:hpack.js', '2.1.6')
('npm:bignumber.js', '9.1.2')
('npm:signal-exit', '4.1.0')
('npm:array.prototype.findlastindex', '1.2.5')
('npm:http-proxy', '1.18.1')
('npm:human-signals', '2.1.0')
('npm:is-arrayish', '0.2.1')
('npm:@babel/template', '7.24.0')
('npm:@babel/preset-react', '7.24.1')
('npm:direction', '2.0.1')
('npm:@webassemblyjs/floating-point-hex-parser', '1.11.6')
('com.github.hotosm/tasking-manager', '')
('npm:babel-plugin-polyfill-regenerator', '0.6.2')
('npm:string-width', '4.2.3')
('npm:cookie-signature', '1.0.6')
('npm:p-locate', '3.0.0')
('npm:picocolors', '1.0.0')
('npm:postcss-initial', '4.0.1')
('npm:array.prototype.tosorted', '1.1.3')
('npm:@emotion/react', '11.11.4')
('npm:url-parse', '1.5.10')
('npm:postcss-dir-pseudo-class', '6.0.5')
('npm:ipaddr.js', '2.2.0')
('npm:@babel/plugin-transform-optional-chaining', '7.24.5')
('npm:graphql', '16.8.1')
('npm:postcss-js', '4.0.1')
('npm:css-unit-converter', '1.1.2')
('npm:string.prototype.trimstart', '1.0.8')
('npm:chartjs-adapter-date-fns', '3.0.0')
('npm:@babel/plugin-transform-modules-commonjs', '7.24.1')
('npm:setprototypeof', '1.2.0')
('npm:micromark-util-chunked', '1.1.0')
('npm:@kurkle/color', '0.3.2')
('npm:markdown-table', '3.0.3')
('npm:eslint-plugin-jsx-a11y', '6.8.0')
('npm:unist-util-visit-parents', '5.1.3')
('npm:diff-sequences', '29.6.3')
('npm:css-what', '3.4.2')
('npm:resolve-url-loader', '4.0.0')
('npm:get-package-type', '0.1.0')
('npm:acorn-walk', '7.2.0')
('npm:optionator', '0.9.4')
('npm:postcss-minify-font-values', '5.1.0')
('npm:@types/debug', '4.1.12')
('npm:execa', '5.1.1')
('npm:jest-matcher-utils', '29.7.0')
('npm:@types/mapbox__vector-tile', '1.3.4')
('pip:itsdangerous', '2.1.2')
('npm:detect-port-alt', '1.1.6')
('npm:type-check', '0.4.0')
('npm:@mapbox/parse-mapbox-token', '0.2.0')
('npm:find-up', '3.0.0')
('npm:node-diff3', '3.1.2')
('npm:is-arguments', '1.1.1')
('npm:decompress-response', '6.0.0')
('npm:string_decoder', '1.1.1')
('npm:@typescript-eslint/types', '5.62.0')
('npm:array.prototype.findlast', '1.2.5')
('npm:lru-cache', '5.1.1')
('npm:react-dom', '18.3.1')
('npm:lz-string', '1.5.0')
('npm:@babel/plugin-syntax-object-rest-spread', '7.8.3')
('npm:is-plain-obj', '3.0.0')
('npm:indent-string', '4.0.0')
('npm:cli-cursor', '3.1.0')
('npm:ansi-styles', '3.2.1')
('npm:jszip', '3.10.1')
('npm:@csstools/postcss-font-format-keywords', '1.0.1')
('npm:postcss-nested', '4.2.3')
('npm:ismobilejs', '1.1.1')
('npm:@sentry/integrations', '7.112.2')
('npm:@sentry-internal/replay-canvas', '7.112.2')
('npm:async', '3.2.5')
('npm:@jest/core', '27.5.1')
('npm:@babel/plugin-transform-modules-amd', '7.24.1')
('npm:mri', '1.2.0')
('npm:date-fns', '2.30.0')
('npm:@reach/auto-id', '0.2.0')
('npm:acorn-globals', '6.0.0')
('npm:@formatjs/fast-memoize', '2.2.0')
('npm:cookie', '0.4.2')
('npm:sort-desc', '0.2.0')
('npm:@babel/plugin-transform-unicode-sets-regex', '7.24.1')
('npm:is-node-process', '1.2.0')
('npm:react-redux', '8.1.3')
('npm:d3-drag', '3.0.0')
('npm:@pixi/sprite-tiling', '7.4.0')
('npm:define-properties', '1.2.1')
('npm:case-sensitive-paths-webpack-plugin', '2.4.0')
('npm:whatwg-encoding', '1.0.5')
('npm:set-value', '2.0.1')
('npm:whatwg-fetch', '3.6.20')
('npm:stylehacks', '5.1.1')
('npm:core-js-pure', '3.37.0')
('npm:ansi-html-community', '0.0.8')
('npm:@tsconfig/node12', '1.0.11')
('npm:esrecurse', '4.3.0')
('npm:unist-util-position', '4.0.4')
('npm:micromark-extension-gfm', '2.0.3')
('npm:eslint-scope', '7.2.2')
('npm:gzip-size', '6.0.0')
('npm:punycode', '2.3.1')
('npm:@csstools/postcss-normalize-display-values', '1.0.1')
('npm:reduce-css-calc', '2.1.8')
('npm:chalk', '4.1.2')
('npm:rbush', '3.0.1')
('npm:workbox-streams', '6.6.1')
('npm:@eslint-community/eslint-utils', '4.4.0')
('npm:acorn-import-assertions', '1.9.0')
('npm:lodash.topath', '4.5.2')
('npm:lineclip', '1.1.5')
('npm:@rapideditor/country-coder', '5.2.2')
('npm:memoize-one', '5.2.1')
('npm:bl', '4.1.0')
('npm:which-boxed-primitive', '1.0.2')
('npm:@types/schema-utils', '1.0.0')
('npm:cliui', '7.0.4')
('npm:@types/hoist-non-react-statics', '3.3.5')
('npm:@types/yargs', '17.0.32')
('npm:is-fullwidth-code-point', '3.0.0')
('npm:d3-chord', '3.0.1')
('npm:@pixi/graphics', '7.4.0')
('npm:workbox-cacheable-response', '6.6.1')
('npm:sass', '1.75.0')
('npm:bcp-47-match', '2.0.3')
('npm:@eslint-community/regexpp', '4.10.0')
('npm:postcss-logical', '5.0.4')
('npm:@emotion/cache', '11.11.0')
('npm:p-cancelable', '2.1.1')
('npm:string-width-cjs', '4.2.3')
('npm:@csstools/postcss-is-pseudo-class', '2.0.7')
('npm:@babel/plugin-transform-computed-properties', '7.24.1')
('npm:v8-to-istanbul', '8.1.1')
('npm:fastq', '1.17.1')
('npm:p-retry', '4.6.2')
('npm:clone-response', '1.0.3')
('npm:@babel/helper-annotate-as-pure', '7.22.5')
('npm:diacritics', '1.3.0')
('npm:content-disposition', '0.5.4')
('npm:micromatch', '4.0.5')
('npm:@trysound/sax', '0.2.0')
('npm:micromark-extension-gfm-table', '1.0.7')
('npm:postcss-modules-extract-imports', '3.1.0')
('npm:rehype-rewrite', '3.0.6')
('npm:source-map', '0.5.7')
('pip:alembic', '1.11.1')
('npm:at-least-node', '1.0.0')
('npm:es-set-tostringtag', '2.0.3')
('npm:@leichtgewicht/ip-codec', '2.0.5')
('npm:eslint-import-resolver-node', '0.3.9')
('npm:minipass', '7.0.4')
('npm:is-map', '2.0.3')
('npm:@csstools/postcss-trigonometric-functions', '1.0.2')
('npm:lodash.sortby', '4.7.0')
('npm:postcss-functions', '3.0.0')
('npm:css-tree', '1.0.0-alpha.37')
('npm:@babel/helper-validator-identifier', '7.24.5')
('npm:readdirp', '3.6.0')
('npm:colorette', '2.0.20')
('npm:js-yaml', '4.1.0')
('npm:@babel/plugin-syntax-import-assertions', '7.24.1')
('npm:quickselect', '1.1.1')
('npm:@formatjs/intl-listformat', '7.5.5')
('npm:hat', '0.0.3')
('npm:@types/json-schema', '7.0.15')
('npm:supports-preserve-symlinks-flag', '1.0.0')
('npm:geojson-numeric', '0.2.1')
('npm:handle-thing', '2.0.1')
('npm:levn', '0.3.0')
('npm:@sentry/utils', '7.112.2')
('npm:redux-persist', '6.0.0')
('npm:convert-source-map', '1.9.0')
('npm:flatted', '3.3.1')
('npm:@pixi/filter-twist', '5.1.1')
('npm:minimalistic-assert', '1.0.1')
('npm:statuses', '1.5.0')
('npm:commander', '8.3.0')
('npm:unicode-match-property-ecmascript', '2.0.0')
('actions:docker/login-action', '3.*.*')
('npm:array-union', '2.1.0')
('npm:d3-scale', '4.0.2')
('npm:postcss-focus-visible', '6.0.4')
('npm:@rollup/pluginutils', '3.1.0')
