('nuget:IkeMtz.NRSRx.Core.WebApi', '6.0.220.7')
('com.github.ikemtz/NurseCron', '')
('nuget:IkeMtz.NRSRx.Core.Authorization', '6.0.220.7')
('nuget:IkeMtz.NRSRx.Core.EntityFramework', '6.0.220.7')
('nuget:IkeMtz.NRSRx.Events.Publishers.ServiceBus', '6.0.220.7')
('nuget:coverlet.collector', '3.1.2')
('nuget:MSTest.TestAdapter', '2.2.10')
('nuget:MSTest.TestFramework', '2.2.10')
('nuget:Microsoft.NET.Test.Sdk', '17.2.0')
('nuget:IkeMtz.NRSRx.Core.Unigration', '6.0.220.7')
('nuget:IkeMtz.NRSRx.Core.SignalR', '6.0.220.7')
('nuget:IkeMtz.NRSRx.Core.Models', '6.0.220.7')
('nuget:Microsoft.EntityFrameworkCore.SqlServer', '6.0.7')
('nuget:IkeMtz.NRSRx.Core.OData', '6.0.220.7')
('nuget:Microsoft.VisualStudio.Azure.Containers.Tools.Targets', '1.16.1')
