('pip:jinja2', '')
('npm:postcss-load-config', '2.1.0')
('npm:whatwg-url', '7.1.0')
('npm:wrappy', '1.0.2')
('npm:buffer-xor', '1.0.3')
('npm:babylon', '6.18.0')
('npm:jest-resolve-dependencies', '24.9.0')
('npm:walker', '1.0.7')
('npm:css-has-pseudo', '0.10.0')
('npm:is-root', '2.1.0')
('npm:path-to-regexp', '1.8.0')
('npm:chrome-trace-event', '1.0.2')
('npm:minipass', '3.1.1')
('npm:postcss-color-rebeccapurple', '4.0.1')
('npm:hyphenate-style-name', '1.0.3')
('npm:bonjour', '3.5.0')
('npm:extend', '3.0.2')
('npm:binary-extensions', '2.0.0')
('npm:@babel/plugin-transform-literals', '7.8.3')
('npm:@babel/helper-function-name', '7.8.3')
('npm:spdx-expression-parse', '3.0.0')
('npm:dns-txt', '2.0.2')
('npm:@babel/template', '7.8.6')
('npm:tiny-invariant', '1.1.0')
('npm:evp_bytestokey', '1.0.3')
('npm:postcss-normalize-display-values', '4.0.2')
('npm:@typescript-eslint/parser', '2.24.0')
('npm:workbox-strategies', '4.3.1')
('npm:@babel/plugin-transform-typescript', '7.9.4')
('npm:object-is', '1.0.2')
('npm:for-in', '1.0.2')
('npm:min-indent', '1.0.0')
('npm:@babel/plugin-transform-spread', '7.8.3')
('npm:loader-utils', '1.4.0')
('npm:request', '2.88.2')
('npm:normalize-range', '0.1.2')
('npm:postcss-replace-overflow-wrap', '3.0.0')
('npm:normalize-path', '3.0.0')
('npm:tunnel-agent', '0.6.0')
('npm:browserslist', '4.10.0')
('npm:jest-jasmine2', '24.9.0')
('npm:@babel/helper-validator-identifier', '7.9.0')
('npm:@material-ui/types', '5.1.0')
('npm:postcss-unique-selectors', '4.0.1')
('npm:sprintf-js', '1.0.3')
('npm:@babel/helper-call-delegate', '7.8.7')
('npm:@babel/helper-wrap-function', '7.8.3')
('npm:nth-check', '1.0.2')
('npm:stable', '0.1.8')
('npm:@mapbox/geojson-rewind', '0.5.0')
('npm:csstype', '2.6.10')
('npm:@testing-library/react', '9.5.0')
('npm:spdx-correct', '3.1.0')
('pip:aiofiles', '')
('npm:istanbul-lib-coverage', '2.0.5')
('npm:snapdragon-node', '2.1.1')
('npm:rgba-regex', '1.0.0')
('npm:jest-leak-detector', '24.9.0')
('npm:is-generator-fn', '2.1.0')
('npm:@webassemblyjs/utf8', '1.8.5')
('npm:cipher-base', '1.0.4')
('npm:cssesc', '3.0.0')
('npm:http-proxy-middleware', '0.19.1')
('npm:browserify-rsa', '4.0.1')
('npm:oauth-sign', '0.9.0')
('npm:fast-deep-equal', '3.1.1')
('npm:querystringify', '2.1.1')
('npm:run-queue', '1.0.3')
('npm:hmac-drbg', '1.0.1')
('npm:signal-exit', '3.0.2')
('pip:bcrypt', '')
('npm:@babel/plugin-transform-function-name', '7.8.3')
('npm:p-finally', '1.0.0')
('npm:write-file-atomic', '2.4.1')
('npm:@babel/plugin-syntax-dynamic-import', '7.8.3')
('npm:react-dom', '16.13.1')
('npm:workbox-navigation-preload', '4.3.1')
('npm:import-local', '2.0.0')
('npm:@svgr/plugin-jsx', '4.3.3')
('npm:xregexp', '4.3.0')
('npm:@jest/source-map', '24.9.0')
('npm:terser', '4.6.7')
('npm:param-case', '3.0.3')
('npm:@babel/plugin-transform-reserved-words', '7.8.3')
('npm:regjsparser', '0.6.4')
('npm:shebang-command', '2.0.0')
('npm:ecc-jsbn', '0.1.2')
('npm:tmpl', '1.0.4')
('npm:hpack.js', '2.1.6')
('npm:globby', '6.1.0')
('npm:postcss-modules-local-by-default', '3.0.2')
('npm:http-proxy', '1.18.1')
('npm:array-union', '1.0.2')
('npm:fizzy-ui-utils', '2.0.7')
('npm:query-string', '4.3.4')
('npm:@babel/core', '7.9.0')
('npm:@babel/helper-replace-supers', '7.8.6')
('npm:node-releases', '1.1.52')
('npm:cookie-signature', '1.0.6')
('npm:http-errors', '1.7.3')
('npm:pumpify', '1.5.1')
('npm:jest-haste-map', '24.9.0')
('npm:cssnano-util-get-match', '4.0.0')
('npm:pascal-case', '3.1.1')
('npm:postcss-double-position-gradients', '1.0.0')
('npm:stream-shift', '1.0.1')
('npm:eslint-scope', '5.0.0')
('npm:aws-sign2', '0.7.0')
('npm:@types/node', '13.9.2')
('npm:infer-owner', '1.0.4')
('npm:postcss-color-mod-function', '3.0.3')
('npm:string.prototype.matchall', '4.0.2')
('pip:pyjwt', '1.7.1')
('npm:@babel/parser', '7.9.0')
('npm:slice-ansi', '2.1.0')
('npm:execa', '1.0.0')
('npm:domelementtype', '2.0.1')
('npm:detect-port-alt', '1.1.6')
('npm:find-up', '3.0.0')
('npm:convert-source-map', '0.3.5')
('npm:@types/babel__traverse', '7.0.9')
('npm:component-emitter', '1.3.0')
('npm:string_decoder', '1.1.1')
('npm:is-docker', '2.0.0')
('npm:lru-cache', '5.1.1')
('npm:protocol-buffers-schema', '3.4.0')
('npm:postcss-env-function', '2.0.2')
('npm:@babel/runtime-corejs3', '7.9.0')
('npm:@babel/plugin-syntax-object-rest-spread', '7.8.3')
('npm:indent-string', '4.0.0')
('npm:cli-cursor', '3.1.0')
('npm:@types/minimatch', '3.0.3')
('npm:hosted-git-info', '2.8.8')
('npm:define-properties', '1.1.3')
('npm:@csstools/convert-colors', '1.4.0')
('npm:postcss-logical', '3.0.0')
('npm:@babel/plugin-transform-member-expression-literals', '7.8.3')
