('npm:postcss-reduce-initial', '6.0.0')
('npm:get-port-please', '3.0.1')
('npm:lower-case', '1.1.4')
('npm:babel-plugin-dynamic-import-node', '2.3.3')
('npm:astral-regex', '1.0.0')
('npm:vscode-languageserver', '7.0.0')
('npm:mixin-deep', '1.3.2')
('npm:npm-run-path', '2.0.2')
('npm:postcss-merge-longhand', '6.0.0')
('npm:svg-baker-runtime', '1.4.7')
('npm:shebang-command', '1.2.0')
('npm:whatwg-url', '7.1.0')
('npm:jest-worker', '24.9.0')
('npm:@rollup/plugin-terser', '0.4.3')
('npm:wrappy', '1.0.2')
('npm:readable-stream', '3.6.2')
('npm:html-webpack-plugin', '3.2.0')
('npm:@babel/helper-simple-access', '7.10.4')
('npm:magic-string', '0.30.0')
('npm:data-uri-to-buffer', '4.0.1')
('npm:escodegen', '1.14.3')
('npm:string_decoder', '1.3.0')
('go:gopkg.in/yaml.v3', '3.0.1')
('npm:randombytes', '2.1.0')
('go:github.com/pkg/errors', '0.9.1')
('npm:anymatch', '2.0.0')
('npm:uncrypto', '0.1.3')
('npm:jest-resolve-dependencies', '24.9.0')
('npm:jest-config', '24.9.0')
('npm:walker', '1.0.7')
('npm:pretty-bytes', '6.1.0')
('go:go.opentelemetry.io/otel', '1.7.0')
('npm:@babel/helpers', '7.22.5')
('npm:throat', '4.1.0')
('npm:escape-html', '1.0.3')
('npm:consola', '3.1.0')
('npm:through', '2.3.8')
('npm:jest-diff', '24.9.0')
('npm:is-accessor-descriptor', '0.1.6')
('npm:json-schema-traverse', '0.4.1')
('npm:archiver-utils', '2.1.0')
('npm:css-select', '5.1.0')
('npm:object-inspect', '1.8.0')
('npm:local-pkg', '0.4.3')
('npm:@jest/types', '24.9.0')
('npm:is-docker', '3.0.0')
('npm:encodeurl', '1.0.2')
('npm:strip-ansi', '5.2.0')
('npm:babel-runtime', '6.26.0')
('npm:@babel/helper-module-transforms', '7.22.5')
('npm:extend', '3.0.2')
('npm:rimraf', '3.0.2')
('npm:lodash.defaults', '4.2.0')
('npm:@babel/helper-compilation-targets', '7.22.5')
('npm:make-dir', '2.1.0')
('npm:supports-color', '9.3.1')
('npm:is-extendable', '0.1.1')
('npm:realpath-native', '1.1.0')
('go:github.com/jinzhu/gorm', '1.9.14')
('npm:@babel/parser', '7.11.3')
('npm:ip-regex', '5.0.0')
('npm:extend-shallow', '3.0.2')
('npm:async-limiter', '1.0.1')
('go:github.com/shopspring/decimal', '1.3.1')
('npm:spdx-license-ids', '3.0.5')
('npm:class-utils', '0.3.6')
('npm:depd', '2.0.0')
('npm:@rollup/plugin-commonjs', '25.0.2')
('npm:@babel/helper-simple-access', '7.22.5')
('npm:slash', '2.0.0')
('npm:to-regex', '3.0.2')
('npm:har-schema', '2.0.0')
('npm:listhen', '1.0.4')
('npm:@cnakazawa/watch', '1.0.4')
('npm:loader-utils', '0.2.17')
('npm:parse-url', '8.1.0')
('npm:postcss-reduce-transforms', '6.0.0')
('npm:tiny-invariant', '1.3.1')
('npm:@babel/helper-split-export-declaration', '7.22.5')
('npm:@unhead/ssr', '1.1.27')
('npm:@esbuild/sunos-x64', '0.18.6')
('npm:file-uri-to-path', '1.0.0')
('npm:arr-flatten', '1.1.0')
('npm:whatwg-url', '6.5.0')
('go:github.com/json-iterator/go', '1.1.12')
('npm:postcss-normalize-string', '6.0.0')
('npm:type-fest', '0.21.3')
('npm:whatwg-mimetype', '2.3.0')
('npm:define-property', '2.0.2')
('npm:@types/resolve', '1.20.2')
('npm:postcss-normalize-display-values', '6.0.0')
('npm:fs-extra', '10.1.0')
('npm:color-name', '1.1.4')
('npm:@babel/helper-skip-transparent-expression-wrappers', '7.22.5')
('npm:postcss-minify-params', '6.0.0')
('npm:builtin-modules', '3.3.0')
('npm:resolve-from', '5.0.0')
('npm:semver', '6.3.0')
('npm:which', '1.3.1')
('npm:yallist', '3.1.1')
('npm:minimatch', '3.1.2')
('npm:acorn', '8.9.0')
('npm:ms', '2.0.0')
('npm:enhanced-resolve', '5.15.0')
('npm:memory-fs', '0.5.0')
('npm:string-width', '3.1.0')
('npm:@esbuild/linux-mips64el', '0.18.6')
('npm:clone', '1.0.4')
('npm:anymatch', '3.1.3')
('npm:traverse', '0.6.6')
('npm:for-in', '1.0.2')
('npm:mute-stream', '1.0.0')
('npm:get-stream', '6.0.1')
('npm:jest-environment-jsdom', '24.9.0')
('npm:@types/http-proxy', '1.17.11')
('npm:@esbuild/linux-arm', '0.17.19')
('go:github.com/bytedance/sonic', '1.9.1')
('npm:defu', '3.1.0')
('npm:util.promisify', '1.0.0')
('npm:@rollup/plugin-wasm', '6.1.3')
('npm:postcss-discard-overridden', '6.0.0')
('npm:neo-async', '2.6.2')
('npm:universalify', '2.0.0')
('npm:yargs', '17.7.2')
('npm:@babel/helper-create-class-features-plugin', '7.22.5')
('npm:nopt', '4.0.3')
('npm:vue-i18n', '8.20.0')
('npm:clone', '2.1.2')
('npm:@types/babel__traverse', '7.0.13')
('npm:iconv-lite', '0.4.24')
('npm:citty', '0.1.1')
('npm:unenv', '1.5.1')
('npm:jest', '24.9.0')
('npm:to-regex-range', '2.1.1')
('npm:range-parser', '1.2.1')
('npm:commander', '2.20.3')
('npm:ci-info', '2.0.0')
('npm:repeat-string', '1.6.1')
('npm:load-json-file', '4.0.0')
('npm:ohash', '1.1.2')
('npm:deepmerge', '4.2.2')
('npm:loader-utils', '1.4.0')
('npm:agent-base', '6.0.2')
('npm:unset-value', '1.0.0')
('npm:request', '2.88.2')
('npm:@vue/server-renderer', '3.3.4')
('npm:emoji-regex', '7.0.3')
('npm:deepmerge', '1.3.2')
('npm:normalize-range', '0.1.2')
('npm:vscode-jsonrpc', '6.0.0')
('npm:autoprefixer', '10.4.14')
('npm:@types/estree', '1.0.1')
('npm:normalize-path', '3.0.0')
('npm:nanoid', '4.0.2')
('npm:@vercel/nft', '0.22.6')
('npm:tunnel-agent', '0.6.0')
('npm:path-parse', '1.0.7')
('npm:jest-environment-node', '24.9.0')
('npm:@esbuild/linux-arm64', '0.17.19')
('npm:css-tree', '2.2.1')
('npm:@types/babel__generator', '7.6.1')
('go:github.com/modern-go/reflect2', '1.0.2')
('npm:is-docker', '2.1.1')
('npm:is-accessor-descriptor', '1.0.0')
('npm:fast-json-stable-stringify', '2.1.0')
('npm:jest-serializer', '24.9.0')
('npm:posthtml', '0.9.2')
('npm:@vue/compiler-ssr', '3.3.4')
('npm:@nuxt/telemetry', '2.2.0')
('npm:@jest/reporters', '24.9.0')
('npm:jest-jasmine2', '24.9.0')
('npm:is-descriptor', '0.1.6')
('npm:@vue/reactivity', '3.3.4')
('go:gopkg.in/go-playground/assert.v1', '1.2.1')
('npm:psl', '1.8.0')
('npm:strip-eof', '1.0.0')
('npm:is-interactive', '1.0.0')
('npm:y18n', '5.0.8')
('npm:once', '1.4.0')
('npm:string-length', '2.0.0')
('npm:log-symbols', '4.1.0')
('npm:@esbuild/darwin-x64', '0.18.6')
('npm:@jridgewell/sourcemap-codec', '1.4.14')
('npm:@esbuild/freebsd-arm64', '0.18.6')
('npm:jest-runtime', '24.9.0')
('npm:natural-compare', '1.4.0')
('npm:buffer-from', '1.1.1')
('npm:vue-jest', '4.0.0-beta.5')
('npm:@babel/plugin-transform-typescript', '7.22.5')
('npm:@types/yargs', '13.0.10')
('npm:strip-ansi', '6.0.0')
('npm:@babel/traverse', '7.11.0')
('npm:pirates', '4.0.1')
('npm:lazystream', '1.0.1')
('npm:execa', '7.1.1')
('npm:@nodelib/fs.walk', '1.2.4')
('npm:nth-check', '1.0.2')
('npm:object.getownpropertydescriptors', '2.1.0')
('npm:css-what', '2.1.3')
('npm:chalk', '2.4.2')
('npm:path-key', '2.0.1')
('npm:tough-cookie', '2.5.0')
('npm:sigmund', '1.0.1')
('npm:@babel/core', '7.22.5')
('npm:async-validator', '1.8.5')
('npm:@vue/babel-plugin-jsx', '1.1.1')
('npm:vue-devtools-stub', '0.1.0')
('npm:postcss-selector-parser', '6.0.2')
('npm:@babel/helper-module-imports', '7.22.5')
('npm:axios', '0.19.2')
('npm:xml-name-validator', '3.0.0')
('npm:js-beautify', '1.11.0')
('npm:istanbul-lib-coverage', '2.0.5')
('npm:concat-map', '0.0.1')
('npm:ajv', '6.12.6')
('npm:entities', '2.0.3')
('npm:h3', '1.7.0')
