('npm:domexception', '2.0.1')
('npm:yargs-parser', '20.2.9')
('npm:whatwg-url', '7.1.0')
('npm:wrappy', '1.0.2')
('npm:schema-utils', '2.7.0')
('npm:@istanbuljs/schema', '0.1.3')
('npm:@babel/plugin-transform-function-name', '7.18.9')
('npm:which-typed-array', '1.1.9')
('npm:tr46', '2.1.0')
('npm:@types/react-dom', '16.9.8')
('npm:babel-jest', '27.5.1')
('npm:is-root', '2.1.0')
('npm:path-to-regexp', '1.8.0')
('npm:workbox-strategies', '6.5.4')
('npm:escape-string-regexp', '2.0.0')
('npm:postcss-discard-empty', '5.1.1')
('npm:react-error-overlay', '6.0.11')
('npm:@babel/preset-env', '7.20.2')
('npm:@webassemblyjs/ieee754', '1.11.1')
('npm:depd', '2.0.0')
('npm:postcss-selector-not', '6.0.1')
('npm:css-prefers-color-scheme', '6.0.3')
('npm:p-limit', '3.1.0')
('npm:postcss-font-variant', '5.0.0')
('npm:data-urls', '2.0.0')
('npm:tiny-invariant', '1.1.0')
('nuget:Microsoft.AspNetCore.Mvc', '2.2.0')
('npm:builtin-modules', '3.3.0')
('npm:resolve-from', '5.0.0')
('npm:semver', '6.3.0')
('npm:ms', '2.0.0')
('npm:http-proxy-middleware', '2.0.6')
('npm:get-stream', '6.0.1')
('npm:string.prototype.trim', '1.2.7')
('npm:@babel/plugin-proposal-export-namespace-from', '7.18.9')
('npm:universalify', '2.0.0')
('npm:@svgr/babel-plugin-remove-jsx-attribute', '5.4.0')
('npm:clsx', '1.1.1')
('npm:axe-core', '4.6.3')
('nuget:Serilog.Sinks.Console', '3.1.1')
('npm:normalize-range', '0.1.2')
('npm:@nicolo-ribaudo/eslint-scope-5-internals', '5.1.1-1')
('npm:normalize-path', '3.0.0')
('npm:istanbul-lib-source-maps', '4.0.1')
('npm:@babel/runtime', '7.21.0')
('npm:promise-retry', '2.0.1')
('npm:mime-types', '2.1.35')
('npm:eslint-import-resolver-node', '0.3.7')
('npm:@material-ui/types', '5.1.0')
('npm:available-typed-arrays', '1.0.5')
('npm:@babel/plugin-transform-member-expression-literals', '7.18.6')
('npm:sprintf-js', '1.0.3')
('npm:@types/yargs', '13.0.10')
('npm:accepts', '1.3.8')
('npm:@babel/plugin-proposal-private-methods', '7.18.6')
('npm:nth-check', '1.0.2')
('nuget:MongoDB.Driver', '2.4.4')
('npm:stable', '0.1.8')
('npm:@testing-library/react', '9.5.0')
('npm:dom-serializer', '1.4.1')
('npm:walker', '1.0.8')
('npm:@tootallnate/once', '2.0.0')
('npm:html-encoding-sniffer', '2.0.1')
('npm:unicode-property-aliases-ecmascript', '2.1.0')
('npm:is-generator-fn', '2.1.0')
('npm:babel-plugin-named-asset-import', '0.3.8')
('nuget:Serilog.AspNetCore', '2.1.1')
('npm:jest-environment-jsdom', '27.5.1')
('npm:cssesc', '3.0.0')
('npm:workbox-navigation-preload', '6.5.4')
('npm:object-inspect', '1.12.3')
('npm:array-flatten', '1.1.1')
('npm:async', '3.2.4')
('npm:jest', '27.5.1')
('npm:domelementtype', '2.3.0')
('npm:@babel/core', '7.21.3')
('npm:@babel/plugin-syntax-import-meta', '7.10.4')
('npm:loader-utils', '2.0.4')
('npm:http-cache-semantics', '4.1.1')
('npm:babel-preset-current-node-syntax', '1.0.1')
('npm:debug', '2.6.9')
('npm:jest-environment-node', '27.5.1')
('npm:spdx-correct', '3.2.0')
('npm:postcss-flexbugs-fixes', '5.0.2')
('npm:immer', '9.0.19')
('npm:@babel/plugin-syntax-dynamic-import', '7.8.3')
('npm:react-dom', '16.13.1')
('npm:nopt', '5.0.0')
('npm:jest-runtime', '27.5.1')
('npm:@babel/plugin-syntax-class-properties', '7.12.13')
('npm:make-dir', '3.1.0')
('npm:array.prototype.reduce', '1.0.5')
('npm:@webassemblyjs/wasm-parser', '1.11.1')
('npm:postcss-normalize-whitespace', '5.1.1')
('npm:postcss-page-break', '3.0.4')
('npm:shebang-command', '2.0.0')
('npm:@babel/plugin-transform-block-scoped-functions', '7.18.6')
('npm:axobject-query', '3.1.1')
('npm:@babel/parser', '7.21.3')
('npm:@types/stack-utils', '2.0.1')
('npm:socks-proxy-agent', '6.2.1')
('npm:@svgr/plugin-svgo', '5.5.0')
('npm:hpack.js', '2.1.6')
('npm:aggregate-error', '3.1.0')
('npm:http-proxy', '1.18.1')
('npm:human-signals', '2.1.0')
('npm:is-arrayish', '0.2.1')
('npm:@babel/helpers', '7.21.0')
('nuget:Swashbuckle.AspNetCore', '6.5.0')
('npm:string-width', '4.2.3')
('npm:cookie-signature', '1.0.6')
('npm:p-locate', '3.0.0')
('npm:picocolors', '1.0.0')
('npm:postcss-initial', '4.0.1')
('npm:@humanwhocodes/config-array', '0.11.8')
('npm:minipass-fetch', '1.4.1')
('npm:@types/yargs', '16.0.5')
('npm:url-parse', '1.5.10')
('npm:postcss-dir-pseudo-class', '6.0.5')
('npm:@babel/plugin-transform-react-pure-annotations', '7.18.6')
('npm:postcss-js', '4.0.1')
('npm:enhanced-resolve', '5.12.0')
('npm:@babel/helper-annotate-as-pure', '7.18.6')
('npm:setprototypeof', '1.2.0')
('npm:postcss-selector-parser', '6.0.11')
('npm:css-what', '3.4.2')
('npm:resolve-url-loader', '4.0.0')
('npm:get-package-type', '0.1.0')
('npm:infer-owner', '1.0.4')
('npm:acorn-walk', '7.2.0')
('npm:postcss-minify-font-values', '5.1.0')
('npm:signal-exit', '3.0.3')
('npm:execa', '5.1.1')
('npm:babel-plugin-polyfill-regenerator', '0.4.1')
('npm:graceful-fs', '4.2.4')
('npm:detect-port-alt', '1.1.6')
('npm:type-check', '0.4.0')
('npm:find-up', '3.0.0')
('npm:@types/yargs', '17.0.23')
('npm:is-arguments', '1.1.1')
('npm:string_decoder', '1.1.1')
('npm:eslint-scope', '7.1.1')
('npm:lru-cache', '5.1.1')
('npm:@babel/plugin-syntax-object-rest-spread', '7.8.3')
('npm:is-plain-obj', '3.0.0')
('nuget:xunit.runner.visualstudio', '2.4.1')
('npm:indent-string', '4.0.0')
('npm:ansi-styles', '3.2.1')
('npm:@csstools/postcss-font-format-keywords', '1.0.1')
('npm:define-properties', '1.1.3')
('npm:@jest/core', '27.5.1')
('npm:common-path-prefix', '3.0.0')
('npm:escodegen', '2.0.0')
('npm:mkdirp', '0.5.5')
('npm:acorn-globals', '6.0.0')
('npm:@babel/plugin-transform-react-constant-elements', '7.21.3')
('nuget:Autofac.Configuration', '4.0.1')
('npm:cssdb', '7.4.1')
('npm:raw-body', '2.5.1')
('npm:case-sensitive-paths-webpack-plugin', '2.4.0')
('npm:whatwg-encoding', '1.0.5')
('npm:@typescript-eslint/visitor-keys', '5.56.0')
('npm:stylehacks', '5.1.1')
('nuget:Microsoft.Extensions.PlatformAbstractions', '1.1.0')
('nuget:Microsoft.AspNetCore.Mvc.Versioning.ApiExplorer', '5.0.0')
('npm:ansi-html-community', '0.0.8')
('npm:esrecurse', '4.3.0')
('npm:supports-color', '7.1.0')
('npm:gzip-size', '6.0.0')
('npm:postcss-modules-local-by-default', '4.0.0')
('npm:@csstools/postcss-normalize-display-values', '1.0.1')
('npm:chalk', '4.1.2')
('npm:has-property-descriptors', '1.0.0')
('nuget:ReportGenerator', '2.4.0.0')
