('npm:coa', '2.0.2')
('npm:dom-serializer', '0.1.1')
('npm:pinkie', '2.0.4')
('npm:debug', '2.6.8')
('npm:yaml', '2.3.2')
('npm:babel-plugin-transform-es2015-literals', '6.22.0')
('npm:babel-plugin-transform-strict-mode', '6.24.1')
('npm:balanced-match', '1.0.0')
('npm:hash-base', '3.0.4')
('npm:mime-types', '2.1.24')
('npm:babel-plugin-transform-es2015-block-scoped-functions', '6.22.0')
('npm:cliui', '2.1.0')
('npm:url', '0.11.0')
('npm:buffer-xor', '1.0.3')
('npm:docsearch.js', '2.6.3')
('npm:loader-runner', '2.3.1')
('npm:is-utf8', '0.2.1')
('npm:events', '1.1.1')
('npm:es-abstract', '1.13.0')
('npm:anymatch', '2.0.0')
('npm:hogan.js', '3.0.2')
('npm:postcss-modules-values', '1.3.0')
('npm:babel-types', '6.25.0')
('npm:babel-plugin-transform-es2015-modules-umd', '6.24.1')
('npm:html-comment-regex', '1.1.2')
('npm:through', '2.3.8')
('npm:is-accessor-descriptor', '0.1.6')
('npm:postcss-media-query-parser', '0.2.3')
('npm:postcss-calc', '5.3.1')
('npm:pinkie-promise', '2.0.1')
('npm:tiny-emitter', '2.0.2')
('go:github.com/FortAwesome/Font-Awesome', '0.0.0-20210804190922-7d3d774145ac')
('npm:browserify-des', '1.0.2')
('npm:trim-right', '1.0.1')
('npm:yargs-parser', '4.2.1')
('npm:extend', '3.0.2')
('npm:load-json-file', '1.1.0')
('npm:path-browserify', '0.0.0')
('npm:to-arraybuffer', '1.0.1')
('npm:binary-extensions', '2.0.0')
('npm:postcss-ordered-values', '4.1.2')
('npm:react-dom', '17.0.2')
('npm:stream-http', '2.8.3')
('npm:is-extendable', '0.1.1')
('npm:aws4', '1.8.0')
('npm:postcss', '8.4.31')
('npm:extend-shallow', '3.0.2')
('npm:regjsgen', '0.2.0')
('npm:pako', '1.0.7')
('npm:spdx-expression-parse', '3.0.0')
('npm:class-utils', '0.3.6')
('npm:@algolia/client-common', '4.12.1')
('npm:timsort', '0.3.0')
('npm:to-regex', '3.0.2')
