('npm:@lerna/run-lifecycle', '3.16.2')
('npm:domexception', '2.0.1')
('npm:@types/mkdirp', '1.0.1')
('npm:@types/jest', '^ 23.3.13')
('npm:ts-node', '^ 7.0.1')
('npm:sort-keys', '2.0.0')
('npm:wrappy', '1.0.2')
('npm:buffer-xor', '1.0.3')
('npm:cli-color', '2.0.0')
('npm:walker', '1.0.7')
('npm:configstore', '5.0.1')
('npm:ramda', '0.24.1')
('npm:@babel/helper-define-map', '7.10.1')
('npm:@nestjs/mapped-types', '0.0.5')
('npm:chrome-trace-event', '1.0.2')
('npm:denque', '1.4.1')
('npm:geteventstore-promise2', '3.1.3')
('npm:minipass', '2.6.5')
('npm:snyk-mvn-plugin', '2.4.0')
('npm:globby', '11.0.1')
('npm:remark-lint-no-undefined-references', '2.0.0')
('npm:extend', '3.0.2')
('npm:@babel/helper-optimise-call-expression', '7.10.1')
('npm:@lerna/npm-install', '3.16.0')
('npm:ts-loader', '^ 4.4.2')
('npm:binary-extensions', '2.0.0')
('npm:istanbul-lib-coverage', '3.0.0')
('npm:@nestjs/bull', '0.1.2')
('npm:grpc', '1.24.3')
('npm:spdx-expression-parse', '3.0.0')
('npm:depd', '2.0.0')
('npm:shallow-clone', '0.1.2')
('npm:tslib', '1.13.0')
('npm:are-we-there-yet', '1.1.5')
('npm:sequency', '0.19.2')
('npm:passport-google-oauth', '2.0.0')
('npm:data-urls', '2.0.0')
('npm:timed-out', '4.0.1')
('npm:@lerna/import', '3.16.0')
('npm:evp_bytestokey', '1.0.3')
('npm:yarn', '1.22.4')
('npm:consola', '2.13.0')
('npm:ecdsa-sig-formatter', '1.0.11')
('npm:semver', '6.3.0')
('npm:@graphql-tools/batch-delegate', '6.0.16')
('npm:@types/long', '3.0.32')
('npm:for-in', '1.0.2')
('npm:node-notifier', '7.0.1')
('npm:@babel/helper-replace-supers', '7.10.1')
('npm:util.promisify', '1.0.0')
('npm:@types/source-list-map', '0.1.2')
('npm:conventional-changelog-core', '3.2.3')
('npm:loader-utils', '1.4.0')
('npm:sonic-boom', '1.0.2')
('npm:@graphql-tools/delegate', '6.0.16')
('npm:request', '2.88.2')
('npm:emoji-regex', '7.0.3')
('npm:snyk-resolve', '1.0.1')
('npm:@babel/plugin-transform-object-super', '7.10.1')
('npm:tunnel-agent', '0.6.0')
('npm:graphql-subscriptions', '1.1.0')
('npm:snyk-sbt-plugin', '2.8.0')
('npm:yaeti', '0.0.6')
('npm:is-descriptor', '0.1.6')
('npm:global-dirs', '2.0.1')
('npm:is-interactive', '1.0.0')
('npm:log-driver', '1.2.7')
('npm:dotnet-deps-parser', '4.5.0')
('npm:ansi-align', '3.0.0')
('npm:fast-glob', '3.2.2')
('npm:sprintf-js', '1.0.3')
('npm:split2', '3.1.1')
('npm:@babel/plugin-syntax-jsx', '7.10.1')
('npm:strip-ansi', '6.0.0')
('npm:graphql-passport', '0.6.3')
('npm:winston', '2.4.4')
('npm:cli-highlight', '2.1.4')
('npm:cookiejar', '2.1.2')
('npm:p-map', '2.1.0')
('npm:es-abstract', '1.14.2')
('npm:crypto-random-string', '1.0.0')
('npm:spdx-correct', '3.1.0')
('npm:isobject', '4.0.0')
('npm:@lerna/run-topologically', '3.16.0')
('npm:snapdragon-node', '2.1.1')
('npm:vscode-languageserver-types', '3.14.0')
('npm:uuid-apikey', '1.4.6')
('npm:html-encoding-sniffer', '2.0.1')
('npm:@types/node', '^ 10.12.18')
('npm:is-generator-fn', '2.1.0')
('npm:format', '0.2.2')
('npm:@lerna/package', '3.16.0')
('npm:clone-deep', '0.3.0')
('npm:json-socket', '0.3.0')
('npm:multer', '1.4.2')
('npm:@types/passport-facebook', '2.1.10')
('npm:cipher-base', '1.0.4')
('npm:bn.js', '5.1.2')
('npm:@lerna/listable', '3.16.0')
('npm:is-function', '1.0.2')
('npm:winston-transport', '4.3.0')
('npm:source-map-support', '0.5.19')
('npm:agentkeepalive', '4.1.2')
('npm:set-cookie-parser', '2.4.6')
('npm:@graphql-codegen/typescript', '1.1.3')
('npm:normalize-path', '2.1.1')
('npm:array-flatten', '1.1.1')
('npm:browserify-rsa', '4.0.1')
('npm:supports-color', '4.5.0')
('npm:async', '1.5.2')
('npm:oauth-sign', '0.9.0')
('npm:node-emoji', '1.10.0')
('npm:@types/babel__core', '7.1.8')
('npm:run-queue', '1.0.3')
('npm:loglevel', '1.6.8')
('npm:hmac-drbg', '1.0.1')
('npm:@lerna/validation-error', '3.13.0')
('npm:lodash.get', '4.4.2')
('npm:universal-user-agent', '4.0.0')
('npm:signal-exit', '3.0.2')
('npm:pupa', '2.0.1')
('npm:jackpot', '0.0.6')
('npm:p-finally', '1.0.0')
('npm:browser-stdout', '1.3.1')
('npm:libnpmconfig', '1.2.1')
('npm:make-dir', '3.1.0')
('npm:import-local', '2.0.0')
('npm:find-versions', '3.2.0')
('npm:@anchan828/nest-sendgrid', '0.3.16')
('npm:shebang-command', '2.0.0')
('npm:ecc-jsbn', '0.1.2')
('npm:lie', '3.3.0')
('npm:tmpl', '1.0.4')
('npm:any-promise', '1.3.0')
('npm:decamelize-keys', '1.1.0')
('npm:typescript', '3.4.3')
('npm:@graphql-tools/load', '6.0.16')
('npm:@snyk/graphlib', '2.1.9-patch')
('npm:remark-lint-no-literal-urls', '2.0.0')
('npm:chokidar', '2.1.8')
('npm:http-proxy', '1.18.1')
('npm:is-arrayish', '0.2.1')
('npm:is-alphanumeric', '1.0.0')
('npm:array-union', '1.0.2')
('npm:@babel/plugin-transform-literals', '7.10.1')
('npm:axios', '0.18.1')
('npm:tough-cookie', '2.4.3')
('npm:p-locate', '3.0.0')
('npm:cookie-signature', '1.0.6')
('npm:pkg-dir', '3.0.0')
('npm:@types/supertest', '^ 2.0.7')
('npm:@types/semver', '5.5.0')
('npm:@types/mongodb', '3.5.25')
('npm:fd-slicer', '1.1.0')
('npm:@graphql-codegen/typescript-operations', '^ 1.4.0')
('npm:@jest/console', '26.2.0')
('npm:http-errors', '1.7.3')
('npm:snyk-mvn-plugin', '2.17.0')
('npm:jsonfile', '6.0.1')
('npm:jsonpath-plus', '0.19.0')
('npm:pumpify', '1.5.1')
('npm:promise-retry', '1.1.1')
('npm:@lerna/resolve-symlink', '3.16.0')
('npm:pascal-case', '3.1.1')
('npm:unist-util-is', '4.0.2')
('npm:lodash.set', '4.3.2')
('npm:npm-packlist', '1.4.4')
('npm:class-transformer', '0.2.3')
('npm:ioredis', '^ 4.14.1')
('npm:prepend-http', '2.0.0')
('npm:@jest/test-sequencer', '26.2.2')
('npm:read-package-tree', '5.3.1')
('npm:stream-shift', '1.0.1')
('npm:parse5', '5.1.1')
('npm:@npmcli/move-file', '1.0.1')
('npm:apollo-server-core', '2.16.0')
('npm:graphql-type-json', '0.3.2')
('npm:lodash.padstart', '4.6.1')
('npm:aws-sign2', '0.7.0')
('npm:@lerna/prerelease-id-from-version', '3.16.0')
('npm:chownr', '1.1.2')
('npm:ignore-walk', '3.0.2')
('npm:graphql-upload', '8.1.0')
('npm:infer-owner', '1.0.4')
('npm:get-package-type', '0.1.0')
('npm:lcid', '1.0.0')
('npm:signal-exit', '3.0.3')
('npm:redis-errors', '1.2.0')
('npm:fs-capacitor', '2.0.4')
('npm:execa', '1.0.0')
('npm:jws', '3.2.2')
('npm:@lerna/clean', '3.16.0')
('npm:string-length', '4.0.1')
('npm:graceful-fs', '4.2.4')
('npm:@snyk/java-call-graph-builder', '1.10.0')
('npm:find-up', '3.0.0')
('npm:@babel/plugin-transform-spread', '7.10.1')
('npm:component-emitter', '1.3.0')
('npm:@lerna/collect-updates', '3.16.0')
('npm:@types/passport', '1.0.3')
('npm:string_decoder', '1.1.1')
('npm:is-docker', '2.0.0')
('npm:@babel/plugin-transform-shorthand-properties', '7.10.1')
('npm:passport-google-oauth1', '1.0.0')
('npm:lru-cache', '5.1.1')
('npm:is-number', '3.0.0')
('npm:rxjs', '6.6.2')
('npm:@babel/plugin-syntax-object-rest-spread', '7.8.3')
('npm:indent-string', '4.0.0')
('npm:@graphql-tools/merge', '6.0.16')
('npm:cli-cursor', '3.1.0')
('npm:@nestjs/terminus', '^ 6.5.1')
('npm:@types/minimatch', '3.0.3')
