('npm:which-typed-array', '1.1.7')
('npm:dom-serializer', '0.1.1')
('npm:@ledgerhq/errors', '4.78.0')
('npm:pinkie', '2.0.4')
('npm:blst', '0.1.5')
('npm:babel-plugin-transform-es2015-literals', '6.22.0')
('npm:internal-slot', '1.0.3')
('npm:babel-plugin-transform-strict-mode', '6.24.1')
('npm:@ethersproject/properties', '5.4.1')
('npm:ts-node', '8.10.2')
('npm:@openzeppelin/upgrades', '2.8.0')
('npm:is-hex-prefixed', '1.0.0')
('npm:babel-plugin-transform-es2015-block-scoped-functions', '6.22.0')
('npm:balanced-match', '1.0.0')
('npm:ieee754', '1.1.13')
('npm:level-codec', '7.0.1')
('npm:ethereum-types', '3.6.0')
('npm:graceful-fs', '4.2.8')
('npm:flatted', '3.1.1')
('npm:wrappy', '1.0.2')
('npm:buffer-xor', '1.0.3')
('npm:lodash.flatmap', '4.5.0')
('npm:babylon', '6.18.0')
('npm:eventemitter3', '3.1.2')
('npm:uri-js', '4.4.1')
('npm:string_decoder', '1.3.0')
('npm:esquery', '1.4.0')
('npm:randombytes', '2.1.0')
('npm:cookie', '0.4.0')
('npm:cli-color', '2.0.0')
('npm:levn', '0.4.1')
('npm:babel-plugin-transform-es2015-modules-umd', '6.24.1')
('npm:drbg.js', '1.0.1')
('npm:escape-html', '1.0.3')
('npm:pathval', '1.1.1')
('npm:hdkey', '0.7.1')
('npm:through', '2.3.8')
('npm:@0x/web3-wrapper', '7.6.1')
('npm:nano-json-stream-parser', '0.1.2')
('npm:oboe', '2.1.5')
('npm:uuid', '2.0.1')
('npm:json-schema-traverse', '0.4.1')
('npm:object-inspect', '1.8.0')
('npm:immediate', '3.3.0')
('npm:pinkie-promise', '2.0.1')
('npm:web3-providers-ws', '1.2.2')
('npm:json-buffer', '3.0.0')
('npm:buffer', '5.6.0')
('npm:encodeurl', '1.0.2')
('npm:is-fn', '1.0.0')
('npm:@babel/parser', '7.15.7')
('npm:browserify-des', '1.0.2')
('npm:trim-right', '1.0.1')
('npm:strip-ansi', '5.2.0')
('npm:@types/bignumber.js', '5.0.0')
('npm:babel-runtime', '6.26.0')
('npm:eth-rpc-errors', '3.0.0')
('npm:extend', '3.0.2')
('npm:@types/web3-provider-engine', '14.0.1')
('npm:rimraf', '3.0.2')
('npm:eth-json-rpc-errors', '2.0.2')
('npm:content-hash', '2.5.2')
('npm:semaphore', '1.1.0')
('npm:web3-core-promievent', '1.2.2')
('npm:rustbn.js', '0.2.0')
('npm:is-core-module', '2.7.0')
('npm:@0x/subproviders', '6.6.1')
('npm:hash.js', '1.1.3')
('npm:regjsgen', '0.2.0')
('npm:async-limiter', '1.0.1')
('npm:node-gyp-build', '4.2.3')
('npm:blru', '0.1.6')
('npm:spdx-license-ids', '3.0.5')
('npm:web3-eth-accounts', '1.5.3')
('npm:strip-json-comments', '2.0.1')
('npm:borc', '2.1.2')
('npm:country-data', '0.0.31')
('npm:acorn', '7.4.1')
('npm:string-width', '4.2.2')
('npm:u2f-api', '0.2.7')
('npm:@ethersproject/networks', '5.4.2')
('npm:har-schema', '2.0.0')
('npm:buffer-to-arraybuffer', '0.0.5')
('npm:crypto-js', '3.3.0')
('npm:p-limit', '3.1.0')
('npm:is-generator-function', '1.0.10')
('npm:events', '3.2.0')
('npm:detect-node', '2.0.3')
('npm:is-finite', '1.1.0')
('npm:readdirp', '3.4.0')
('npm:tslib', '1.13.0')
('npm:file-uri-to-path', '1.0.0')
('npm:ethereum-common', '0.2.0')
('npm:hash-base', '3.1.0')
('npm:babelify', '7.3.0')
('npm:ethereum-protocol', '1.0.1')
('actions:docker/setup-buildx-action', '1')
('npm:tsort', '0.0.1')
('npm:timed-out', '4.0.1')
