('rust:local-waker', '0.1.3')
('rust:hyper', '0.14.27')
('rust:pest_generator', '2.7.6')
('rust:windows_x86_64_msvc', '0.48.0')
('rust:clang-sys', '1.4.0')
('rust:actix-server', '2.1.1')
('rust:smallvec', '1.9.0')
('rust:wasm-bindgen-shared', '0.2.83')
('rust:strsim', '0.10.0')
('rust:nom', '7.1.1')
('actions:actions/checkout', '4.*.*')
('rust:windows_i686_gnu', '0.52.0')
('rust:mbox', '0.6.0')
('rust:system-configuration', '0.5.1')
('rust:rand_core', '0.6.4')
('rust:cfg-if', '1.0.0')
('rust:windows-sys', '0.52.0')
('rust:convert_case', '0.4.0')
('rust:bitfield', '0.14.0')
('rust:serde', '1.0.203')
('rust:serde_urlencoded', '0.7.1')
('rust:winapi', '0.3.9')
('rust:glob', '0.3.1')
('rust:wasm-bindgen-backend', '0.2.83')
('rust:syn', '1.0.100')
('rust:redox_syscall', '0.2.16')
('rust:humantime', '1.3.0')
('rust:rand_chacha', '0.2.2')
('rust:bitflags', '1.3.2')
('rust:shlex', '1.3.0')
('rust:linux-raw-sys', '0.3.8')
('rust:rand', '0.7.3')
('rust:socket2', '0.5.4')
('rust:futures-executor', '0.3.27')
('rust:colorchoice', '1.0.0')
('rust:clap_derive', '4.3.2')
('rust:futures-timer', '3.0.2')
('rust:num-traits', '0.2.15')
('rust:unicode-normalization', '0.1.22')
('rust:cc', '1.0.73')
('rust:regex-syntax', '0.6.27')
('rust:bumpalo', '3.12.0')
('rust:event-listener', '2.5.3')
('rust:time', '0.3.14')
('rust:io-lifetimes', '1.0.10')
('rust:bitflags', '2.4.0')
('rust:windows_i686_gnu', '0.36.1')
('rust:unicode-ident', '1.0.4')
('rust:serde_json', '1.0.116')
('rust:adler', '1.0.2')
('rust:block-buffer', '0.10.3')
('rust:pest_meta', '2.7.6')
('rust:getrandom', '0.1.16')
('rust:rustc_version', '0.3.3')
('rust:clap', '4.3.11')
('rust:windows_x86_64_gnu', '0.52.0')
('rust:core-foundation', '0.9.3')
('rust:unicode-bidi', '0.3.8')
('rust:wasm-bindgen', '0.2.83')
('rust:windows-sys', '0.36.1')
('rust:picky-asn1-x509', '0.12.0')
('rust:pkg-config', '0.3.25')
('rust:quick-error', '1.2.3')
('rust:anstyle-parse', '0.2.1')
('rust:idna', '0.3.0')
('rust:windows-sys', '0.48.0')
('rust:peeking_take_while', '0.1.2')
('rust:wasi', '0.9.0+wasi-snapshot-preview1')
('rust:is-terminal', '0.4.7')
('rust:futures-lite', '1.12.0')
('rust:utf8parse', '0.2.1')
('rust:futures', '0.3.27')
('rust:retain_mut', '0.1.9')
('rust:zeroize_derive', '1.3.2')
('rust:itoa', '1.0.3')
('rust:env_logger', '0.7.1')
('rust:bindgen', '0.66.1')
('rust:serde_bytes', '0.11.14')
('rust:fastrand', '2.0.1')
('rust:zmq', '0.9.2')
('rust:memchr', '2.5.0')
('rust:toml', '0.2.1')
('rust:proc-macro2', '1.0.76')
('actions:actions-automation/pull-request-responsibility', 'main')
('rust:wasm-bindgen-macro-support', '0.2.83')
('rust:zmq-sys', '0.11.0')
('rust:semver', '1.0.14')
('rust:slab', '0.4.7')
('rust:flate2', '1.0.28')
('rust:parking_lot', '0.12.1')
('rust:fastrand', '1.8.0')
('rust:hostname-validator', '1.1.1')
('rust:instant', '0.1.12')
('rust:windows_x86_64_gnu', '0.36.1')
('rust:encoding_rs', '0.8.31')
('rust:http', '0.2.8')
('rust:http-body', '0.4.5')
('rust:tracing', '0.1.36')
('rust:tempfile', '3.10.1')
('rust:actix-http', '3.6.0')
('rust:mime', '0.3.16')
('rust:rustc_version', '0.4.0')
('rust:indexmap', '2.1.0')
('rust:windows_x86_64_gnu', '0.48.0')
('rust:metadeps', '1.1.2')
('rust:actix-web', '4.5.1')
('rust:openssl', '0.10.64')
('rust:sha2', '0.10.6')
('rust:version_check', '0.9.4')
('rust:clap_builder', '4.3.11')
('rust:crossbeam-utils', '0.8.19')
('rust:errno', '0.3.8')
('rust:anstyle', '1.0.1')
('rust:thiserror-impl', '1.0.59')
('rust:serde_qs', '0.8.5')
('com.github.keylime/rust-keylime', '')
('rust:log', '0.4.21')
('rust:enumflags2', '0.7.7')
('rust:stable_deref_trait', '1.2.0')
('rust:static_assertions', '1.1.0')
('rust:aho-corasick', '0.7.19')
('actions:docker/login-action', '3.*.*')
('rust:zerocopy', '0.7.32')
('rust:futures-util', '0.3.27')
('rust:windows_x86_64_gnullvm', '0.52.0')
('rust:zip', '0.6.6')
('rust:wiremock', '0.5.22')
('rust:heck', '0.4.0')
('rust:socket2', '0.4.9')
('rust:pest', '2.7.6')
('rust:paste', '1.0.9')
('rust:web-sys', '0.3.60')
('rust:windows_i686_gnu', '0.48.0')
('rust:getrandom', '0.2.7')
('rust:windows_aarch64_gnullvm', '0.52.0')
('rust:thiserror', '1.0.59')
('rust:num_cpus', '1.13.1')
('rust:autocfg', '1.1.0')
('rust:http-types', '2.12.0')
('rust:bytes', '1.2.1')
('rust:system-configuration-sys', '0.5.0')
('rust:digest', '0.10.5')
('rust:picky-asn1-der', '0.4.1')
('rust:enumflags2_derive', '0.7.7')
('rust:actix-codec', '0.5.0')
('rust:prettyplease', '0.2.16')
('rust:serde_derive', '1.0.203')
('rust:anstyle-query', '1.0.0')
('rust:fnv', '1.0.7')
('rust:pretty_env_logger', '0.4.0')
('actions:actions/upload-artifact', '4.*.*')
('rust:quote', '1.0.35')
('rust:hex', '0.4.3')
('rust:pin-utils', '0.1.0')
('rust:rand_core', '0.5.1')
('rust:url', '2.3.1')
('rust:tracing-core', '0.1.29')
('rust:futures-channel', '0.3.27')
('rust:hashbrown', '0.14.3')
