('go:github.com/mitchellh/go-homedir', '1.1.0')
('go:github.com/opentracing/opentracing-go', '1.2.0')
('go:github.com/hashicorp/go-cleanhttp', '0.5.2')
('go:github.com/hashicorp/go-rootcerts', '1.0.2')
('go:github.com/stretchr/testify', '1.8.4')
('go:github.com/jcmturner/rpc/v2', '2.0.3')
('go:github.com/hashicorp/go-uuid', '1.0.3')
('com.github.kubemq-io/kubemq-targets', '')
('go:github.com/kballard/go-shellquote', '0.0.0-20180428030007-95032a82bc51')
('go:github.com/sagikazarmark/slog-shim', '0.1.0')
('go:github.com/subosito/gotenv', '1.6.0')
('go:github.com/golang/snappy', '0.0.4')
('go:github.com/ghodss/yaml', '1.0.0')
('go:github.com/pmezard/go-difflib', '1.0.1-0.20181226105442-5d4384ee4fb2')
('go:github.com/hailocab/go-hostpool', '0.0.0-20160125115350-e80d13ce29ed')
('go:github.com/Masterminds/goutils', '1.1.1')
('go:github.com/lib/pq', '1.10.9')
('go:firebase.google.com/go/v4', '4.12.1')
('go:gopkg.in/yaml.v3', '3.0.1')
('go:github.com/census-instrumentation/opencensus-proto', '0.4.1')
('go:github.com/spf13/viper', '1.17.0')
('go:cloud.google.com/go/iam', '1.1.2')
('go:github.com/pkg/errors', '0.9.1')
('go:github.com/labstack/echo/v4', '4.11.2')
('go:github.com/eapache/go-resiliency', '1.2.0')
('go:github.com/hashicorp/errwrap', '1.1.0')
('go:github.com/colinmarc/hdfs/v2', '2.4.0')
('go:github.com/sagikazarmark/locafero', '0.3.0')
('go:github.com/hashicorp/go-multierror', '1.1.1')
('go:github.com/youmark/pkcs8', '0.0.0-20181117223130-1be2e3e5546d')
('go:github.com/go-resty/resty/v2', '2.10.0')
('go:google.golang.org/protobuf', '1.31.0')
('go:cloud.google.com/go', '0.110.8')
('go:google.golang.org/appengine/v2', '2.0.2')
('go:github.com/go-sql-driver/mysql', '1.7.1')
('go:github.com/fsnotify/fsnotify', '1.6.0')
('go:github.com/matttproud/golang_protobuf_extensions', '1.0.4')
('go:github.com/golang/groupcache', '0.0.0-20210331224755-41bb18bfe9da')
('go:github.com/golang-sql/civil', '0.0.0-20220223132316-b832511892a9')
('go:github.com/jcmturner/gofork', '1.7.6')
('go:github.com/labstack/gommon', '0.4.0')
('go:github.com/dgrijalva/jwt-go', '3.2.0+incompatible')
('go:github.com/hashicorp/golang-lru', '0.5.4')
('go:gopkg.in/inf.v0', '0.9.1')
('go:github.com/eapache/go-xerial-snappy', '0.0.0-20180814174437-776d5712da21')
('go:github.com/couchbase/gocb/v2', '2.6.4')
('go:github.com/dustin/go-humanize', '1.0.1')
('go:github.com/valyala/bytebufferpool', '1.0.0')
('go:github.com/Azure/go-autorest/autorest/date', '0.3.0')
('go:github.com/valyala/fasttemplate', '1.2.2')
('go:github.com/golang/protobuf', '1.5.3')
('go:cloud.google.com/go/bigquery', '1.56.0')
('go:github.com/jcmturner/goidentity/v6', '6.0.1')
('go:github.com/devigned/tab', '0.1.1')
