('npm:@types/normalize-package-data', '2.4.1')
('npm:vfile-message', '3.1.4')
('npm:yargs', '15.4.1')
('npm:write-file-atomic', '3.0.3')
('npm:iterate-iterator', '1.0.2')
('npm:@tootallnate/quickjs-emscripten', '0.23.0')
('npm:shebang-command', '1.2.0')
('npm:spawndamnit', '2.0.0')
('npm:wrappy', '1.0.2')
('npm:readable-stream', '3.6.2')
('npm:fs-extra', '7.0.1')
('npm:data-uri-to-buffer', '4.0.1')
('npm:mdast-util-to-string', '3.2.0')
('npm:read-yaml-file', '1.1.0')
('npm:string_decoder', '1.3.0')
('npm:ansi-regex', '6.0.1')
('npm:emoji-regex', '10.2.1')
('npm:@octokit/openapi-types', '18.0.0')
('com.github.lblod/app-gelinkt-notuleren', '')
('npm:typed-array-byte-offset', '1.0.0')
('npm:is-yarn-global', '0.4.1')
('npm:type-fest', '0.6.0')
('npm:is-plain-object', '5.0.0')
('npm:is-docker', '3.0.0')
('npm:@types/node', '12.20.55')
('npm:json-parse-even-better-errors', '2.3.1')
('npm:extend', '3.0.2')
('npm:crypto-random-string', '4.0.0')
('npm:chalk', '5.3.0')
('npm:micromark-factory-destination', '1.1.0')
('npm:is-shared-array-buffer', '1.0.2')
('npm:promise.allsettled', '1.0.6')
('npm:is-npm', '6.0.0')
('npm:strip-json-comments', '2.0.1')
('npm:wrap-ansi', '8.1.0')
('npm:p-limit', '3.1.0')
('npm:has-bigints', '1.0.2')
('npm:basic-ftp', '5.0.3')
('npm:parse-url', '8.1.0')
('npm:@nodelib/fs.stat', '2.0.5')
('npm:type-fest', '0.21.3')
('npm:@changesets/get-version-range-type', '0.3.2')
('npm:parse-json', '5.2.0')
('npm:color-name', '1.1.4')
('npm:fastq', '1.15.0')
('npm:deep-extend', '0.6.0')
('npm:@changesets/write', '0.2.3')
('npm:resolve-from', '5.0.0')
('npm:@changesets/parse', '0.3.16')
('npm:which', '1.3.1')
('npm:decamelize-keys', '1.1.1')
('npm:minimatch', '3.1.2')
('npm:csv-stringify', '5.6.5')
('npm:clone', '1.0.4')
('npm:@pnpm/npm-conf', '2.2.2')
('npm:braces', '3.0.3')
('npm:breakword', '1.0.6')
('npm:mute-stream', '1.0.0')
('npm:get-stream', '6.0.1')
('npm:find-yarn-workspace-root2', '1.2.16')
('npm:micromark-factory-label', '1.1.0')
('npm:import-fresh', '3.3.0')
('npm:@octokit/auth-token', '3.0.4')
('npm:globalthis', '1.0.3')
('npm:yargs', '17.7.2')
('npm:latest-version', '7.0.0')
('npm:iconv-lite', '0.4.24')
('npm:csv-parse', '4.16.3')
('npm:mdast-util-phrasing', '3.0.1')
('npm:parent-module', '1.0.1')
('npm:term-size', '2.2.1')
('npm:is-weakref', '1.0.2')
('npm:@types/unist', '3.0.0')
('npm:path-parse', '1.0.7')
('npm:widest-line', '4.0.1')
