('npm:@types/serve-static', '1.13.9')
('npm:vary', '1.1.2')
('npm:debug', '2.6.9')
('npm:safer-buffer', '2.1.2')
('nuget:Newtonsoft.Json', '11.0.2')
('nuget:Microsoft.Owin.Security.OAuth', '4.1.0')
('npm:jsonwebtoken', '8.5.1')
('npm:content-type', '1.0.4')
('npm:unpipe', '1.0.0')
('npm:send', '0.17.1')
('nuget:Microsoft.IdentityModel.Logging', '6.5.1')
('npm:proxy-addr', '2.0.6')
('npm:lodash.includes', '4.3.0')
('nuget:System.IdentityModel.Tokens.Jwt', '6.5.1')
('nuget:Microsoft.AspNet.WebApi.Client', '5.2.7')
('nuget:System.Text.Encodings.Web', '4.7.2')
('npm:cookie', '0.4.0')
('nuget:Microsoft.Owin.Security.Cookies', '4.1.0')
('npm:escape-html', '1.0.3')
('npm:forwarded', '0.1.2')
('nuget:System.Security.Cryptography.Encoding', '4.3.0')
('npm:toidentifier', '1.0.0')
('nuget:System.Diagnostics.DiagnosticSource', '4.7.1')
('nuget:Microsoft.AspNetCore.Authentication.OpenIdConnect', '3.1.6')
('nuget:Microsoft.AspNet.WebPages', '3.2.7')
('nuget:Microsoft.Owin.Security', '4.1.0')
('npm:encodeurl', '1.0.2')
('npm:@types/express', '4.17.11')
('npm:lodash.isplainobject', '4.0.6')
('npm:@types/range-parser', '1.2.3')
('npm:jose', '2.0.5')
('npm:pseudomap', '1.0.2')
('maven:com.nimbusds:nimbus-jose-jwt', '7.9')
('nuget:System.Numerics.Vectors', '4.5.0')
('nuget:System.Security.Cryptography.Primitives', '4.3.0')
('npm:express-unless', '0.3.1')
('npm:@panva/asn1.js', '1.0.0')
('npm:type-is', '1.6.18')
('npm:@types/qs', '6.9.6')
('nuget:Newtonsoft.Json', '12.0.3')
('nuget:Microsoft.Web.Infrastructure', '1.0.0.0')
('npm:content-disposition', '0.5.3')
('nuget:System.Runtime.CompilerServices.Unsafe', '4.7.1')
('npm:merge-descriptors', '1.0.1')
('npm:bytes', '3.1.0')
('nuget:System.Buffers', '4.5.1')
('npm:lodash.isboolean', '3.0.3')
('nuget:Microsoft.AspNet.WebApi.Cors', '5.2.7')
('npm:cookie-signature', '1.0.6')
('npm:finalhandler', '1.1.2')
('npm:ecdsa-sig-formatter', '1.0.11')
('npm:jwks-rsa', '2.0.2')
('npm:serve-static', '1.14.1')
('npm:utils-merge', '1.0.1')
('npm:ms', '2.0.0')
('nuget:System.IdentityModel.Tokens.Jwt', '5.2.4')
('npm:inherits', '2.0.3')
('npm:@types/node', '14.14.37')
('npm:lodash.isinteger', '4.0.4')
('com.github.linianhui/example-oidc', '')
('npm:statuses', '1.5.0')
('npm:body-parser', '1.19.0')
