('npm:@babel/plugin-syntax-jsx', '7.7.4')
('npm:coa', '2.0.2')
('npm:postcss-calc', '7.0.1')
('npm:core-js', '3.6.5')
('npm:mixin-deep', '1.3.2')
('npm:npm-run-path', '2.0.2')
('npm:http-cache-semantics', '4.0.3')
('npm:saxes', '3.1.11')
('npm:validator', '10.11.0')
('npm:balanced-match', '1.0.0')
('npm:shebang-command', '1.2.0')
('npm:hash-base', '3.0.4')
('npm:ieee754', '1.1.13')
('npm:lodash', '4.17.15')
('npm:async-retry', '1.3.1')
('npm:whatwg-url', '7.1.0')
('npm:magic-string', '0.22.5')
('npm:url', '0.11.0')
('npm:wrappy', '1.0.2')
('npm:buffer-xor', '1.0.3')
('npm:posthtml-render', '1.1.5')
('npm:fs-extra', '7.0.1')
('npm:eventemitter3', '3.1.2')
('npm:events', '1.1.1')
('npm:randombytes', '2.1.0')
('npm:moment-timezone', '0.5.27')
('npm:cookie', '0.4.0')
('npm:anymatch', '2.0.0')
('npm:postcss-modules-values', '1.3.0')
('npm:@emotion/unitless', '0.7.4')
('npm:escape-html', '1.0.3')
('npm:html-comment-regex', '1.1.2')
('npm:cookie-parser', '1.4.4')
('npm:csstype', '2.6.8')
('npm:yup', '0.28.0')
('npm:chrome-trace-event', '1.0.2')
('npm:graphql', '14.6.0')
('npm:denque', '1.4.1')
('npm:csso', '4.0.2')
('npm:json-schema-traverse', '0.4.1')
('npm:jsdom', '14.1.0')
('npm:@babel/parser', '7.7.7')
('npm:@babel/plugin-transform-block-scoped-functions', '7.7.4')
('npm:@protobufjs/eventemitter', '1.1.0')
('npm:js-beautify', '1.10.2')
('npm:@babel/helper-plugin-utils', '7.0.0')
('npm:write-file-atomic', '2.4.3')
('npm:nan', '2.14.0')
('npm:json-buffer', '3.0.0')
('npm:encodeurl', '1.0.2')
('npm:browserify-des', '1.0.2')
('npm:electron-to-chromium', '1.3.322')
('npm:strip-ansi', '5.2.0')
('npm:cacheable-request', '7.0.0')
('npm:babel-runtime', '6.26.0')
('npm:json5', '2.1.1')
('npm:extend', '3.0.2')
('npm:to-arraybuffer', '1.0.1')
('npm:binary-extensions', '2.0.0')
('npm:make-dir', '2.1.0')
('npm:mem', '4.3.0')
('npm:pako', '1.0.10')
