('rust:openssl', '0.10.38')
('npm:@typescript-eslint/experimental-utils', '4.29.2')
('npm:cross-fetch', '2.2.6')
('rust:zksync_state', '>= 1.0.0,< 2.0.0')
('npm:internal-slot', '1.0.3')
('npm:yargs-parser', '20.2.9')
('npm:babel-plugin-transform-es2015-block-scoped-functions', '6.22.0')
('rust:impl-trait-for-tuples', '0.2.1')
('npm:graceful-fs', '4.2.8')
('npm:typescript', '3.5.3')
('npm:wrappy', '1.0.2')
('npm:buffer-xor', '1.0.3')
('npm:@sentry/tracing', '5.30.0')
('npm:@ethersproject/pbkdf2', '5.4.0')
('npm:babylon', '6.18.0')
('rust:backoff', '>= 0.3.0,< 0.4.0')
('rust:time', '0.1.43')
('rust:jsonrpc-ws-server', '>= 18.0.0,< 19.0.0')
('npm:es-abstract', '1.13.0')
('rust:parking_lot_core', '0.8.5')
('npm:typical', '2.6.1')
('rust:rustc-demangle', '0.1.21')
('rust:whoami', '1.2.0')
('rust:lru-cache', '0.1.2')
('npm:memorystream', '0.3.1')
('rust:virtue', '0.0.7')
('npm:is-fn', '1.0.0')
('npm:ethereum-waffle', '3.4.0')
('npm:extend', '3.0.2')
('npm:linkify-it', '3.0.2')
('npm:list-item', '1.1.1')
('npm:content-hash', '2.5.2')
('npm:semaphore', '1.1.0')
('rust:headers-core', '0.2.0')
('rust:jsonrpc-ws-server', '18.0.0')
('npm:hardhat-contract-sizer', '2.0.3')
('rust:wasi', '0.9.0+wasi-snapshot-preview1')
('npm:@ensdomains/resolver', '0.2.4')
('rust:primitive-types', '0.10.1')
('rust:wasm-bindgen', '0.2.78')
('npm:string-width', '4.2.2')
('rust:hashbrown', '0.11.2')
('npm:p-limit', '3.1.0')
('npm:is-generator-function', '1.0.10')
('npm:@ethereum-waffle/compiler', '3.4.0')
('npm:is-finite', '1.1.0')
('npm:babelify', '7.3.0')
('rust:instant', '0.1.12')
('npm:timed-out', '4.0.1')
('npm:evp_bytestokey', '1.0.3')
('npm:@typescript-eslint/eslint-plugin', '4.29.2')
('npm:string.prototype.trimstart', '1.0.4')
('npm:fake-merkle-patricia-tree', '1.0.1')
('rust:textwrap', '0.11.0')
('npm:ecdsa-sig-formatter', '1.0.11')
('npm:semver', '6.3.0')
('npm:abort-controller', '3.0.0')
('npm:pbkdf2', '3.1.2')
('npm:@resolver-engine/core', '0.3.3')
('npm:ms', '2.0.0')
('rust:regex-syntax', '0.6.25')
('npm:for-in', '1.0.2')
('npm:prettier-plugin-solidity', '^ 1.0.0-alpha.27')
('rust:actix-web', '4.0.0-beta.10')
