('npm:coa', '2.0.2')
('npm:events', '3.1.0')
('npm:pinkie', '2.0.4')
('npm:babel-plugin-dynamic-import-node', '2.3.3')
('npm:scss-tokenizer', '0.2.3')
('npm:mixin-deep', '1.3.2')
('npm:balanced-match', '1.0.0')
('npm:shebang-command', '1.2.0')
('npm:ieee754', '1.1.13')
('npm:lodash', '4.17.15')
('npm:url', '0.11.0')
('npm:wrappy', '1.0.2')
('npm:buffer-xor', '1.0.3')
('npm:figgy-pudding', '3.5.2')
('npm:is-utf8', '0.2.1')
('npm:randombytes', '2.1.0')
('pip:lockfile', '0.12.2')
('npm:@babel/highlight', '7.10.3')
('npm:html-comment-regex', '1.1.2')
('npm:chrome-trace-event', '1.0.2')
('npm:@webassemblyjs/leb128', '1.9.0')
('npm:is-accessor-descriptor', '0.1.6')
('npm:json-schema-traverse', '0.4.1')
('npm:@babel/plugin-proposal-export-default-from', '7.10.1')
('npm:@babel/plugin-transform-parameters', '7.10.1')
('npm:testswarm', '1.1.0')
('npm:pinkie-promise', '2.0.1')
('npm:nan', '2.14.0')
('npm:@babel/helper-builder-binary-assignment-operator-visitor', '7.10.3')
('npm:load-grunt-tasks', '3.4.0')
('npm:browserify-des', '1.0.2')
('npm:amdefine', '1.0.1')
('npm:extend', '3.0.2')
('npm:load-json-file', '1.1.0')
('npm:to-arraybuffer', '1.0.1')
('npm:make-dir', '2.1.0')
('npm:postcss-ordered-values', '4.1.2')
('npm:normalize-url', '1.9.1')
('npm:stream-http', '2.8.3')
('npm:is-extendable', '0.1.1')
('npm:enhanced-resolve', '4.2.0')
('npm:@babel/generator', '7.10.3')
('npm:extend-shallow', '3.0.2')
('npm:grunt-contrib-clean', '^ 1.0.0')
('npm:asap', '2.0.6')
('npm:spdx-expression-parse', '3.0.0')
('npm:spdx-license-ids', '3.0.5')
('npm:lodash.isfunction', '3.0.9')
('npm:class-utils', '0.3.6')
('npm:from2', '2.3.0')
('npm:@babel/plugin-transform-member-expression-literals', '7.10.1')
('pip:colorama', '0.4.3')
('npm:timsort', '0.3.0')
('npm:to-regex', '3.0.2')
('npm:har-schema', '2.0.0')
