('npm:graceful-readlink', '1.0.1')
('npm:pinkie', '2.0.4')
('actions:actions/checkout', '2')
('npm:type-detect', '1.0.0')
('npm:safer-buffer', '2.1.2')
('npm:jsbn', '0.1.1')
('npm:isexe', '1.1.2')
('npm:is-property', '1.0.2')
('npm:content-type', '1.0.2')
('npm:supports-color', '3.1.2')
('npm:ansi-regex', '2.0.0')
('npm:prelude-ls', '1.1.2')
('npm:balanced-match', '0.4.2')
('npm:unpipe', '1.0.0')
('npm:wrappy', '1.0.2')
('npm:glob', '5.0.15')
('npm:resolve', '1.1.7')
('npm:wordwrap', '0.0.3')
('npm:isstream', '0.1.2')
('npm:fresh', '0.3.0')
('npm:minimist', '0.0.10')
('npm:abbrev', '1.0.9')
('npm:jsonpointer', '4.0.1')
('npm:lodash._baseassign', '3.2.0')
('npm:commander', '2.9.0')
('npm:tunnel-agent', '0.4.3')
('npm:assertion-error', '1.0.2')
('npm:lolex', '1.3.2')
('npm:istanbul', '0.4.5')
('npm:escape-html', '1.0.3')
('npm:raw-body', '2.1.7')
('npm:prom-client', '6.3.0')
('npm:tough-cookie', '2.3.4')
('npm:forwarded', '0.1.2')
('npm:lodash._isiterateecall', '3.0.9')
('npm:bson', '1.0.9')
('npm:lodash._basecreate', '3.0.3')
('npm:vary', '1.1.0')
('npm:source-map', '0.6.1')
('npm:pinkie-promise', '2.0.1')
('npm:form-data', '2.1.2')
('npm:util-deprecate', '1.0.2')
('npm:assert-plus', '1.0.0')
('npm:aws-sign2', '0.6.0')
('npm:hawk', '3.1.3')
('npm:ecc-jsbn', '0.1.2')
('npm:debug', '2.2.0')
('npm:minimatch', '3.0.3')
('npm:amdefine', '1.0.1')
('npm:lodash.keys', '3.1.2')
('npm:extend', '3.0.2')
('npm:combined-stream', '1.0.5')
('npm:chai', '3.5.0')
('npm:superagent', '2.3.0')
('npm:qs', '6.3.0')
('npm:util', '0.10.3')
('npm:brace-expansion', '1.1.6')
('npm:diff', '1.4.0')
('npm:http-errors', '1.5.1')
('npm:formidable', '1.0.17')
('npm:ms', '2.1.2')
('npm:fs.realpath', '1.0.0')
('npm:content-disposition', '0.5.1')
('npm:supports-color', '2.0.0')
('npm:double-ended-queue', '2.1.0-0')
('npm:nopt', '3.0.6')
('npm:mkdirp', '0.5.1')
('npm:escodegen', '1.8.1')
('npm:buffer-shims', '1.0.0')
('npm:cookie-parser', '1.4.3')
('npm:is-buffer', '1.1.4')
('npm:sntp', '1.0.9')
('npm:mocha-junit-reporter', '1.12.1')
('npm:deep-is', '0.1.3')
('npm:json-stringify-safe', '5.0.1')
('npm:extsprintf', '1.0.2')
('npm:finalhandler', '0.4.1')
('npm:request', '2.79.0')
('npm:xml', '1.0.1')
('npm:merge-descriptors', '1.0.1')
('npm:is-ip', '1.0.0')
('npm:process-nextick-args', '1.0.7')
