('npm:astral-regex', '1.0.0')
('npm:apollo-server-core', '1.4.0')
('npm:mixin-deep', '1.3.2')
('npm:npm-run-path', '2.0.2')
('npm:balanced-match', '1.0.0')
('npm:shebang-command', '1.2.0')
('npm:mime-types', '2.1.24')
('npm:lodash', '4.17.15')
('npm:jest-worker', '24.9.0')
('npm:wrappy', '1.0.2')
('npm:@babel/helper-split-export-declaration', '7.4.4')
('npm:anymatch', '2.0.0')
('npm:cookie', '0.4.0')
('npm:jest-resolve-dependencies', '24.9.0')
('npm:@types/koa-bodyparser', '4.3.0')
('npm:jest-config', '24.9.0')
('npm:walker', '1.0.7')
('npm:throat', '4.1.0')
('npm:escape-html', '1.0.3')
('npm:jest-diff', '24.9.0')
('npm:@babel/helper-get-function-arity', '7.0.0')
('npm:is-accessor-descriptor', '0.1.6')
('npm:json-schema-traverse', '0.4.1')
('npm:@jest/types', '24.9.0')
('npm:@babel/helper-plugin-utils', '7.0.0')
('npm:nan', '2.14.0')
('npm:commander', '2.20.1')
('npm:encodeurl', '1.0.2')
('npm:strip-ansi', '5.2.0')
('npm:extend', '3.0.2')
('npm:json5', '2.1.1')
('npm:make-dir', '2.1.0')
('npm:is-extendable', '0.1.1')
('npm:aws4', '1.8.0')
('npm:realpath-native', '1.1.0')
('npm:@types/express-serve-static-core', '4.16.9')
('npm:hash.js', '1.1.3')
('npm:extend-shallow', '3.0.2')
('npm:@types/http-assert', '1.5.1')
('npm:spdx-expression-parse', '3.0.0')
('npm:spdx-license-ids', '3.0.5')
('npm:class-utils', '0.3.6')
('npm:slash', '2.0.0')
('npm:to-regex', '3.0.2')
('npm:object.getownpropertydescriptors', '2.0.3')
('npm:har-schema', '2.0.0')
('npm:ts-invariant', '0.4.4')
('npm:@babel/traverse', '7.6.2')
('npm:arr-flatten', '1.1.0')
('npm:whatwg-url', '6.5.0')
('npm:whatwg-mimetype', '2.3.0')
('npm:define-property', '2.0.2')
('npm:apollo-cache-inmemory', '1.6.3')
('npm:which', '1.3.1')
('npm:utils-merge', '1.0.1')
('npm:ms', '2.0.0')
('npm:string-width', '3.1.0')
('npm:is-symbol', '1.0.1')
('npm:for-in', '1.0.2')
('npm:jest-environment-jsdom', '24.9.0')
('npm:@types/node', '12.7.11')
