('npm:@babel/compat-data', '7.24.7')
('npm:jest-circus', '29.7.0')
('composer:laminas/laminas-httphandlerrunner', '2.10.0')
('npm:tr46', '3.0.0')
('npm:@jest/test-result', '29.7.0')
('composer:mezzio/mezzio-authentication-session', '1.9.0')
('composer:behat/mink', '1.11.0')
('composer:cooperaj/better-twig-i18n', '3.1.0')
('pip:jinja2', '')
('composer:mezzio/mezzio-router', '3.17.0')
('composer:mezzio/mezzio-helpers', '5.16.0')
('npm:govuk-one-login-service-header', '1.1.0')
('npm:wrappy', '1.0.2')
('npm:@babel/plugin-transform-duplicate-keys', '7.24.7')
('npm:@istanbuljs/schema', '0.1.3')
('npm:@esbuild/linux-riscv64', '0.21.5')
('npm:v8-to-istanbul', '9.3.0')
('composer:phpunit/php-code-coverage', '10.1.14')
('composer:laminas/laminas-crypt', '3.11.0')
('composer:dflydev/fig-cookies', '3.1.0')
('npm:@babel/helper-hoist-variables', '7.24.7')
('npm:uri-js', '4.4.1')
('composer:nesbot/carbon', '2.72.5')
('go:gopkg.in/yaml.v3', '3.0.1')
('npm:randombytes', '2.1.0')
('npm:@nicolo-ribaudo/chokidar-2', '2.1.8-no-fsevents.3')
('go:github.com/pkg/errors', '0.9.1')
('npm:@babel/helper-validator-identifier', '7.24.7')
('go:github.com/aws/aws-sdk-go-v2/service/sso', '1.20.9')
('npm:@types/istanbul-reports', '3.0.4')
('npm:levn', '0.4.1')
('npm:@babel/plugin-transform-computed-properties', '7.24.7')
('composer:laminas/laminas-cli', '1.10.0')
('composer:phar-io/manifest', '2.0.4')
('npm:is-potential-custom-element-name', '1.0.1')
('npm:json-schema-traverse', '0.4.1')
('npm:@webassemblyjs/helper-numbers', '1.11.6')
('actions:actions/download-artifact', '65a9edc5881444af0b9093a5e628f2fe47ea3b2e')
('npm:escape-string-regexp', '2.0.0')
('npm:regexpu-core', '5.3.2')
('npm:sass-embedded-win32-ia32', '1.77.5')
('composer:sebastian/environment', '6.1.0')
('npm:@esbuild/linux-ppc64', '0.21.4')
('npm:babel-plugin-istanbul', '6.1.1')
('npm:@jest/environment', '29.7.0')
('npm:@babel/plugin-transform-regenerator', '7.24.7')
('npm:json-parse-even-better-errors', '2.3.1')
('npm:@esbuild/win32-arm64', '0.21.4')
