('npm:pinkie', '2.0.4')
('npm:mute-stream', '0.0.8')
('npm:astral-regex', '1.0.0')
('npm:lolex', '5.1.2')
('npm:write-file-atomic', '2.3.0')
('npm:npm-run-path', '2.0.2')
('npm:mixin-deep', '1.3.2')
('npm:saxes', '3.1.11')
('npm:jest-runner', '25.5.4')
('npm:balanced-match', '1.0.0')
('npm:shebang-command', '1.2.0')
('npm:mime-types', '2.1.24')
('npm:lodash', '4.17.15')
('npm:whatwg-url', '7.1.0')
('npm:wrappy', '1.0.2')
('npm:jest-docblock', '25.3.0')
('npm:jest-changed-files', '25.5.0')
('npm:babylon', '6.18.0')
('npm:which-pm', '1.1.0')
('npm:is-utf8', '0.2.1')
('npm:pkg-dir', '1.0.0')
('npm:cookie', '0.4.0')
('npm:walker', '1.0.7')
('npm:preferred-pm', '1.0.1')
('npm:escape-html', '1.0.3')
('npm:moleculer-web', '0.9.0')
('npm:through', '2.3.8')
('npm:denque', '1.4.1')
('npm:is-accessor-descriptor', '0.1.6')
('npm:json-schema-traverse', '0.4.1')
('npm:moleculer-db', '0.8.5')
('npm:pinkie-promise', '2.0.1')
('npm:require_optional', '1.0.1')
('npm:write-file-atomic', '2.4.3')
('npm:cluster-key-slot', '1.1.0')
('npm:encodeurl', '1.0.2')
('npm:is-expression', '3.0.0')
('npm:babel-runtime', '6.26.0')
('npm:mri', '1.1.4')
('npm:extend', '3.0.2')
('npm:load-json-file', '1.1.0')
('npm:lodash.defaults', '4.2.0')
('npm:rx-lite', '3.1.2')
('npm:jest-watcher', '25.5.0')
('npm:binary-extensions', '2.0.0')
('npm:is-extendable', '0.1.1')
('npm:istanbul-lib-coverage', '3.0.0')
('npm:is-ci', '1.1.0')
('npm:latest-version', '3.1.0')
('npm:pstree.remy', '1.1.7')
('npm:extend-shallow', '3.0.2')
('npm:hosted-git-info', '2.6.0')
('npm:spdx-expression-parse', '3.0.0')
('npm:asap', '2.0.6')
('npm:spdx-license-ids', '3.0.5')
('npm:with', '5.1.1')
('npm:@babel/template', '7.8.6')
('npm:class-utils', '0.3.6')
('npm:jest-leak-detector', '25.5.0')
('npm:strip-json-comments', '2.0.1')
('npm:@types/babel__traverse', '7.0.11')
('npm:@jest/transform', '25.5.1')
('npm:to-regex', '3.0.2')
('npm:terminal-link', '2.1.1')
('npm:error-stack-parser', '1.3.6')
('npm:har-schema', '2.0.0')
('npm:@istanbuljs/load-nyc-config', '1.0.0')
('npm:@cnakazawa/watch', '1.0.4')
('npm:is-finite', '1.1.0')
('npm:arr-flatten', '1.1.0')
('npm:rimraf', '2.6.3')
('npm:whatwg-mimetype', '2.3.0')
('npm:define-property', '2.0.2')
('npm:timed-out', '4.0.1')
('npm:deprecate', '1.1.0')
('npm:color-name', '1.1.4')
('npm:deep-extend', '0.6.0')
('npm:cssom', '0.4.4')
('npm:jest-runtime', '25.5.4')
('npm:leven', '2.1.0')
('npm:ecdsa-sig-formatter', '1.0.11')
('npm:pug-code-gen', '2.0.2')
('npm:which', '1.3.1')
('npm:yallist', '3.1.1')
('npm:configstore', '3.1.2')
('npm:utils-merge', '1.0.1')
('npm:inquirer', '7.0.4')
('npm:ms', '2.0.0')
('npm:global-modules', '1.0.0')
('npm:clone', '1.0.4')
('npm:pug-error', '1.3.3')
('npm:jest-mock', '25.5.0')
('npm:pug-parser', '5.0.1')
('npm:for-in', '1.0.2')
('npm:hashids', '2.2.1')
('npm:moleculer', '0.14.0')
('npm:@babel/helper-plugin-utils', '7.8.3')
('npm:right-align', '0.1.3')
('npm:iconv-lite', '0.4.24')
('npm:undefsafe', '2.0.2')
('npm:diff-sequences', '25.2.6')
('npm:parent-module', '1.0.1')
('npm:range-parser', '1.2.1')
('npm:repeat-string', '1.6.1')
('npm:deepmerge', '4.2.2')
('npm:unset-value', '1.0.0')
('npm:request', '2.88.2')
('npm:@babel/core', '7.9.6')
('npm:cross-spawn-async', '2.2.5')
('npm:ansi-styles', '3.2.0')
('npm:normalize-path', '3.0.0')
('npm:tunnel-agent', '0.6.0')
('npm:qs', '6.7.0')
('npm:is-builtin-module', '1.0.0')
('npm:node-localstorage', '1.3.1')
('npm:@types/babel__generator', '7.6.1')
('npm:arrify', '1.0.1')
('npm:has-flag', '2.0.0')
('npm:depd', '1.1.2')
('npm:fast-json-stable-stringify', '2.1.0')
('npm:regexp-clone', '1.0.0')
('npm:is-descriptor', '0.1.6')
('npm:istanbul-lib-instrument', '4.0.1')
('npm:strip-eof', '1.0.0')
('npm:psl', '1.8.0')
('npm:lodash.once', '4.1.1')
('npm:once', '1.4.0')
('npm:natural-compare', '1.4.0')
('npm:get-stream', '3.0.0')
('npm:sprintf-js', '1.0.3')
('npm:require-package-name', '2.0.1')
('npm:buffer-from', '1.1.1')
('npm:jest-matcher-utils', '25.5.0')
('npm:pirates', '4.0.1')
('npm:meow', '3.7.0')
('npm:strip-bom', '2.0.0')
('npm:moleculer-db-adapter-mongo', '0.4.7')
('npm:path-key', '2.0.1')
('npm:crypto-random-string', '1.0.0')
('npm:tiny-human-time', '1.2.0')
('npm:@babel/plugin-syntax-optional-catch-binding', '7.8.3')
('npm:streamsearch', '0.1.2')
('npm:spdx-correct', '3.1.0')
('npm:nedb', '1.8.0')
('npm:jest-haste-map', '25.5.1')
('npm:xml-name-validator', '3.0.0')
('npm:concat-map', '0.0.1')
('npm:defaults', '1.0.3')
('npm:is-fullwidth-code-point', '1.0.0')
('npm:snapdragon-util', '3.0.1')
('npm:yargs', '15.3.1')
('npm:ws', '7.2.5')
('npm:pretty-bytes', '5.3.0')
('npm:npm-check', '5.9.0')
('npm:type-detect', '4.0.8')
('npm:@babel/helper-simple-access', '7.8.3')
('npm:mquery', '3.2.2')
('npm:parse-json', '2.2.0')
('npm:mongoose', '5.8.11')
('npm:snapdragon-node', '2.1.1')
('npm:widest-line', '2.0.1')
('npm:@babel/helper-split-export-declaration', '7.8.3')
('npm:ini', '1.3.5')
('npm:d', '0.1.1')
('npm:pug-runtime', '2.0.5')
('npm:cross-spawn', '5.1.0')
('npm:tough-cookie', '3.0.1')
('npm:is-generator-fn', '2.1.0')
('npm:istanbul-lib-report', '3.0.0')
('npm:@types/prettier', '1.19.1')
('npm:js-stringify', '1.0.2')
('npm:@babel/helper-module-transforms', '7.9.0')
('npm:xmlchars', '2.2.0')
('npm:@jest/types', '25.5.0')
('npm:accepts', '1.3.7')
('npm:globals', '12.3.0')
('npm:@babel/plugin-syntax-async-generators', '7.8.4')
('npm:acorn-globals', '4.3.4')
('npm:@types/babel__template', '7.0.2')
('npm:mime', '1.6.0')
('npm:get-caller-file', '1.0.2')
('npm:esutils', '2.0.2')
('npm:esutils', '2.0.3')
('npm:rsvp', '4.8.5')
('npm:lazy-cache', '1.0.4')
('npm:has-value', '1.0.0')
('npm:makeerror', '1.0.11')
('npm:source-map-support', '0.5.19')
('npm:fb-watchman', '2.0.1')
('npm:mime-db', '1.40.0')
('npm:array-flatten', '1.1.1')
('npm:supports-color', '4.5.0')
('npm:resolve-cwd', '3.0.0')
('npm:is-ci', '1.2.1')
('npm:fastest-validator', '1.0.2')
('npm:performance-now', '2.1.0')
('npm:capture-exit', '2.0.0')
('npm:oauth-sign', '0.9.0')
('npm:object.pick', '1.3.0')
('npm:fast-deep-equal', '3.1.1')
('npm:node-emoji', '1.10.0')
('npm:resolve-from', '4.0.0')
('npm:pug-linker', '3.0.6')
('npm:arr-diff', '4.0.0')
('npm:is-windows', '1.0.2')
('npm:function-bind', '1.1.1')
('npm:he', '1.2.0')
('npm:homedir-polyfill', '1.0.3')
('npm:arr-union', '3.1.0')
('npm:debug', '2.6.9')
('npm:babel-plugin-jest-hoist', '25.5.0')
('npm:chalk', '2.3.0')
('npm:@babel/plugin-syntax-class-properties', '7.8.3')
('npm:imurmurhash', '0.1.4')
('npm:signal-exit', '3.0.2')
('npm:log-update', '3.3.0')
('npm:safe-buffer', '5.1.1')
('npm:json-stable-stringify-without-jsonify', '1.0.1')
('npm:p-finally', '1.0.0')
('npm:lodash.includes', '4.3.0')
('npm:jest-resolve-dependencies', '25.5.4')
('npm:exec-sh', '0.3.4')
('npm:@types/color-name', '1.1.1')
('npm:@types/babylon', '6.16.5')
('npm:pascalcase', '0.1.1')
('npm:lie', '3.1.1')
('npm:minimatch', '3.0.4')
('npm:optionator', '0.8.3')
('npm:collect-v8-coverage', '1.0.1')
('npm:@bcoe/v8-coverage', '0.2.3')
('npm:longest', '1.0.1')
('npm:jest-environment-jsdom', '25.5.0')
('npm:fakerator', '0.3.0')
('npm:@babel/helper-function-name', '7.9.5')
('npm:forwarded', '0.1.2')
('npm:growly', '1.3.0')
('npm:toidentifier', '1.0.0')
('npm:nats', '1.4.0')
('npm:clui', '0.3.6')
('npm:core-js', '2.5.3')
('npm:es5-ext', '0.10.53')
('npm:source-map', '0.6.1')
('npm:pug', '2.0.4')
('npm:object-copy', '0.1.0')
('npm:node-int64', '0.4.0')
('npm:touch', '3.1.0')
('npm:pify', '3.0.0')
('npm:require-main-filename', '2.0.0')
('npm:ecc-jsbn', '0.1.2')
('npm:pkg-dir', '4.2.0')
('npm:fast-deep-equal', '2.0.1')
('npm:tslib', '1.10.0')
('npm:resolve', '1.17.0')
('npm:brace-expansion', '1.1.11')
('npm:cli-boxes', '1.0.0')
('npm:tmpl', '1.0.4')
('npm:w3c-hr-time', '1.0.2')
('npm:y18n', '3.2.1')
('npm:ms', '2.1.2')
('npm:fs.realpath', '1.0.0')
('npm:esrecurse', '4.2.1')
('npm:sliced', '1.0.1')
('npm:pseudomap', '1.0.2')
('npm:jest-environment-node', '25.5.0')
('npm:semver', '5.5.0')
('npm:emoji-regex', '8.0.0')
('npm:package-json', '4.0.1')
('npm:args', '5.0.1')
('npm:depcheck', '0.8.3')
('npm:jest-serializer', '25.5.0')
('npm:readdirp', '3.3.0')
('npm:load-yaml-file', '0.1.1')
('npm:jsdom', '15.2.1')
