('npm:events', '3.1.0')
('npm:pinkie', '2.0.4')
('npm:scss-tokenizer', '0.2.3')
('npm:ansi-colors', '3.2.4')
('npm:run-async', '2.4.1')
('npm:npm-run-path', '2.0.2')
('npm:balanced-match', '1.0.0')
('npm:shebang-command', '1.2.0')
('npm:postcss-load-config', '2.1.0')
('npm:ieee754', '1.1.13')
('npm:mime-types', '2.1.24')
('npm:highcharts', '7.2.2')
('npm:url', '0.11.0')
('npm:wrappy', '1.0.2')
('npm:buffer-xor', '1.0.3')
('npm:fs-extra', '7.0.1')
('npm:terser', '4.6.13')
('npm:figgy-pudding', '3.5.2')
('npm:babylon', '6.18.0')
('pip:chardet', '~> 3.0.4')
('npm:@webassemblyjs/wasm-opt', '1.7.11')
('npm:is-utf8', '0.2.1')
('npm:webpack-dev-server', '3.1.14')
('npm:@ngx-translate/http-loader', '4.0.0')
('npm:randombytes', '2.1.0')
('pip:pydevd-pycharm', '')
('npm:anymatch', '2.0.0')
('npm:cookie', '0.4.0')
('npm:bytes', '3.0.0')
('npm:escape-html', '1.0.3')
('npm:istanbul-lib-coverage', '1.2.1')
('npm:through', '2.3.8')
('npm:chrome-trace-event', '1.0.2')
('npm:@xtuc/long', '4.2.1')
('npm:is-accessor-descriptor', '0.1.6')
('npm:json-schema-traverse', '0.4.1')
('npm:@angular/platform-browser-dynamic', '7.2.16')
('npm:pinkie-promise', '2.0.1')
('npm:nan', '2.14.0')
('npm:rxjs', '6.5.5')
('npm:bonjour', '3.5.0')
('pip:idna', '>= 2.10')
('npm:encodeurl', '1.0.2')
('npm:browserify-des', '1.0.2')
('npm:agent-base', '4.3.0')
('npm:trim-right', '1.0.1')
('npm:amdefine', '1.0.1')
('npm:babel-runtime', '6.26.0')
('npm:extend', '3.0.2')
('npm:load-json-file', '1.1.0')
('npm:to-arraybuffer', '1.0.1')
('npm:make-dir', '2.1.0')
('npm:mem', '4.3.0')
('npm:stream-http', '2.8.3')
('npm:upath', '1.1.2')
('npm:extend-shallow', '3.0.2')
('npm:regjsgen', '0.2.0')
('npm:@angular/router', '7.2.16')
('npm:asap', '2.0.6')
('npm:spdx-license-ids', '3.0.5')
('npm:tree-kill', '1.2.2')
('npm:dns-txt', '2.0.2')
('npm:class-utils', '0.3.6')
('npm:from2', '2.3.0')
('npm:@babel/template', '7.8.6')
('npm:portfinder', '1.0.26')
('npm:thunky', '1.1.0')
('npm:select-hose', '2.0.0')
('npm:to-regex', '3.0.2')
('npm:JSONStream', '1.3.5')
('npm:parseuri', '0.0.5')
('npm:colorette', '1.1.0')
('npm:har-schema', '2.0.0')
('npm:ngx-jsonapi', '2.1.15')
('npm:source-map-loader', '0.2.4')
('npm:tslib', '1.13.0')
('npm:is-finite', '1.1.0')
('npm:are-we-there-yet', '1.1.5')
('pip:requests-mock', '~> 1.7.0')
('npm:arr-flatten', '1.1.0')
('npm:hash-base', '3.1.0')
('npm:qjobs', '1.2.0')
('npm:rimraf', '2.6.3')
('npm:term-size', '2.1.0')
('npm:define-property', '2.0.2')
('npm:semver-dsl', '1.0.1')
('npm:evp_bytestokey', '1.0.3')
('npm:stylus-loader', '3.0.2')
('npm:caniuse-lite', '1.0.30001058')
('npm:browserify-sign', '4.1.0')
('npm:commander', '2.20.0')
('npm:adm-zip', '0.4.14')
('pip:python-mimeparse', '1.6.0')
('npm:https-proxy-agent', '2.2.4')
('npm:which', '1.3.1')
('npm:socket.io-parser', '3.2.0')
('npm:utils-merge', '1.0.1')
('npm:ms', '2.0.0')
('npm:make-fetch-happen', '4.0.2')
('npm:after', '0.8.2')
('pip:six', '1.12.0')
('npm:for-in', '1.0.2')
('npm:npm-package-arg', '6.1.0')
('npm:interpret', '1.2.0')
('pip:attrs', '~> 20.3.0')
('npm:@angular-devkit/build-angular', '0.13.10')
('npm:set-immediate-shim', '1.0.1')
('npm:@webassemblyjs/wasm-parser', '1.7.11')
('npm:copy-webpack-plugin', '5.1.1')
('pip:xxhash', '1.3.0')
('npm:dom-serialize', '2.2.1')
('npm:@schematics/update', '0.13.10')
('npm:clone', '2.1.2')
('npm:cache-base', '4.0.0')
('npm:iconv-lite', '0.4.24')
('npm:socket.io-client', '2.1.1')
('npm:@angular-builders/custom-webpack', '7.5.2')
('npm:to-regex-range', '2.1.1')
('npm:@webassemblyjs/helper-wasm-bytecode', '1.7.11')
('npm:loader-runner', '2.4.0')
('npm:range-parser', '1.2.1')
('npm:repeat-string', '1.6.1')
('npm:@types/source-list-map', '0.1.2')
('npm:bluebird', '3.5.5')
('npm:unset-value', '1.0.0')
('npm:request', '2.88.2')
('npm:in-publish', '2.0.1')
('npm:emoji-regex', '7.0.3')
('npm:babel-template', '6.26.0')
('npm:string.prototype.trimright', '2.1.2')
('npm:normalize-range', '0.1.2')
('npm:typedarray', '0.0.6')
('npm:buffer-indexof', '1.1.1')
('npm:create-hmac', '1.1.7')
('npm:tunnel-agent', '0.6.0')
('npm:lodash', '4.17.19')
('npm:rechoir', '0.6.2')
('npm:shallow-clone', '1.0.0')
('npm:arrify', '1.0.1')
('npm:tiny-emitter', '2.1.0')
('pip:mako', '1.0.8')
('npm:depd', '1.1.2')
('npm:source-map', '0.7.3')
('npm:multicast-dns-service-types', '1.1.0')
('npm:import-fresh', '2.0.0')
('npm:is-descriptor', '0.1.6')
('npm:psl', '1.8.0')
('npm:strip-eof', '1.0.0')
('npm:serve-index', '1.9.1')
('npm:mini-css-extract-plugin', '0.5.0')
('npm:memory-fs', '0.4.1')
('npm:once', '1.4.0')
('npm:ws', '3.3.3')
('npm:ansi-align', '3.0.0')
('npm:font-awesome', '4.7.0')
('npm:base64-js', '1.3.1')
('npm:sprintf-js', '1.0.3')
('npm:buffer-from', '1.1.1')
('npm:get-stream', '3.0.0')
('npm:meow', '3.7.0')
('npm:strip-bom', '2.0.0')
('npm:is-path-cwd', '1.0.0')
('npm:clean-css', '4.2.1')
('pip:py', '1.8.0')
('npm:http-proxy-middleware', '0.18.0')
('npm:chalk', '2.4.2')
('npm:path-key', '2.0.1')
('npm:tough-cookie', '2.5.0')
('npm:spdx-correct', '3.1.0')
('npm:protoduck', '5.0.1')
('npm:cssauron', '1.4.0')
('npm:path', '0.12.7')
('npm:saucelabs', '1.5.0')
('pip:certifi', '')
('npm:karma-coverage-istanbul-reporter', '2.1.1')
('npm:concat-map', '0.0.1')
('npm:is-fullwidth-code-point', '1.0.0')
('npm:pkg-up', '2.0.0')
('npm:snapdragon-util', '3.0.1')
('npm:parseqs', '0.0.5')
('npm:@webassemblyjs/helper-fsm', '1.7.11')
('npm:@angular/compiler', '7.2.16')
('pip:py-sr25519-bindings', '~> 0.1.2')
('npm:parse-json', '2.2.0')
('npm:xml2js', '0.4.23')
('npm:snapdragon-node', '2.1.1')
('npm:@babel/helper-split-export-declaration', '7.8.3')
('npm:multicast-dns', '6.2.3')
('npm:engine.io-parser', '2.1.3')
('npm:ini', '1.3.5')
('npm:prr', '1.0.1')
('npm:compressible', '2.0.18')
('npm:public-encrypt', '4.0.3')
('npm:cli-cursor', '2.1.0')
('npm:streamroller', '1.0.6')
('npm:es-abstract', '1.17.5')
('npm:schema-utils', '1.0.0')
('npm:duplexify', '3.7.1')
('npm:read-cache', '1.0.0')
('npm:ansi-html', '0.0.7')
('npm:emojis-list', '2.1.0')
('npm:object-component', '0.0.3')
('pip:pyparsing', '2.4.2')
('npm:accepts', '1.3.7')
('npm:npm-registry-fetch', '3.9.1')
('npm:cipher-base', '1.0.4')
('npm:mime', '1.6.0')
('npm:which-module', '1.0.0')
('npm:string.prototype.trimleft', '2.1.2')
('npm:default-gateway', '2.7.2')
('npm:@angular/forms', '7.2.16')
('npm:esutils', '2.0.3')
('npm:path-dirname', '1.0.2')
('npm:@angular-devkit/schematics', '7.3.10')
('npm:ngx-translate-messageformat-compiler', '4.7.0')
('npm:npm-pick-manifest', '2.2.3')
('npm:array-flatten', '2.1.2')
('npm:good-listener', '1.2.2')
('npm:mime-db', '1.40.0')
('npm:normalize-path', '2.1.1')
('npm:browserify-rsa', '4.0.1')
('npm:timers-browserify', '2.0.11')
('npm:append-transform', '1.0.0')
('npm:app-root-path', '2.2.1')
('npm:is-binary-path', '1.0.1')
('npm:performance-now', '2.1.0')
('npm:diff', '3.5.0')
('npm:minipass', '2.9.0')
('npm:delegates', '1.0.0')
('npm:webpack-merge', '4.2.1')
('npm:oauth-sign', '0.9.0')
('npm:istanbul-lib-report', '2.0.8')
('npm:lodash.debounce', '4.0.8')
('npm:object.pick', '1.3.0')
('npm:querystringify', '2.1.1')
('npm:get-caller-file', '1.0.3')
