('npm:@types/normalize-package-data', '2.4.1')
('npm:jest-circus', '29.7.0')
('npm:@babel/compat-data', '7.24.7')
('npm:tr46', '3.0.0')
('npm:@jest/test-result', '29.7.0')
('npm:babel-plugin-dynamic-import-node', '2.3.3')
('npm:babel-loader', '9.1.3')
('npm:yargs-parser', '20.2.9')
('npm:is-lambda', '1.0.1')
('npm:v8-to-istanbul', '9.3.0')
('npm:wrappy', '1.0.2')
('npm:@babel/plugin-transform-duplicate-keys', '7.24.7')
('npm:@istanbuljs/schema', '0.1.3')
('npm:babylon', '6.18.0')
('npm:@babel/helper-hoist-variables', '7.24.7')
('npm:uri-js', '4.4.1')
('npm:string_decoder', '1.3.0')
('npm:randombytes', '2.1.0')
('npm:bytes', '3.1.2')
('npm:ansi-regex', '6.0.1')
('npm:memoize-one', '6.0.0')
('npm:bytes', '3.0.0')
('npm:@babel/helper-validator-identifier', '7.24.7')
('npm:postcss-modules-values', '4.0.0')
('npm:@babel/plugin-transform-computed-properties', '7.24.7')
('npm:@types/send', '0.17.4')
('npm:@emotion/utils', '1.2.1')
('npm:escape-html', '1.0.3')
('npm:html-loader', '5.0.0')
('npm:postcss', '8.4.39')
('npm:is-potential-custom-element-name', '1.0.1')
('npm:renderkid', '3.0.0')
('npm:json-schema-traverse', '0.4.1')
('npm:@types/http-proxy', '1.17.9')
('npm:@webassemblyjs/helper-numbers', '1.11.6')
('npm:escape-string-regexp', '2.0.0')
('npm:regexpu-core', '5.3.2')
('npm:type-fest', '0.6.0')
('npm:minipass-pipeline', '1.2.4')
('npm:cookie-parser', '^ 1.4.3')
('npm:colorette', '2.0.17')
('npm:babel-plugin-istanbul', '6.1.1')
('npm:encodeurl', '1.0.2')
('npm:is-docker', '3.0.0')
('npm:true-case-path', '2.2.1')
('npm:jsdom', '20.0.0')
('npm:@jest/environment', '29.7.0')
('npm:trim-right', '1.0.1')
('npm:json-parse-even-better-errors', '2.3.1')
('npm:babel-runtime', '6.26.0')
('npm:@babel/plugin-transform-regenerator', '7.24.7')
('npm:rimraf', '3.0.2')
('npm:webpack-cli', '5.1.4')
('npm:@babel/plugin-transform-unicode-regex', '7.24.7')
('npm:xml-name-validator', '4.0.0')
('npm:chrome-trace-event', '1.0.3')
('npm:cssom', '0.5.0')
('npm:jest-util', '29.7.0')
('npm:@isaacs/cliui', '8.0.2')
('npm:p-retry', '6.2.0')
('npm:@jsonjoy.com/base64', '1.1.2')
('npm:@types/istanbul-lib-coverage', '2.0.4')
('npm:@babel/preset-env', '7.24.7')
('npm:are-we-there-yet', '3.0.0')
('npm:@babel/plugin-transform-new-target', '7.24.7')
('npm:depd', '2.0.0')
('npm:thunky', '1.1.0')
('npm:select-hose', '2.0.0')
('npm:wrap-ansi', '8.1.0')
('npm:acorn', '7.4.1')
('npm:@emotion/babel-plugin', '11.11.0')
('npm:@webassemblyjs/wasm-parser', '1.12.1')
('npm:@babel/plugin-syntax-export-namespace-from', '7.8.3')
('npm:p-limit', '3.1.0')
('npm:@jsonjoy.com/json-pack', '1.0.4')
('npm:is-finite', '1.1.0')
('npm:ajv', '8.11.2')
('npm:@emotion/styled', '11.11.5')
('npm:@babel/helper-wrap-function', '7.24.7')
('npm:terser', '5.31.1')
('npm:is-core-module', '2.9.0')
('npm:@jest/expect-utils', '29.7.0')
('npm:body-parser', '~ 1.13.2')
('npm:type-fest', '0.21.3')
('npm:@testing-library/dom', '10.2.0')
('npm:setprototypeof', '1.1.0')
('npm:dom-helpers', '5.2.1')
('npm:parse-json', '5.2.0')
('npm:form-data', '4.0.0')
('npm:@babel/helper-module-transforms', '7.24.7')
