('npm:coa', '2.0.2')
('pip:pytest-assume', '2.4.3')
('npm:postcss-calc', '7.0.1')
('rust:serde_json', '>= 1.0.0,< 2.0.0')
('npm:balanced-match', '1.0.0')
('npm:ieee754', '1.1.13')
('npm:wrappy', '1.0.2')
('npm:zlib', '1.0.5')
('pip:grpcio', '1.59.3')
('pip:pydantic', '2.5.2')
('npm:html-comment-regex', '1.1.2')
('npm:through', '2.3.8')
('npm:csso', '4.0.2')
('npm:then-request', '6.0.2')
('npm:caniuse-lite', '1.0.30001015')
('rust:rand', '>= 0.8.0,< 0.9.0')
('npm:electron-to-chromium', '1.3.322')
('npm:postcss-ordered-values', '4.1.2')
('pip:coverage', '7.4.4')
('rust:trust-dns-proto', '>= 0.20.0,< 0.21.0')
('npm:asap', '2.0.6')
('npm:timsort', '0.3.0')
('npm:es-abstract', '1.16.3')
('npm:object.getownpropertydescriptors', '2.0.3')
('npm:postcss-reduce-transforms', '4.0.2')
('npm:postcss-normalize-string', '4.0.2')
('rust:chrono', '>= 0.4.0,< 0.5.0')
('npm:postcss-normalize-display-values', '4.0.2')
('npm:commander', '2.20.0')
('npm:postcss-reduce-initial', '4.0.3')
('npm:semver', '6.3.0')
('pip:xlsxwriter', '3.1.9')
('pip:mkdocs-gen-files', '0.5.0')
('npm:hsl-regex', '1.0.0')
('pip:siphash24', '1.4')
('npm:util.promisify', '1.0.0')
('npm:is-date-object', '1.0.1')
('npm:uglify-js', '3.6.0')
('npm:commander', '2.20.3')
('npm:bluebird', '3.5.5')
('rust:ureq', '>= 0.11.0,< 0.12.0')
('npm:normalize-range', '0.1.2')
('npm:typedarray', '0.0.6')
('pip:minify-html', '0.11.1')
('pip:bsdiff4', '1.2.4')
('npm:esprima-ast-utils', '0.0.7')
('npm:import-fresh', '2.0.0')
('npm:comment-parser', '0.6.0')
('npm:postcss-unique-selectors', '4.0.1')
('npm:once', '1.4.0')
('pip:ipython', '7.29.0')
('npm:postcss-colormin', '4.0.3')
('npm:base64-js', '1.3.1')
('npm:sprintf-js', '1.0.3')
('npm:buffer-from', '1.1.1')
('npm:autoprefixer', '9.7.3')
('npm:nth-check', '1.0.2')
('npm:chalk', '2.4.2')
('npm:stable', '0.1.8')
('npm:sync-rpc', '1.3.6')
('npm:concat-map', '0.0.1')
('pip:python-consul', '1.1.0')
('pip:lz4', '4.3.2')
('pip:geopy', '2.4.1')
('pip:pyrad', '2.4')
('npm:rgba-regex', '1.0.0')
('pip:gufo-traceroute', '0.2.0')
('pip:markerlib', '0.6.0')
('npm:read-cache', '1.0.0')
('rust:env_logger', '>= 0.8.0,< 0.9.0')
('npm:@types/form-data', '0.0.33')
('pip:pymongo', '4.6.1')
('pip:pojson', '0.7')
('npm:esutils', '2.0.2')
('npm:cssnano-util-same-parent', '4.0.1')
('npm:esutils', '2.0.3')
('npm:cssnano', '4.1.10')
('pip:urllib3', '< 2')
('rust:trust-dns-resolver', '>= 0.20.0,< 0.21.0')
('pip:pyproj', '3.6.1')
('pip:pygments', '2.17.2')
('npm:function-bind', '1.1.1')
('npm:homedir-polyfill', '1.0.3')
('pip:crontab', '1.0.1')
('npm:postcss-discard-overridden', '4.0.1')
('pip:fs', '2.4.16')
('pip:ruff', '0.0.251')
('npm:postcss-normalize-timing-functions', '4.0.2')
('pip:django', '4.2.11')
('npm:mime-db', '1.42.0')
('npm:minimatch', '3.0.4')
('npm:optionator', '0.8.3')
('npm:postcss-normalize-unicode', '4.0.1')
('npm:caller-path', '2.0.0')
('npm:vendors', '1.0.3')
('npm:source-map', '0.6.1')
('npm:uniqs', '2.0.0')
('pip:psycopg2-binary', '2.9.9')
('npm:brace-expansion', '1.1.11')
('npm:fs.realpath', '1.0.0')
