('npm:@babel/plugin-transform-spread', '7.22.5')
('npm:inquirer', '8.2.6')
('npm:domexception', '2.0.1')
('npm:internal-slot', '1.0.3')
('rust:ryu', '1.0.17')
('npm:pretty-format', '27.3.1')
('npm:jest-resolve-dependencies', '28.1.3')
('rust:sysinfo', '0.30.12')
('npm:detect-port', '1.5.1')
('npm:comma-separated-tokens', '2.0.3')
('npm:@msgpackr-extract/msgpackr-extract-linux-x64', '3.0.2')
('npm:babel-jest', '27.5.1')
('rust:serde_repr', '0.1.18')
('npm:bonjour', '3.5.0')
('npm:d3-color', '2.0.0')
('rust:pest_meta', '2.7.6')
('npm:css-minimizer-webpack-plugin', '^ 3.0.2')
('npm:@types/node', '20.5.3')
('npm:yargs', '17.5.1')
('npm:css-loader', '^ 6.7.3')
('npm:dns-txt', '2.0.2')
('npm:style-loader', '2.0.0')
('npm:depd', '2.0.0')
('rust:uniffi_build', '0.25.3')
('npm:@react-stately/combobox', '3.8.2')
('rust:hashbrown', '0.11.2')
('rust:serde_path_to_error', '0.1.16')
('npm:data-urls', '2.0.0')
('npm:string.prototype.trimstart', '1.0.4')
('npm:npm-install-checks', '6.3.0')
('npm:@npmcli/run-script', '6.0.2')
('npm:signal-exit', '3.0.5')
('npm:async', '2.6.4')
('rust:inlinable_string', '0.1.15')
('rust:anstyle', '1.0.1')
('npm:defu', '6.1.4')
('rust:hdrhistogram', '7.5.4')
('npm:rollup-plugin-dts', '^ 5.2.0')
('npm:string.prototype.trim', '1.2.7')
('npm:jest-worker', '29.7.0')
('npm:@tauri-apps/tauri-forage', '')
('npm:npm-package-arg', '8.1.1')
('npm:@nymproject/nym_node_tester_wasm', '1.0.0')
('npm:clsx', '1.1.1')
('npm:@typescript-eslint/visitor-keys', '5.62.0')
('npm:nodemon', '3.0.1')
('npm:@types/unist', '3.0.0')
('npm:v8-to-istanbul', '9.0.1')
('npm:hello-wasm-pack', '0.1.0')
('npm:typed-array-byte-length', '1.0.0')
('npm:promise-retry', '2.0.1')
('actions:actions/checkout', '2.*.*')
('npm:@cosmjs/encoding', '0.25.6')
('npm:@babel/plugin-transform-block-scoping', '7.24.4')
('npm:memory-fs', '0.4.1')
('rust:windows-sys', '0.42.0')
('npm:expect', '28.1.3')
('rust:windows', '0.52.0')
('npm:@octokit/auth-token', '4.0.0')
('npm:jest-resolve', '29.7.0')
('npm:@babel/plugin-proposal-export-default-from', '7.24.1')
('rust:wry', '0.23.4')
('npm:walker', '1.0.8')
('npm:string.prototype.trimend', '1.0.4')
('rust:scroll', '0.11.0')
('npm:iterate-value', '1.0.2')
('npm:electron-to-chromium', '1.4.215')
('npm:lodash.words', '4.2.0')
('npm:@babel/preset-typescript', '7.22.5')
('npm:snapdragon-node', '2.1.1')
('npm:ci-info', '3.9.0')
('npm:html-encoding-sniffer', '2.0.1')
('npm:unicode-property-aliases-ecmascript', '2.1.0')
('rust:sqlformat', '0.1.8')
('npm:is-generator-fn', '2.1.0')
('rust:fxhash', '0.2.1')
('npm:typeson', '9.0.3')
('npm:array.prototype.map', '1.0.7')
('npm:rollup', '3.29.4')
('npm:@tanstack/react-table', '8.13.2')
('npm:@babel/plugin-bugfix-safari-id-destructuring-collision-in-function-expression', '7.22.5')
('npm:object-inspect', '1.12.3')
('npm:@types/serve-static', '1.15.7')
('npm:@babel/plugin-syntax-flow', '7.24.1')
('npm:unified', '11.0.2')
('npm:debug', '2.6.9')
('npm:spdx-correct', '3.2.0')
('npm:@img/sharp-libvips-linux-s390x', '1.0.2')
('npm:find-root', '1.1.0')
('rust:windows_aarch64_msvc', '0.37.0')
('npm:@react-aria/spinbutton', '3.6.3')
('rust:android_log-sys', '0.3.1')
('npm:@babel/plugin-syntax-dynamic-import', '7.8.3')
('npm:nopt', '5.0.0')
('npm:jest-runtime', '27.5.1')
('rust:windows-sys', '0.45.0')
('npm:@types/json-schema', '7.0.10')
('npm:@jridgewell/sourcemap-codec', '1.4.15')
('npm:thread-stream', '0.15.2')
('npm:v8-compile-cache-lib', '3.0.1')
('npm:@types/express', '4.17.13')
('npm:@rollup/plugin-typescript', '10.0.1')
('npm:@webassemblyjs/wasm-parser', '1.11.1')
('rust:subtle-encoding', '0.5.1')
('rust:object', '0.32.2')
('rust:nym-ephemera-common', '0.1.0')
('rust:cairo-sys-rs', '0.15.1')
('npm:@wdio/reporter', '7.19.1')
('npm:@octokit/types', '11.1.0')
('npm:@nx/nx-linux-arm64-gnu', '16.10.0')
('rust:pairing', '0.20.0')
('rust:elliptic-curve', '0.13.8')
('npm:socks-proxy-agent', '6.2.1')
('npm:@tufjs/canonical-json', '1.0.0')
('npm:async-exit-hook', '2.0.1')
('rust:generic-array', '0.12.4')
('npm:@types/lodash.union', '4.6.6')
('rust:ryu', '1.0.18')
('rust:prost', '0.12.4')
('rust:base64', '0.21.4')
('npm:babel-jest', '29.7.0')
('npm:jest-get-type', '27.3.1')
('npm:@types/d3-timer', '3.0.2')
('npm:clean-webpack-plugin', '^ 4.0.0')
('npm:string-width', '4.2.3')
('npm:p-locate', '3.0.0')
('npm:@jridgewell/trace-mapping', '0.3.14')
('npm:acorn', '8.10.0')
('npm:resolve', '2.0.0-next.3')
('rust:windows_i686_msvc', '0.39.0')
('npm:url-parse', '1.5.10')
('npm:shelljs', '0.8.5')
('npm:style-loader', '^ 3.3.1')
('npm:pumpify', '1.5.1')
('npm:d3-transition', '2.0.0')
('rust:bytemuck', '1.13.1')
('rust:pin-project', '1.1.4')
('npm:string.prototype.trimstart', '1.0.8')
