('npm:pinkie', '2.0.4')
('npm:ngx-cookie', '4.0.2')
('maven:io.micrometer:micrometer-registry-prometheus', '')
('npm:webpack-cli', '4.6.0')
('npm:run-async', '2.4.1')
('npm:npm-run-path', '2.0.2')
('npm:is-lambda', '1.0.1')
('npm:balanced-match', '1.0.0')
('npm:shebang-command', '1.2.0')
('npm:mime-types', '2.1.24')
('npm:ieee754', '1.1.13')
('npm:winston', '3.3.3')
('maven:org.springframework.cloud:spring-cloud-starter-config', '')
('npm:ansi-red', '0.1.1')
('maven:org.apache.maven.plugins:maven-enforcer-plugin', '3.0.0-M1')
('npm:wrappy', '1.0.2')
('npm:html-webpack-plugin', '3.2.0')
('npm:fs-extra', '7.0.1')
('npm:is-utf8', '0.2.1')
('npm:uri-js', '4.4.1')
('npm:color-string', '1.5.5')
('npm:string_decoder', '1.3.0')
('npm:@ngx-translate/http-loader', '4.0.0')
('npm:events', '1.1.1')
('maven:org.springframework.boot:spring-boot-starter-data-mongodb', '')
('npm:js-yaml', '4.0.0')
('npm:dateformat', '3.0.3')
('npm:cache-loader', '2.0.1')
('maven:org.springframework.boot:spring-boot-devtools', '')
('npm:env-variable', '0.0.5')
('npm:arr-union', '2.1.0')
('npm:just-diff', '3.1.1')
('npm:pretty-bytes', '5.6.0')
('npm:ansi-cyan', '0.1.1')
('npm:vinyl-file', '3.0.0')
('npm:vue', '2.6.12')
('npm:through', '2.3.8')
('npm:is-accessor-descriptor', '0.1.6')
('npm:json-schema-traverse', '0.4.1')
('npm:multimatch', '2.1.0')
('npm:then-request', '6.0.2')
('npm:pinkie-promise', '2.0.1')
('npm:cypress', '6.6.0')
('npm:write-file-atomic', '2.4.3')
('npm:minipass-pipeline', '1.2.4')
('npm:plugin-error', '0.1.2')
('maven:org.liquibase:liquibase-core', '')
('npm:html-webpack-plugin', '5.3.1')
('npm:jest-junit', '6.3.0')
('npm:json-parse-even-better-errors', '2.3.1')
('npm:strip-ansi', '5.2.0')
('npm:rimraf', '3.0.2')
('npm:extend', '3.0.2')
('npm:follow-redirects', '1.14.0')
('npm:istextorbinary', '2.5.1')
('maven:com.zaxxer:HikariCP', '')
('npm:prettier-plugin-java', '1.0.2')
('npm:mem', '4.3.0')
('maven:pl.project13.maven:git-commit-id-plugin', '')
('npm:randexp', '0.5.3')
('npm:is-extendable', '0.1.1')
('npm:browser-sync-webpack-plugin', '2.3.0')
('npm:vue2-filters', '0.12.0')
('npm:aws4', '1.8.0')
('npm:@octokit/request-error', '2.0.5')
('npm:extend-shallow', '3.0.2')
('npm:spdx-expression-parse', '3.0.0')
('npm:core-js', '2.6.5')
('npm:asap', '2.0.6')
('maven:com.hazelcast:hazelcast', '')
('npm:class-utils', '0.3.6')
('npm:puppeteer', '8.0.0')
('npm:@babel/highlight', '7.13.10')
('npm:to-regex', '3.0.2')
('npm:vinyl', '2.2.1')
('npm:meow', '5.0.0')
('maven:io.projectreactor:reactor-test', '')
('npm:har-schema', '2.0.0')
('npm:are-we-there-yet', '1.1.5')
('npm:ngx-infinite-scroll', '7.1.0')
('npm:@types/qs', '6.9.6')
('npm:arr-flatten', '1.1.0')
('npm:yargs-parser', '10.1.0')
('npm:rimraf', '2.6.3')
('npm:type-fest', '0.21.3')
('npm:define-property', '2.0.2')
('npm:timed-out', '4.0.1')
('npm:parse-json', '5.2.0')
('npm:optimize-css-assets-webpack-plugin', '5.0.1')
('npm:@types/node', '10.12.27')
('npm:os-shim', '0.1.3')
('npm:color-name', '1.1.4')
('npm:lcid', '2.0.0')
('npm:deep-extend', '0.6.0')
('npm:mem-fs-editor', '8.1.2')
('npm:strip-bom-buf', '1.0.0')
('npm:which', '1.3.1')
('npm:dayjs', '1.10.4')
('npm:@angular/platform-browser', '7.2.12')
('npm:@npmcli/run-script', '1.8.5')
('npm:vuelidate', '0.7.6')
('npm:walk-up-path', '1.0.0')
('npm:dateformat', '4.5.1')
('npm:clone', '1.0.4')
('npm:npm-install-checks', '4.0.0')
('npm:@octokit/graphql', '4.6.1')
('npm:for-in', '1.0.2')
('npm:jest-vue-preprocessor', '1.7.1')
('npm:aws4', '1.11.0')
('npm:find-yarn-workspace-root2', '1.2.16')
('npm:interpret', '1.2.0')
('npm:import-fresh', '3.3.0')
('npm:read-cmd-shim', '2.0.0')
('npm:write-file-webpack-plugin', '4.5.0')
('npm:version-range', '1.1.0')
('npm:url-loader', '4.1.1')
('npm:@types/vuelidate', '0.7.14')
('npm:jhipster-core', '3.6.13')
('maven:com.h2database:h2', '')
('maven:org.springframework.boot:spring-boot-starter-undertow', '')
('npm:dargs', '7.0.0')
('npm:streamfilter', '1.0.7')
('npm:string-template', '0.2.1')
('npm:iconv-lite', '0.4.24')
('npm:@types/chai-string', '1.4.1')
('npm:json-schema-typed', '7.0.3')
('npm:grouped-queue', '2.0.0')
('npm:mem-fs', '1.2.0')
('npm:to-regex-range', '2.1.1')
('npm:parent-module', '1.0.1')
('npm:repeat-string', '1.6.1')
('npm:ci-info', '2.0.0')
('npm:gulp-filter', '5.1.0')
('npm:load-json-file', '4.0.0')
('npm:agent-base', '6.0.2')
('npm:unset-value', '1.0.0')
('npm:request', '2.88.2')
('npm:enabled', '1.0.2')
('npm:opencollective-postinstall', '2.0.3')
('npm:typedarray', '0.0.6')
('npm:pacote', '11.3.3')
('npm:normalize-path', '3.0.0')
('npm:tunnel-agent', '0.6.0')
('npm:vue-property-decorator', '9.1.2')
('npm:rechoir', '0.6.2')
('npm:is-arrayish', '0.3.2')
('npm:promise-retry', '2.0.1')
('npm:semver', '7.3.5')
('npm:arrify', '1.0.1')
('npm:ssri', '8.0.1')
('npm:depd', '1.1.2')
('npm:fast-json-stable-stringify', '2.1.0')
('npm:@octokit/types', '6.14.0')
('npm:symbol-observable', '1.0.1')
('npm:codelyzer', '5.0.0')
('npm:rx', '4.1.0')
('maven:org.ehcache:ehcache', '')
('npm:is-descriptor', '0.1.6')
('npm:make-fetch-happen', '8.0.14')
('npm:psl', '1.8.0')
('npm:@vue/cli-plugin-typescript', '4.5.12')
('npm:is-interactive', '1.0.0')
('npm:strip-eof', '1.0.0')
('npm:mini-css-extract-plugin', '0.5.0')
('npm:semver-regex', '3.1.2')
('npm:once', '1.4.0')
('maven:io.springfox:springfox-bean-validators', '')
('npm:log-symbols', '4.1.0')
('npm:strip-bom-stream', '2.0.0')
('maven:org.apache.maven.plugins:maven-javadoc-plugin', '3.1.0')
('npm:buffer-from', '1.1.1')
('npm:sprintf-js', '1.0.3')
('npm:micromatch', '4.0.4')
('maven:org.springframework.boot:spring-boot-starter-logging', '')
('npm:friendly-errors-webpack-plugin', '1.7.0')
('npm:@npmcli/name-from-folder', '1.0.1')
('npm:mimic-response', '1.0.1')
('npm:mini-css-extract-plugin', '1.4.0')
('npm:strip-bom', '2.0.0')
('npm:@octokit/plugin-paginate-rest', '2.13.3')
('maven:org.springframework.boot:spring-boot-starter-webflux', '')
('npm:detect-indent', '6.0.0')
('npm:chalk', '2.4.2')
('npm:path-key', '2.0.1')
('npm:tough-cookie', '2.5.0')
('npm:minimist', '0.0.8')
('npm:deprecation', '2.3.1')
('npm:spdx-correct', '3.1.0')
('npm:@npmcli/arborist', '2.4.0')
('npm:sinon', '10.0.0')
('npm:merge-jsons-webpack-plugin', '1.0.18')
('maven:org.springframework.boot:spring-boot-starter-actuator', '')
('npm:strip-indent', '2.0.0')
('npm:concat-map', '0.0.1')
('npm:defaults', '1.0.3')
('npm:pkg-up', '2.0.0')
('npm:snapdragon-util', '3.0.1')
('npm:jest-preset-angular', '7.0.1')
('npm:request', '2.88.0')
('npm:read-pkg-up', '7.0.1')
('npm:http-cache-semantics', '4.1.0')
('npm:indent-string', '3.2.0')
('npm:resolve', '1.20.0')
('npm:snapdragon-node', '2.1.1')
('maven:org.springframework.cloud:spring-cloud-starter-openfeign', '')
('npm:end-of-stream', '1.4.1')
('npm:p-cancelable', '0.3.0')
('npm:one-time', '1.0.0')
('npm:cli-cursor', '2.1.0')
('npm:array-differ', '1.0.0')
('npm:tough-cookie', '3.0.1')
('npm:xmlbuilder', '9.0.7')
('npm:colornames', '1.1.1')
('maven:org.mapstruct:mapstruct', '')
('maven:org.springframework.boot:spring-boot-loader-tools', '')
('npm:yeoman-generator', '5.2.0')
('npm:array-differ', '3.0.0')
('npm:error', '10.4.0')
('npm:lru-cache', '6.0.0')
('npm:readable-stream', '3.6.0')
('npm:cli-table', '0.3.6')
('npm:@types/form-data', '0.0.33')
('maven:com.fasterxml.jackson.datatype:jackson-datatype-jsr310', '')
('npm:@nodelib/fs.stat', '2.0.4')
('npm:fast-glob', '3.2.5')
('npm:is-plain-obj', '1.1.0')
('npm:path-dirname', '1.0.2')
('npm:@types/jest', '24.0.11')
('npm:logform', '2.2.0')
('npm:@octokit/plugin-rest-endpoint-methods', '5.0.1')
('npm:has-value', '1.0.0')
('npm:didyoumean', '1.2.1')
('npm:winston-transport', '4.3.0')
('maven:com.fasterxml.jackson.datatype:jackson-datatype-hibernate5', '')
('npm:npm-packlist', '2.1.5')
('npm:@fortawesome/free-solid-svg-icons', '5.8.1')
('npm:gauge', '1.2.7')
('npm:mime-db', '1.40.0')
