('npm:create-hmac', '1.1.4')
('npm:scss-tokenizer', '0.2.3')
('npm:handle-thing', '1.2.5')
('npm:yargs-parser', '20.2.9')
('npm:cliui', '2.1.0')
('npm:wrappy', '1.0.2')
('npm:buffer-xor', '1.0.3')
('npm:repeat-element', '1.1.2')
('npm:recast', '0.11.23')
('npm:semver', '5.0.3')
('npm:debug', '0.7.4')
('npm:@angular/platform-browser-dynamic', '4.0.0')
('npm:multimatch', '2.1.0')
('npm:string.prototype.startswith', '0.2.0')
('npm:postcss-calc', '5.3.1')
('npm:lodash.foreach', '4.5.0')
('npm:lodash.isfinite', '3.3.2')
('npm:amdefine', '1.0.1')
('npm:extend', '3.0.2')
('npm:path-browserify', '0.0.0')
('npm:jasminewd2', '2.1.0')
('npm:copy-webpack-plugin', '4.0.1')
('npm:shallow-clone', '0.1.2')
('npm:parseuri', '0.0.5')
('npm:loader-utils', '0.2.17')
('npm:detect-node', '2.0.3')
('npm:interpret', '1.0.2')
('npm:dev-ip', '1.0.1')
('npm:autoprefixer', '6.7.7')
('npm:timed-out', '4.0.1')
('npm:blocking-proxy', '0.0.5')
('npm:uuid', '3.0.1')
('npm:postcss-discard-unused', '2.2.3')
('npm:split', '0.3.3')
('npm:color-string', '0.3.0')
('npm:ms', '2.0.0')
('npm:configstore', '3.0.0')
('npm:@angular/tsc-wrapped', '4.1.3')
('npm:for-in', '1.0.2')
('npm:wbuf', '1.7.2')
('npm:universalify', '2.0.0')
('npm:dom-serialize', '2.2.1')
('npm:filesize', '3.5.6')
('npm:object-values', '1.0.0')
('npm:boxen', '1.1.0')
('npm:stylus-loader', '3.0.1')
('npm:request', '2.88.2')
('npm:emoji-regex', '7.0.3')
('npm:normalize-range', '0.1.2')
('npm:normalize-path', '3.0.0')
('npm:tunnel-agent', '0.6.0')
('npm:inquirer', '0.10.1')
('npm:icss-replace-symbols', '1.0.2')
('npm:semver', '7.3.5')
('npm:tmp', '0.0.31')
('maven:com.jcraft:jzlib', '1.1.3')
('npm:errno', '0.1.4')
('npm:memory-fs', '0.4.1')
