('rubygems:uglifier', '4.1.19')
('npm:postcss-advanced-variables', '1.2.2')
('rubygems:websocket-extensions', '0.1.3')
('npm:pinkie', '2.0.4')
('npm:postcss-load-plugins', '2.3.0')
('npm:scss-tokenizer', '0.2.3')
('npm:babel-plugin-transform-es2015-literals', '6.22.0')
('npm:babel-helper-define-map', '6.23.0')
('npm:@webassemblyjs/wasm-edit', '1.7.10')
('npm:is-property', '1.0.2')
('npm:postcss-colormin', '2.2.2')
('npm:balanced-match', '1.0.0')
('npm:hash-base', '3.0.4')
('npm:babel-plugin-transform-es2015-block-scoped-functions', '6.22.0')
('npm:caniuse-lite', '1.0.30000899')
('rubygems:tzinfo', '1.2.7')
('rubygems:actionmailer', '5.2.1')
('npm:wrappy', '1.0.2')
('npm:buffer-xor', '1.0.3')
('npm:url', '0.11.0')
('npm:@babel/helper-optimise-call-expression', '7.0.0')
('npm:loader-runner', '2.3.1')
('npm:is-utf8', '0.2.1')
('npm:events', '1.1.1')
('npm:babel-helper-hoist-variables', '6.22.0')
('npm:asn1', '0.2.3')
('npm:anymatch', '2.0.0')
('npm:postcss-modules-values', '1.3.0')
('npm:tapable', '1.1.0')
('npm:babel-types', '6.25.0')
('npm:@webassemblyjs/ast', '1.7.10')
('npm:debug', '0.7.4')
('npm:@babel/helper-get-function-arity', '7.0.0')
('rubygems:guard', '2.14.2')
('rubygems:nokogiri', '1.8.5')
('npm:@xtuc/long', '4.2.1')
('npm:json-schema-traverse', '0.4.1')
('npm:gonzales-pe', '4.0.3')
('npm:postcss-calc', '5.3.1')
('npm:babel-plugin-transform-es2015-shorthand-properties', '6.22.0')
('npm:style-loader', '0.18.2')
('npm:@babel/helper-define-map', '7.1.0')
('npm:loader-utils', '1.0.2')
('npm:pinkie-promise', '2.0.1')
('npm:@babel/helper-plugin-utils', '7.0.0')
('npm:aws-sign2', '0.6.0')
('npm:browserify-des', '1.0.2')
('npm:trim-right', '1.0.1')
('npm:@webassemblyjs/helper-module-context', '1.7.10')
('npm:amdefine', '1.0.1')
('npm:@babel/plugin-transform-parameters', '7.1.0')
('npm:regex-parser', '2.2.7')
('npm:load-json-file', '1.1.0')
('rubygems:listen', '3.0.8')
('npm:lodash.defaults', '4.2.0')
('npm:to-arraybuffer', '1.0.1')
('npm:path-browserify', '0.0.0')
('npm:postcss-minify-gradients', '1.0.5')
('npm:@babel/plugin-transform-spread', '7.0.0')
('npm:hosted-git-info', '2.2.0')
('rubygems:code_analyzer', '0.4.8')
('rubygems:childprocess', '0.9.0')
('npm:normalize-url', '1.9.1')
('npm:stream-http', '2.8.3')
('npm:postcss-discard-comments', '2.0.4')
('rubygems:require_all', '2.0.0')
('npm:source-map-support', '0.4.11')
('npm:@webassemblyjs/utf8', '1.7.10')
('npm:@babel/plugin-transform-shorthand-properties', '7.0.0')
('npm:extend-shallow', '3.0.2')
('rubygems:mimemagic', '0.3.2')
('npm:@webassemblyjs/wast-printer', '1.7.10')
('npm:class-utils', '0.3.6')
('npm:from2', '2.3.0')
('npm:shallow-clone', '0.1.2')
('npm:strip-json-comments', '2.0.1')
('rubygems:sass', '3.5.7')
('npm:to-regex', '3.0.2')
('npm:cacache', '10.0.4')
('rubygems:notiffany', '0.1.1')
('npm:@babel/plugin-proposal-unicode-property-regex', '7.0.0')
('npm:babel-plugin-transform-react-jsx-self', '6.22.0')
('npm:arr-flatten', '1.1.0')
('npm:@babel/plugin-transform-classes', '7.1.0')
('npm:define-property', '2.0.2')
('npm:spdx-license-ids', '1.2.2')
('npm:evp_bytestokey', '1.0.3')
('rubygems:crass', '1.0.4')
('rubygems:i18n', '1.8.5')
('npm:deep-extend', '0.6.0')
('npm:@babel/plugin-transform-template-literals', '7.0.0')
('npm:uuid', '3.0.1')
('npm:sort-keys', '1.1.2')
('npm:postcss-merge-longhand', '2.0.2')
('npm:private', '0.1.7')
('npm:postcss-discard-unused', '2.2.3')
('npm:color-string', '0.3.0')
('npm:bn.js', '4.11.8')
('npm:chalk', '2.0.1')
('npm:argparse', '1.0.9')
('npm:ajv-keywords', '3.2.0')
('npm:qs', '6.3.1')
('npm:for-in', '1.0.2')
('npm:bcrypt-pbkdf', '1.0.1')
('rubygems:chromedriver-helper', '2.1.0')
('npm:regenerator-runtime', '0.10.3')
('npm:mime-types', '2.1.14')
('npm:babel-code-frame', '6.22.0')
('npm:is-glob', '4.0.0')
('rubygems:ast', '2.4.0')
('npm:@babel/plugin-transform-modules-systemjs', '7.1.3')
('npm:macaddress', '0.2.8')
('npm:lazy-cache', '0.2.7')
('rubygems:friendly_id', '5.2.4')
('npm:browserify-sign', '4.0.4')
('npm:buffer', '4.9.1')
('npm:unicode-match-property-ecmascript', '1.0.4')
('rubygems:rubyzip', '1.2.2')
('npm:seed-random', '2.2.0')
('npm:to-regex-range', '2.1.1')
('npm:@webassemblyjs/wasm-gen', '1.7.10')
('rubygems:unicode-display_width', '1.3.0')
('npm:repeat-string', '1.6.1')
('npm:@babel/plugin-transform-exponentiation-operator', '7.1.0')
('npm:iconv-lite', '0.4.15')
('npm:unset-value', '1.0.0')
('npm:@babel/helper-regex', '7.0.0')
('npm:path-parse', '1.0.5')
('npm:isomorphic-fetch', '2.2.1')
('npm:normalize-range', '0.1.2')
('npm:esprima', '3.1.3')
('npm:typedarray', '0.0.6')
('rubygems:pry', '0.10.4')
('npm:@babel/plugin-syntax-json-strings', '7.0.0')
('rubygems:arel', '9.0.0')
('npm:create-hmac', '1.1.7')
('npm:is-builtin-module', '1.0.0')
('npm:babel-helper-function-name', '6.24.1')
('npm:postcss-scss', '1.0.2')
('npm:generate-function', '2.0.0')
('npm:generate-object-property', '1.2.0')
('npm:is-accessor-descriptor', '1.0.0')
('npm:regjsgen', '0.4.0')
('npm:invariant', '2.2.2')
('rubygems:formatador', '0.2.5')
('npm:@babel/plugin-transform-object-super', '7.1.0')
('npm:@babel/highlight', '7.0.0')
('rubygems:mini_portile2', '2.3.0')
('rubygems:powerpack', '0.1.1')
('rubygems:turbolinks', '5.2.0')
('npm:lodash.camelcase', '4.3.0')
('npm:mississippi', '2.0.0')
('npm:node-fetch', '1.6.3')
('rubygems:mini_mime', '1.0.1')
('npm:memory-fs', '0.4.1')
('npm:postcss-mixins', '6.0.1')
('npm:once', '1.4.0')
('npm:vm-browserify', '0.0.4')
('npm:@babel/parser', '7.1.3')
('npm:sugarss', '1.0.0')
('npm:buffer-from', '1.1.1')
('rubygems:xpath', '3.2.0')
('npm:sprintf-js', '1.0.3')
('npm:babel-helpers', '6.24.1')
('npm:html-comment-regex', '1.1.1')
('rubygems:rails_best_practices', '1.19.3')
('npm:nopt', '4.0.1')
('npm:meow', '3.7.0')
('npm:strip-bom', '2.0.0')
('npm:babel-plugin-transform-es2015-for-of', '6.23.0')
('npm:@babel/plugin-proposal-json-strings', '7.0.0')
('npm:postcss', '6.0.5')
('npm:async-each', '1.0.1')
('npm:postcss-discard-duplicates', '2.1.0')
('rubygems:addressable', '2.5.2')
('npm:which', '1.2.14')
('npm:mathjs', '3.14.1')
('rubygems:parser', '2.5.0.0')
('npm:error-ex', '1.3.0')
('rubygems:json', '2.3.1')
('npm:globule', '1.2.0')
('npm:concat-map', '0.0.1')
('npm:stream-shift', '1.0.0')
('npm:babel-helper-regex', '6.22.0')
('npm:autoprefixer', '7.1.1')
('npm:is-fullwidth-code-point', '1.0.0')
('npm:snapdragon-util', '3.0.1')
('npm:babel-plugin-syntax-trailing-function-commas', '6.22.0')
('npm:caniuse-api', '1.6.1')
('npm:regexpu-core', '4.2.0')
('npm:babel-plugin-transform-es2015-unicode-regex', '6.22.0')
('npm:parse-json', '2.2.0')
('npm:component-emitter', '1.2.1')
('npm:babel-helper-explode-assignable-expression', '6.22.0')
('rubygems:rainbow', '3.0.0')
('npm:schema-utils', '0.4.7')
('npm:snapdragon-node', '2.1.1')
('npm:babel-plugin-transform-react-display-name', '6.23.0')
('rubygems:thor', '0.20.0')
('npm:end-of-stream', '1.4.1')
('npm:asap', '2.0.5')
('npm:@webassemblyjs/helper-code-frame', '1.7.10')
('npm:ini', '1.3.5')
('npm:prr', '1.0.1')
('npm:chownr', '1.1.1')
('npm:public-encrypt', '4.0.3')
('rubygems:railties', '5.2.1')
('rubygems:ruby-progressbar', '1.10.0')
('rubygems:coderay', '1.1.2')
('rubygems:dotenv-rails', '2.5.0')
('npm:read-cache', '1.0.0')
('npm:clone-deep', '0.3.0')
('rubygems:rb-fsevent', '0.10.3')
('rubygems:connection_pool', '2.2.2')
('npm:emojis-list', '2.1.0')
('rubygems:mail', '2.7.0')
('npm:postcss-zindex', '2.2.0')
('npm:@babel/helper-builder-binary-assignment-operator-visitor', '7.1.0')
('npm:postcss-svgo', '2.1.6')
('rubygems:erubis', '2.7.0')
('npm:cipher-base', '1.0.4')
('npm:minipass', '2.3.5')
('rubygems:archive-zip', '0.11.0')
('npm:is-plain-obj', '1.1.0')
('npm:which-module', '1.0.0')
('npm:esutils', '2.0.2')
('npm:uglify-es', '3.3.9')
('npm:get-caller-file', '1.0.2')
('npm:path-dirname', '1.0.2')
('npm:has-value', '1.0.0')
('rubygems:rspec-support', '3.8.0')
('npm:normalize-path', '2.1.1')
('npm:browserify-rsa', '4.0.1')
('npm:postcss-custom-selectors', '4.0.1')
('npm:gaze', '1.1.2')
('npm:is-binary-path', '1.0.1')
('rubygems:spring-watcher-listen', '2.0.1')
('npm:delegates', '1.0.0')
('rubygems:actioncable', '5.2.1')
('npm:lodash.debounce', '4.0.8')
('npm:object.pick', '1.3.0')
('rubygems:diff-lcs', '1.3')
('npm:find-cache-dir', '1.0.0')
('npm:babel-preset-es2016', '6.22.0')
('npm:babel-template', '6.25.0')
('npm:@babel/template', '7.1.2')
('npm:run-queue', '1.0.3')
('npm:arr-diff', '4.0.0')
('npm:babel-plugin-transform-es2015-parameters', '6.23.0')
('npm:is-windows', '1.0.2')
('npm:hmac-drbg', '1.0.1')
('rubygems:erubi', '1.7.1')
('npm:graceful-readlink', '1.0.1')
('npm:arr-union', '3.1.0')
('npm:postcss-selector-parser', '2.2.3')
('npm:acorn-dynamic-import', '3.0.0')
('npm:postcss-selector-matches', '3.0.1')
('npm:postcss-import', '10.0.0')
('npm:imurmurhash', '0.1.4')
('npm:babel-plugin-transform-es2015-block-scoping', '6.23.0')
('npm:async', '2.1.5')
('npm:signal-exit', '3.0.2')
('rubygems:shoulda-matchers', '4.4.1')
('npm:js-levenshtein', '1.1.4')
('npm:aproba', '1.2.0')
('npm:babel-helper-get-function-arity', '6.24.1')
('npm:minizlib', '1.1.1')
('npm:pump', '2.0.1')
('npm:binary-extensions', '1.12.0')
('npm:async-foreach', '0.1.3')
('npm:pascalcase', '0.1.1')
('rubygems:rspec-mocks', '3.8.0')
('npm:convert-source-map', '1.4.0')
('npm:minimatch', '3.0.4')
('npm:css', '2.2.1')
('npm:fraction.js', '4.0.0')
('npm:os-homedir', '1.0.2')
('npm:sass-graph', '2.2.4')
('npm:strict-uri-encode', '1.1.0')
('npm:glob-parent', '3.1.0')
('npm:source-map', '0.6.1')
('npm:webpack', '4.23.1')
('npm:object-copy', '0.1.0')
('npm:uniqs', '2.0.0')
('npm:babel-helper-optimise-call-expression', '6.23.0')
('rubygems:sprockets-rails', '3.2.1')
('npm:pify', '3.0.0')
('npm:fstream', '1.0.10')
('rubygems:puma', '3.12.0')
('rubygems:websocket-driver', '0.7.0')
('npm:fast-deep-equal', '2.0.1')
('npm:ecc-jsbn', '0.1.1')
('npm:combined-stream', '1.0.5')
('npm:getpass', '0.1.6')
('npm:@babel/plugin-transform-block-scoping', '7.0.0')
('npm:through2', '2.0.3')
('npm:file-loader', '0.11.2')
('npm:decimal.js', '7.2.3')
('npm:@babel/plugin-syntax-async-generators', '7.0.0')
('rubygems:selenium-webdriver', '3.14.1')
('npm:fs.realpath', '1.0.0')
('npm:esrecurse', '4.2.1')
('npm:pseudomap', '1.0.2')
('npm:postcss-minify-font-values', '1.0.5')
('npm:@babel/plugin-transform-modules-amd', '7.1.0')
('rubygems:sidekiq', '5.2.2')
('npm:cliui', '3.2.0')
('npm:css-selector-tokenizer', '0.7.0')
('npm:globby', '6.1.0')
('npm:atob', '1.1.3')
('npm:mkdirp', '0.5.1')
('npm:babel-plugin-syntax-exponentiation-operator', '6.13.0')
('npm:is-extendable', '1.0.1')
('npm:js-base64', '2.1.9')
('npm:is-descriptor', '1.0.2')
('npm:des.js', '1.0.0')
('npm:babel-plugin-transform-es2015-destructuring', '6.23.0')
('npm:@babel/plugin-transform-async-to-generator', '7.1.0')
('npm:is-arrayish', '0.2.1')
('npm:pako', '1.0.6')
('npm:sshpk', '1.10.2')
('npm:@babel/helper-call-delegate', '7.1.0')
('npm:array-union', '1.0.2')
('npm:extsprintf', '1.0.2')
('npm:query-string', '4.3.4')
('npm:@babel/helper-member-expression-to-functions', '7.0.0')
('npm:postcss-smart-import', '0.7.4')
('npm:node-gyp', '3.6.2')
('npm:node-pre-gyp', '0.10.3')
('npm:is-finite', '1.0.2')
('npm:css-color-function', '1.3.0')
('npm:stream-each', '1.2.3')
('rubygems:msgpack', '1.3.3')
('npm:@xtuc/ieee754', '1.2.0')
('rubygems:summernote-rails', '0.8.10.0')
('npm:bluebird', '3.5.2')
('npm:builtin-modules', '1.1.1')
('npm:querystring-es3', '0.2.1')
('npm:babel-plugin-transform-es2015-modules-commonjs', '6.23.0')
('npm:@babel/plugin-transform-duplicate-keys', '7.0.0')
('npm:react-dom', '15.4.2')
('npm:md5.js', '1.3.5')
('npm:@babel/helper-remap-async-to-generator', '7.1.0')
('npm:xtend', '4.0.1')
('npm:@webassemblyjs/leb128', '1.7.10')
('rubygems:web-console', '3.7.0')
('npm:@babel/helper-hoist-variables', '7.0.0')
('rubygems:shellany', '0.0.1')
('rubygems:bootsnap', '1.4.9')
('npm:map-obj', '1.0.1')
('npm:promise-inflight', '1.0.1')
('npm:https-browserify', '1.0.0')
('npm:@babel/helper-function-name', '7.1.0')
('npm:to-object-path', '0.3.0')
('npm:pumpify', '1.5.1')
('npm:cosmiconfig', '2.1.3')
('npm:@babel/plugin-transform-computed-properties', '7.0.0')
('npm:expand-brackets', '2.1.4')
('npm:minimist', '1.2.0')
('npm:lru-cache', '4.1.3')
('npm:slash', '1.0.0')
('npm:process', '0.11.10')
('npm:postcss-extend', '1.0.5')
('npm:@babel/plugin-transform-regenerator', '7.0.0')
('npm:jsesc', '0.5.0')
('rubygems:brakeman', '4.3.1')
('npm:rgb', '0.1.0')
('rubygems:minitest', '5.14.2')
('npm:postcss-reduce-idents', '2.4.0')
('npm:@babel/plugin-proposal-async-generator-functions', '7.1.0')
('npm:@babel/plugin-transform-unicode-regex', '7.0.0')
('rubygems:activesupport', '5.2.1')
('npm:console-browserify', '1.1.0')
('npm:webpack-sources', '1.3.0')
('npm:make-dir', '1.0.0')
('npm:@webassemblyjs/wasm-parser', '1.7.10')
('npm:is-directory', '0.3.1')
('npm:assign-symbols', '1.0.0')
('npm:lcid', '1.0.0')
('npm:vendors', '1.0.1')
('npm:babel-plugin-transform-regenerator', '6.22.0')
('rubygems:slop', '3.6.0')
('rubygems:rubocop', '0.52.1')
('npm:path-exists', '3.0.0')
('npm:babel-plugin-transform-class-properties', '6.24.1')
('npm:camelcase-css', '1.0.1')
('npm:@babel/plugin-transform-new-target', '7.0.0')
('npm:@webassemblyjs/helper-wasm-bytecode', '1.7.10')
('npm:json-schema', '0.2.3')
('npm:upath', '1.1.0')
('npm:postcss-load-options', '1.2.0')
('npm:path-complete-extname', '0.1.0')
('npm:babel-helper-builder-react-jsx', '6.23.0')
('rubygems:spring', '2.0.2')
('npm:babel-preset-es2017', '6.22.0')
('rubygems:rack-proxy', '0.6.5')
('npm:babel-plugin-syntax-jsx', '6.18.0')
('npm:@babel/generator', '7.1.3')
('npm:asn1.js', '4.10.1')
('npm:path-type', '1.1.0')
('npm:reduce-function-call', '1.0.2')
('npm:cssesc', '0.1.0')
('rubygems:activemodel', '5.2.1')
('npm:is-number', '3.0.0')
('npm:@babel/plugin-syntax-optional-catch-binding', '7.0.0')
('npm:get-stdin', '4.0.1')
('rubygems:rollbar', '2.18.0')
('npm:ignore-walk', '3.0.1')
('npm:read-pkg-up', '1.0.1')
('npm:find-up', '2.1.0')
('npm:worker-farm', '1.6.0')
('npm:source-list-map', '2.0.1')
('npm:unicode-property-aliases-ecmascript', '1.0.4')
('rubygems:bindex', '0.5.0')
('rubygems:fuubar', '2.3.2')
('npm:ansi-styles', '3.2.1')
('npm:cache-base', '1.0.1')
('npm:dashdash', '1.14.1')
('npm:brace-expansion', '1.1.8')
('npm:safe-regex', '1.1.0')
('npm:stringstream', '0.0.5')
('npm:babylon', '6.17.4')
('npm:has-ansi', '2.0.0')
('npm:@babel/helper-replace-supers', '7.1.0')
('npm:ua-parser-js', '0.7.12')
('npm:wide-align', '1.1.0')
('npm:postcss-filter-plugins', '2.0.2')
('npm:@babel/helper-split-export-declaration', '7.0.0')
('rubygems:method_source', '0.8.2')
('npm:node-libs-browser', '2.1.0')
('npm:@babel/plugin-transform-sticky-regex', '7.0.0')
('npm:@babel/types', '7.1.3')
('npm:react', '15.4.2')
('npm:@babel/plugin-transform-modules-umd', '7.1.0')
('rubygems:factory_girl_rails', '4.9.0')
('npm:promise-each', '2.2.0')
('npm:in-publish', '2.0.0')
('npm:chokidar', '2.0.4')
