('maven:com.amazonaws:aws-java-sdk-s3', '')
('maven:de.flapdoodle.embed:de.flapdoodle.embed.mongo', '1.45')
('maven:bio.overture:score-client', '')
('maven:org.thymeleaf:thymeleaf', '3.0.9.RELEASE')
('maven:org.assertj:assertj-core', '')
('maven:com.fasterxml.jackson.dataformat:jackson-dataformat-csv', '')
('maven:com.scireum:s3ninja', '2.7')
('maven:org.springframework.boot:spring-boot-starter-validation', '')
('pip:sphinx-rtd-theme', '')
('maven:co.paralleluniverse:javafs', '0.1.0')
('maven:commons-lang:commons-lang', '2.6')
('maven:org.apache.maven.plugins:maven-surefire-plugin', '2.16')
('maven:com.fasterxml.jackson.core:jackson-core', '')
('maven:org.springframework.boot:spring-boot-starter-oauth2-resource-server', '')
('maven:org.assertj:assertj-core', '3.25.3')
('maven:com.google.guava:guava', '19.0')
('maven:com.sun.jersey:jersey-client', '1.19.1')
('maven:org.springframework.security.oauth:spring-security-oauth2', '')
('maven:org.springframework.boot:spring-boot-starter-thymeleaf', '2.0.3.RELEASE')
('maven:org.assertj:assertj-core', '1.7.1')
('maven:bio.overture:score-server', '')
('maven:org.springframework.boot:spring-boot-starter-test', '')
('maven:com.spotify.fmt:fmt-maven-plugin', '2.21.1')
('maven:org.springframework.cloud:spring-cloud-dependencies', '')
('maven:com.fasterxml.jackson.core:jackson-databind', '')
('maven:com.beust:jcommander', '1.35')
('maven:org.mockito:mockito-core', '')
('maven:com.github.samtools:htsjdk', '2.16.0')
('maven:org.fusesource.jansi:jansi', '1.11')
('maven:com.microsoft.azure:azure-storage', '')
('maven:com.google.guava:guava', '15.0')
('pip:sphinx', '')
('maven:org.springframework.boot:spring-boot-starter', '')
('maven:jline:jline', '2.14.6')
('maven:org.apache.maven.plugins:maven-jar-plugin', '3.3.0')
('maven:org.springframework.security:spring-security-test', '5.1.9')
('maven:com.google.code.findbugs:annotations', '')
('maven:org.springframework.cloud:spring-cloud-starter-vault-config', '')
('com.github.overture-stack/score', '')
('pip:sphinx-autobuild', '')
('maven:io.springfox:springfox-swagger-ui', '2.9.1')
('maven:org.skyscreamer:jsonassert', '1.2.2')
('maven:javax.annotation:javax.annotation-api', '1.3.2')
('maven:org.springframework.security:spring-security-jwt', '')
('maven:org.springframework.boot:spring-boot-starter-web', '')
('maven:org.bouncycastle:bcprov-jdk15on', '1.51')
('maven:org.kohsuke:akuma', '1.10')
('maven:org.springframework.boot:spring-boot-maven-plugin', '')
('maven:io.jsonwebtoken:jjwt', '0.9.1')
('maven:org.apache.maven.plugins:maven-compiler-plugin', '')
('maven:org.projectlombok:lombok', '')
('maven:org.apache.maven.plugins:maven-pmd-plugin', '')
('maven:com.sun.jersey:jersey-json', '1.19.1')
('maven:org.springframework.cloud:spring-cloud-starter-bootstrap', '')
('maven:io.springfox:springfox-swagger2', '2.9.1')
('maven:org.springframework.boot:spring-boot-starter-actuator', '')
('maven:junit:junit', '')
('maven:org.bouncycastle:bcmail-jdk15on', '1.51')
('maven:com.google.guava:guava', '20.0')
('maven:org.springframework.boot:spring-boot-starter-parent', '')
('maven:org.springframework.retry:spring-retry', '')
