('npm:async', '2.6.0')
('npm:pinkie', '2.0.4')
('npm:chokidar', '2.1.6')
('npm:ramda', '0.25.0')
('npm:sshpk', '1.13.1')
('npm:astral-regex', '1.0.0')
('npm:write-file-atomic', '2.3.0')
('npm:mixin-deep', '1.3.2')
('npm:npm-run-path', '2.0.2')
('npm:jest-message-util', '22.4.3')
('npm:balanced-match', '1.0.0')
('npm:shebang-command', '1.2.0')
('npm:ieee754', '1.1.13')
('npm:lodash', '4.17.15')
('npm:wrappy', '1.0.2')
('npm:fs-extra', '7.0.1')
('npm:repeat-element', '1.1.2')
('npm:babylon', '6.18.0')
('npm:is-utf8', '0.2.1')
('npm:doctrine', '2.1.0')
('npm:events', '1.1.1')
('npm:asn1', '0.2.3')
('npm:tar-pack', '3.4.1')
('npm:moment-timezone', '0.5.27')
('npm:anymatch', '2.0.0')
('npm:rfdc', '1.1.2')
('npm:config-chain', '1.1.11')
('npm:bytes', '3.0.0')
('npm:walker', '1.0.7')
('npm:throat', '4.1.0')
('npm:escape-html', '1.0.3')
('npm:newrelic', '4.6.0')
('npm:istanbul-lib-coverage', '1.2.1')
('npm:through', '2.3.8')
('npm:content-type-parser', '1.0.2')
('npm:is-accessor-descriptor', '0.1.6')
('npm:whatwg-url', '6.4.0')
('npm:js-beautify', '1.10.2')
('npm:pinkie-promise', '2.0.1')
('npm:opentracing', '0.14.4')
('npm:write-file-atomic', '2.4.3')
('npm:nan', '2.14.0')
('npm:postgres-bytea', '1.0.0')
('npm:encodeurl', '1.0.2')
('npm:aws-sign2', '0.6.0')
('npm:agent-base', '4.3.0')
('npm:trim-right', '1.0.1')
('npm:babel-runtime', '6.26.0')
('npm:amdefine', '1.0.1')
('npm:extend', '3.0.2')
('npm:date-format', '1.2.0')
('npm:mem', '4.3.0')
('npm:slice-ansi', '1.0.0')
('npm:upath', '1.1.2')
('npm:is-extendable', '0.1.1')
('npm:aws4', '1.8.0')
('npm:realpath-native', '1.1.0')
