('npm:lower-case', '1.1.4')
('npm:pinkie', '2.0.4')
('npm:axios', '0.15.3')
('npm:@types/jasminewd2', '2.0.3')
('npm:less-loader', '4.0.5')
('npm:postcss-load-plugins', '2.3.0')
('npm:sshpk', '1.13.1')
('npm:scss-tokenizer', '0.2.3')
('npm:handle-thing', '1.2.5')
('npm:npm-run-path', '2.0.2')
('npm:is-property', '1.0.2')
('npm:postcss-colormin', '2.2.2')
('npm:balanced-match', '1.0.0')
('npm:shebang-command', '1.2.0')
('npm:hash-base', '3.0.4')
('npm:qjobs', '1.1.5')
('npm:url', '0.11.0')
('npm:wrappy', '1.0.2')
('npm:buffer-xor', '1.0.3')
('npm:schema-utils', '0.4.3')
('npm:repeat-element', '1.1.2')
('npm:babylon', '6.18.0')
('npm:errno', '0.1.6')
('npm:is-utf8', '0.2.1')
('npm:events', '1.1.1')
('npm:tar-pack', '3.4.1')
('npm:asn1', '0.2.3')
('npm:slack-node', '0.2.0')
('npm:array-filter', '0.0.1')
('npm:anymatch', '2.0.0')
('npm:bytes', '3.0.0')
('npm:timers-browserify', '2.0.6')
('npm:postcss-modules-values', '1.3.0')
('npm:escape-html', '1.0.3')
('npm:tsutils', '2.19.1')
('npm:rxjs', '5.5.6')
('npm:through', '2.3.8')
('npm:sockjs-client', '1.1.4')
('npm:@angular-devkit/schematics', '0.0.52')
('npm:array-includes', '3.0.3')
('npm:socks-proxy-agent', '2.1.1')
('npm:istanbul-lib-instrument', '1.9.1')
('npm:read-pkg', '2.0.0')
('npm:postcss-calc', '5.3.1')
('npm:require_optional', '1.0.1')
('npm:pinkie-promise', '2.0.1')
('npm:elliptic', '6.4.0')
('npm:bonjour', '3.5.0')
('npm:encodeurl', '1.0.2')
('npm:lru-cache', '2.6.5')
('npm:clean-css', '4.1.9')
('npm:trim-right', '1.0.1')
('npm:amdefine', '1.0.1')
('npm:babel-runtime', '6.26.0')
('npm:path-browserify', '0.0.0')
('npm:to-arraybuffer', '1.0.1')
('npm:postcss-minify-gradients', '1.0.5')
('npm:date-format', '1.2.0')
('com.github.pclubiitk/puppy-love', '')
('npm:normalize-url', '1.9.1')
('npm:postcss-discard-comments', '2.0.4')
('npm:tslint', '5.9.1')
('npm:httpreq', '0.4.24')
('npm:module-deps', '4.1.1')
('npm:is-path-in-cwd', '1.0.0')
('npm:hash.js', '1.1.3')
('npm:extend-shallow', '3.0.2')
('npm:regjsgen', '0.2.0')
('npm:netmask', '1.0.6')
('npm:asap', '2.0.6')
('npm:flush-write-stream', '1.0.2')
('npm:dns-txt', '2.0.2')
('npm:class-utils', '0.3.6')
('npm:from2', '2.3.0')
('npm:shallow-clone', '0.1.2')
('npm:strip-json-comments', '2.0.1')
('npm:d3-zoom', '1.7.1')
('npm:cacache', '10.0.2')
('npm:select-hose', '2.0.0')
('npm:convert-source-map', '1.1.3')
('npm:ripemd160', '2.0.1')
('npm:parseuri', '0.0.5')
('npm:subarg', '1.0.0')
('npm:http-parser-js', '0.4.9')
('npm:har-schema', '2.0.0')
('npm:loader-utils', '0.2.17')
('npm:istanbul-lib-source-maps', '1.2.2')
('npm:detect-node', '2.0.3')
('npm:file-uri-to-path', '1.0.0')
('npm:arr-flatten', '1.1.0')
('npm:@angular/compiler-cli', '5.2.2')
('npm:setprototypeof', '1.1.0')
('npm:semver-dsl', '1.0.1')
('npm:spdx-license-ids', '1.2.2')
('npm:evp_bytestokey', '1.0.3')
('npm:extend', '3.0.1')
('npm:blocking-proxy', '0.0.5')
('npm:tsconfig', '7.0.0')
('npm:sort-keys', '1.1.2')
('npm:rw', '1.3.3')
('npm:http-errors', '1.6.2')
('npm:postcss-merge-longhand', '2.0.2')
('npm:karma-jasmine', '1.1.1')
('npm:postcss-discard-unused', '2.2.3')
('npm:wide-align', '1.1.2')
('npm:utils-merge', '1.0.1')
('npm:ms', '2.0.0')
('npm:color-string', '0.3.0')
('npm:bn.js', '4.11.8')
('npm:after', '0.8.2')
('npm:istanbul-reports', '1.1.3')
('npm:jasmine-core', '2.9.1')
('npm:argparse', '1.0.9')
('npm:is-symbol', '1.0.1')
('npm:for-in', '1.0.2')
('npm:bcrypt-pbkdf', '1.0.1')
('npm:braces', '2.3.0')
('npm:binary-extensions', '1.11.0')
