('npm:yargs', '15.4.1')
('npm:babel-loader', '9.1.3')
('npm:yargs-parser', '20.2.9')
('npm:@npmcli/fs', '3.1.1')
('npm:@esbuild/linux-ia32', '0.21.3')
('nuget:Microsoft.Extensions.Caching.Redis', '2.2.0')
('npm:whatwg-url', '7.1.0')
('npm:wrappy', '1.0.2')
('npm:@babel/plugin-transform-duplicate-keys', '7.24.7')
('npm:@istanbuljs/schema', '0.1.3')
('npm:typed-assert', '1.0.9')
('npm:@inquirer/figures', '1.0.3')
('npm:schema-utils', '2.7.0')
('npm:@babel/plugin-transform-function-name', '7.18.9')
('npm:@babel/helper-hoist-variables', '7.24.7')
('npm:@vue/cli-plugin-pwa', '5.0.8')
('npm:adm-zip', '0.5.10')
('npm:@types/istanbul-reports', '3.0.4')
('nuget:xunit', '2.4.0')
('npm:@babel/traverse', '7.20.5')
('npm:workbox-strategies', '6.5.4')
('nuget:Microsoft.AspNetCore.Mvc.NewtonsoftJson', '3.1.0')
('npm:escape-string-regexp', '2.0.0')
('npm:postcss-discard-empty', '5.1.1')
('npm:is-docker', '3.0.0')
('npm:@esbuild/linux-arm64', '0.20.2')
('npm:@types/ws', '8.5.3')
('npm:@babel/plugin-transform-regenerator', '7.24.7')
('npm:@babel/preset-env', '7.20.2')
('npm:extend', '3.0.2')
('npm:xml-name-validator', '4.0.0')
('npm:@babel/plugin-transform-modules-commonjs', '7.19.6')
('npm:html-tags', '2.0.0')
('npm:@isaacs/cliui', '8.0.2')
('npm:npm-package-arg', '11.0.2')
('npm:uncontrollable', '8.0.4')
('npm:@webassemblyjs/ieee754', '1.11.1')
('npm:depd', '2.0.0')
('npm:ua-parser-js', '0.7.35')
('npm:wrap-ansi', '8.1.0')
('nuget:dbup', '5.0.37')
('npm:p-limit', '3.1.0')
('npm:@babel/helper-module-transforms', '7.24.7')
('npm:@esbuild/aix-ppc64', '0.21.3')
('npm:npm-install-checks', '6.3.0')
('npm:abort-controller', '3.0.0')
('npm:builtin-modules', '3.3.0')
('npm:semver', '6.3.0')
('npm:https-proxy-agent', '2.2.4')
('npm:@redux-saga/core', '1.3.0')
('nuget:MiniProfiler.EntityFrameworkCore', '4.3.8')
('npm:ms', '2.0.0')
('npm:async', '2.6.4')
('npm:path-scurry', '1.11.1')
('npm:@babel/helper-simple-access', '7.24.7')
('npm:braces', '3.0.3')
('npm:http-proxy-middleware', '2.0.6')
('npm:mute-stream', '1.0.0')
('npm:get-stream', '6.0.1')
('npm:node-gyp-build-optional-packages', '5.2.2')
('npm:@babel/plugin-proposal-export-namespace-from', '7.18.9')
('npm:@vue/cli-plugin-typescript', '5.0.8')
('npm:html-entities', '2.5.2')
('npm:@babel/plugin-transform-sticky-regex', '7.24.7')
('npm:universalify', '2.0.0')
('nuget:Grpc.Net.Client', '2.25.0')
('npm:dom-serialize', '2.2.1')
('nuget:MediatR', '12.2.0')
('npm:@types/bonjour', '3.5.13')
('npm:@babel/helper-skip-transparent-expression-wrappers', '7.24.7')
('npm:find-cache-dir', '4.0.0')
('npm:msgpackr-extract', '3.0.3')
('npm:request', '2.88.2')
('npm:normalize-range', '0.1.2')
('npm:piscina', '4.5.0')
('npm:@esbuild/android-arm64', '0.21.3')
('npm:normalize-path', '3.0.0')
('npm:source-map-support', '0.4.18')
('npm:tunnel-agent', '0.6.0')
('npm:builtins', '5.0.1')
('npm:detect-libc', '2.0.3')
('npm:@esbuild/linux-mips64el', '0.21.3')
('npm:promise-retry', '2.0.1')
('nuget:FluentValidation.AspNetCore', '11.3.0')
('npm:mime-types', '2.1.35')
('nuget:Microsoft.AspNetCore.DataProtection.EntityFrameworkCore', '8.0.0')
('actions:actions/checkout', '2.*.*')
('nuget:Azure.Extensions.AspNetCore.Configuration.Secrets', '1.3.0')
('npm:@angular/cli', '18.0.6')
('npm:is-interactive', '1.0.0')
('npm:@babel/plugin-transform-member-expression-literals', '7.18.6')
('npm:sprintf-js', '1.0.3')
('nuget:GraphQL.Server.All', '7.6.0')
('npm:@msgpackr-extract/msgpackr-extract-linux-x64', '3.0.3')
('npm:accepts', '1.3.8')
('npm:@babel/plugin-proposal-private-methods', '7.18.6')
('nuget:Microsoft.Azure.SignalR', '1.22.0')
('npm:stable', '0.1.8')
('npm:p-locate', '6.0.0')
('npm:core-js', '3.26.1')
('npm:msgpackr', '1.10.2')
('npm:istanbul-lib-coverage', '2.0.5')
('npm:dom-serializer', '1.4.1')
('npm:lodash.mapvalues', '4.6.0')
('npm:@vue/shared', '3.2.45')
('npm:@babel/plugin-transform-async-generator-functions', '7.24.3')
('nuget:Microsoft.AspNetCore.Authentication.OpenIdConnect', '6.0.0')
('npm:ci-info', '3.9.0')
('npm:fastq', '1.14.0')
('npm:unicode-property-aliases-ecmascript', '2.1.0')
('npm:tr46', '0.0.3')
('nuget:VaultSharp', '1.13.0.1')
('nuget:Microsoft.AspNetCore.Mvc.Api.Analyzers', '2.2.6')
('npm:@babel/plugin-syntax-import-attributes', '7.24.7')
('npm:cssesc', '3.0.0')
('npm:workbox-navigation-preload', '6.5.4')
('nuget:Microsoft.Extensions.Http', '8.0.0')
('nuget:AspNetCore.HealthChecks.UI.InMemory.Storage', '7.0.0')
('npm:object-inspect', '1.12.3')
('npm:@types/serve-static', '1.15.7')
('npm:array-flatten', '1.1.1')
('npm:async', '3.2.4')
('npm:@redux-saga/delay-p', '1.2.1')
