('maven:org.springframework.cloud:spring-cloud-starter-netflix-eureka-client', '')
('maven:org.springframework.cloud:spring-cloud-starter-config', '')
('maven:org.springframework.cloud:spring-cloud-starter-openfeign', '')
('maven:org.springdoc:springdoc-openapi-starter-webflux-ui', '2.6.0')
('maven:org.springframework.cloud:spring-cloud-starter-gateway', '')
('maven:org.springframework.boot:spring-boot-starter-test', '')
('maven:org.springframework.cloud:spring-cloud-starter-netflix-eureka-server', '')
('maven:io.github.openfeign:feign-micrometer', '')
('maven:com.google.cloud.tools:jib-maven-plugin', '3.4.3')
('maven:org.springframework.cloud:spring-cloud-dependencies', '')
('maven:org.springdoc:springdoc-openapi-starter-webflux-api', '2.6.0')
('maven:org.springdoc:springdoc-openapi-starter-webmvc-api', '2.6.0')
('maven:io.opentelemetry:opentelemetry-exporter-zipkin', '')
('maven:org.springframework.boot:spring-boot-starter-web', '')
('maven:org.springframework.cloud:spring-cloud-dependencies', '2023.0.3')
('maven:org.springframework.boot:spring-boot-maven-plugin', '')
('maven:org.springframework.cloud:spring-cloud-config-server', '')
('maven:io.micrometer:micrometer-tracing-bridge-otel', '')
('maven:org.springframework.boot:spring-boot-starter-actuator', '')
('maven:org.springframework.cloud:spring-cloud-openfeign-core', '')
('maven:org.instancio:instancio-junit', '4.8.1')
('maven:org.jacoco:jacoco-maven-plugin', '0.8.12')
('com.github.piomin/sample-spring-microservices-new', '')
