('npm:babel-loader', '9.1.3')
('npm:cross-fetch', '2.2.6')
('npm:wrappy', '1.0.2')
('npm:buffer-xor', '1.0.3')
('npm:@istanbuljs/schema', '0.1.3')
('npm:@babel/plugin-transform-duplicate-keys', '7.24.7')
('npm:@babel/helper-hoist-variables', '7.24.7')
('npm:es-shim-unscopables', '1.0.2')
('npm:memorystream', '0.3.1')
('npm:escape-string-regexp', '2.0.0')
('npm:is-fn', '1.0.0')
('npm:@babel/plugin-transform-regenerator', '7.24.7')
('npm:@types/node', '12.20.55')
('npm:extend', '3.0.2')
('npm:@types/yargs', '17.0.11')
('npm:xml-name-validator', '4.0.0')
('npm:content-hash', '2.5.2')
('npm:semaphore', '1.1.0')
('npm:cssom', '0.5.0')
('npm:depd', '2.0.0')
('npm:p-limit', '3.1.0')
('npm:is-generator-function', '1.0.10')
('npm:timed-out', '4.0.1')
('npm:@babel/helper-module-transforms', '7.24.7')
('npm:evp_bytestokey', '1.0.3')
('npm:fake-merkle-patricia-tree', '1.0.1')
('npm:ws', '8.8.1')
('npm:resolve-from', '5.0.0')
('npm:pbkdf2', '3.1.2')
('npm:@walletconnect/types', '1.8.0')
('npm:acorn', '8.9.0')
('npm:async', '2.6.4')
('npm:ms', '2.0.0')
('npm:@babel/helper-simple-access', '7.24.7')
('npm:braces', '3.0.3')
('npm:get-stream', '6.0.1')
('npm:jest-worker', '29.7.0')
('npm:@babel/plugin-transform-sticky-regex', '7.24.7')
('npm:@babel/helper-skip-transparent-expression-wrappers', '7.24.7')
('npm:find-cache-dir', '4.0.0')
('npm:@walletconnect/encoding', '1.0.1')
('npm:request', '2.88.2')
('npm:xhr2-cookies', '1.1.0')
('npm:emoji-regex', '7.0.3')
('npm:normalize-range', '0.1.2')
('actions:blockscout/blockscout-ci-cd/.github/workflows/deploy.yaml', 'master')
('npm:normalize-path', '3.0.0')
('npm:istanbul-lib-source-maps', '4.0.1')
('npm:tunnel-agent', '0.6.0')
('npm:builtins', '5.0.1')
('npm:typed-array-byte-length', '1.0.0')
('npm:mime-types', '2.1.35')
('npm:chai', '4.3.4')
('npm:yaeti', '0.0.6')
('npm:collect-v8-coverage', '1.0.2')
('npm:available-typed-arrays', '1.0.5')
