('npm:@babel/plugin-transform-spread', '7.22.5')
('go:golang.org/x/crypto', '0.22.0')
('composer:symfony/stopwatch', '7.0.3')
('npm:@tweenjs/tween.js', '17.6.0')
('npm:vue', '2.7.11')
('npm:wrappy', '1.0.2')
('npm:buffer-xor', '1.0.3')
('composer:tomaj/hermes', '>= 4.0,< 5.0')
('npm:@babel/plugin-transform-function-name', '7.18.9')
('composer:phpoption/phpoption', '1.9.2')
('npm:which-typed-array', '1.1.9')
('composer:ext-json', '>= 0')
('npm:webpack', '5.76.1')
('npm:memorystream', '0.3.1')
('composer:phar-io/manifest', '2.0.4')
('composer:sebastian/environment', '6.1.0')
('go:github.com/golang/groupcache', '0.0.0-20210331224755-41bb18bfe9da')
('npm:@babel/helper-wrap-function', '7.22.5')
('npm:postcss-discard-empty', '5.1.1')
('npm:@babel/preset-env', '7.20.2')
('composer:symfony/polyfill-intl-idn', '1.28.0')
('npm:@babel/parser', '7.19.4')
('composer:guzzlehttp/guzzle', '>= 7.0.1,< 8.0.0')
('composer:theseer/tokenizer', '1.2.2')
('go:goa.design/plugins/v3', '3.16.1')
('go:github.com/spf13/pflag', '1.0.5')
('npm:@isaacs/cliui', '8.0.2')
('npm:@webassemblyjs/ieee754', '1.11.1')
('composer:snowplow/referer-parser-php', '0.0.1')
('npm:style-loader', '2.0.0')
('npm:depd', '2.0.0')
('composer:symfony/polyfill-php81', '1.27.0')
('composer:laravelcollective/html', '>= 6.2,< 7.0')
('npm:wrap-ansi', '8.1.0')
('composer:psr/http-message', '1.1')
('go:github.com/golang/protobuf', '1.5.4')
('npm:evp_bytestokey', '1.0.3')
('npm:string.prototype.trimstart', '1.0.4')
('npm:resolve-from', '5.0.0')
('npm:semver', '6.3.0')
('npm:pbkdf2', '3.1.2')
('npm:ms', '2.0.0')
('npm:rison', '^ 0.1.1')
('npm:nette.ajax.js', '^ 2.3.0')
('npm:http-proxy-middleware', '2.0.6')
('npm:get-stream', '6.0.1')
('composer:cakephp/core', '5.0.6')
('npm:string.prototype.trim', '1.2.7')
('composer:sebastian/cli-parser', '1.0.1')
