('npm:pinkie', '2.0.4')
('npm:astral-regex', '1.0.0')
('npm:write-file-atomic', '2.3.0')
('npm:npm-run-path', '2.0.2')
('npm:balanced-match', '1.0.0')
('npm:shebang-command', '1.2.0')
('npm:@snyk/composer-lockfile-parser', '1.4.0')
('npm:ieee754', '1.1.13')
('npm:winston', '3.3.3')
('npm:koa-jwt', '^ 3.5.1')
('npm:wrappy', '1.0.2')
('npm:fast-glob', '3.2.4')
('npm:lodash.flatmap', '4.5.0')
('npm:babylon', '6.18.0')
('npm:math-random', '1.0.1')
('npm:is-utf8', '0.2.1')
('npm:jest-changed-files', '23.4.2')
('npm:doctrine', '2.1.0')
('npm:pkg-dir', '1.0.0')
('npm:anymatch', '2.0.0')
('npm:bytes', '3.0.0')
('npm:mime-types', '2.1.21')
('npm:walker', '1.0.7')
('npm:configstore', '5.0.1')
('npm:throat', '4.1.0')
('npm:escape-html', '1.0.3')
('npm:istanbul-lib-coverage', '1.2.1')
('npm:jest-serializer', '23.0.1')
('npm:through', '2.3.8')
('npm:hsts', '2.2.0')
('npm:eslint-plugin-import', '2.14.0')
('npm:nocache', '2.1.0')
('npm:denque', '1.4.1')
('npm:is-accessor-descriptor', '0.1.6')
('npm:json-schema-traverse', '0.4.1')
('npm:read-pkg', '2.0.0')
('npm:callsites', '0.2.0')
('npm:pinkie-promise', '2.0.1')
('npm:require_optional', '1.0.1')
('npm:buffer', '5.6.0')
('npm:ansi-escapes', '3.1.0')
('npm:encodeurl', '1.0.2')
('npm:lodash.foreach', '4.5.0')
('npm:agent-base', '4.3.0')
('npm:trim-right', '1.0.1')
('npm:babel-runtime', '6.26.0')
('npm:amqplib', '0.4.2')
('npm:extend', '3.0.2')
('npm:snyk-gradle-plugin', '3.5.1')
('npm:eslint-plugin-import', '^ 2.14.0')
('npm:isarray', '0.0.1')
('npm:is-extendable', '0.1.1')
('npm:aws4', '1.8.0')
('npm:underscore', '1.10.2')
('npm:extend-shallow', '3.0.2')
('npm:koa-bodyparser', '4.3.0')
('npm:spdx-expression-parse', '3.0.0')
('npm:asap', '2.0.6')
('npm:sane', '2.5.2')
('npm:tree-kill', '1.2.2')
('npm:lodash.isfunction', '3.0.9')
('npm:class-utils', '0.3.6')
('npm:netmask', '1.0.6')
('npm:strip-json-comments', '2.0.1')
('npm:lodash.isempty', '4.4.0')
('npm:package-json', '6.5.0')
('npm:eslint-config-airbnb-base', '^ 13.1.0')
('npm:to-regex', '3.0.2')
('npm:promiseback', '2.0.3')
('npm:@snyk/inquirer', '6.2.2-patch')
('npm:object.getownpropertydescriptors', '2.0.3')
('npm:har-schema', '2.0.0')
('npm:file-uri-to-path', '1.0.0')
('npm:arr-flatten', '1.1.0')
('npm:whatwg-url', '6.5.0')
('npm:whatwg-mimetype', '2.3.0')
('npm:setprototypeof', '1.1.0')
('npm:define-property', '2.0.2')
('npm:is-generator-function', '1.0.7')
('npm:deep-extend', '0.6.0')
('npm:leven', '2.1.0')
('npm:growl', '1.10.5')
('npm:ecdsa-sig-formatter', '1.0.11')
('npm:glob-parent', '2.0.0')
('npm:rxjs', '6.3.3')
('com.github.rithinch/event-driven-microservices-docker-example', '')
('npm:is-path-inside', '3.0.2')
('npm:which', '1.3.1')
('npm:slice-ansi', '2.0.0')
('npm:ms', '2.0.0')
('npm:@types/http-cache-semantics', '4.0.0')
('npm:for-in', '1.0.2')
('npm:babel-plugin-syntax-object-rest-spread', '6.13.0')
('npm:jest', '^ 23.6.0')
('npm:set-immediate-shim', '1.0.1')
('npm:util.promisify', '1.0.0')
('npm:cliui', '4.1.0')
('npm:jest-environment-jsdom', '23.4.0')
('npm:symbol-tree', '3.2.2')
('npm:caller-path', '0.1.0')
('npm:is-date-object', '1.0.1')
('npm:jest-haste-map', '23.6.0')
('npm:to-regex-range', '2.1.1')
('npm:needle', '2.5.0')
('npm:repeat-string', '1.6.1')
('npm:lodash.isarray', '4.0.0')
('npm:type-is', '1.6.16')
('npm:unset-value', '1.0.0')
('npm:@types/xml2js', '0.4.5')
('npm:emoji-regex', '7.0.3')
('npm:babel-template', '6.26.0')
('npm:snyk-resolve', '1.0.1')
('npm:source-map-support', '0.4.18')
('npm:@types/bluebird', '3.5.24')
('npm:tunnel-agent', '0.6.0')
('npm:is-builtin-module', '1.0.0')
('npm:snyk-go-plugin', '1.16.0')
('npm:arrify', '1.0.1')
('npm:ylru', '1.2.1')
('npm:update-notifier', '4.1.0')
('npm:depd', '1.1.2')
('npm:prompts', '0.1.14')
('npm:snyk-docker-plugin', '3.16.0')
('npm:snyk-policy', '1.14.1')
('npm:@babel/highlight', '7.0.0')
('npm:is-descriptor', '0.1.6')
('npm:regexp-clone', '1.0.0')
('npm:global-dirs', '2.0.1')
('npm:strip-eof', '1.0.0')
('npm:mongoose', '5.9.26')
('npm:istanbul-api', '1.3.7')
('npm:espree', '4.1.0')
('npm:lodash.once', '4.1.1')
('npm:once', '1.4.0')
('npm:string-length', '2.0.0')
('npm:acorn-globals', '4.3.0')
('npm:globals', '11.9.0')
('npm:ansi-align', '3.0.0')
('npm:referrer-policy', '1.2.0')
('npm:natural-compare', '1.4.0')
('npm:base64-js', '1.3.1')
('npm:sprintf-js', '1.0.3')
('npm:supertest', '^ 3.3.0')
('npm:buffer-from', '1.1.1')
('npm:get-stream', '3.0.0')
('npm:lodash.constant', '3.0.0')
('npm:babel-helpers', '6.24.1')
('npm:psl', '1.1.29')
('npm:supertest', '3.3.0')
('npm:mimic-response', '1.0.1')
('npm:cookiejar', '2.1.2')
('npm:@nodelib/fs.walk', '1.2.4')
('npm:lodash.assignin', '4.2.0')
('npm:lowercase-keys', '2.0.0')
('npm:p-map', '2.1.0')
('npm:path-key', '2.0.1')
('npm:tough-cookie', '2.5.0')
('npm:minimist', '0.0.8')
('npm:streamsearch', '0.1.2')
('npm:spdx-correct', '3.1.0')
('npm:resolve-alpn', '1.0.0')
('npm:xml-name-validator', '3.0.0')
('npm:concat-map', '0.0.1')
('npm:snapdragon-util', '3.0.1')
('npm:dont-sniff-mimetype', '1.1.0')
('npm:pretty-bytes', '5.3.0')
('npm:cache-content-type', '1.0.1')
('npm:request', '2.88.0')
('npm:lodash.map', '4.6.0')
('npm:http-cache-semantics', '4.1.0')
('npm:mquery', '3.2.2')
('npm:parse-json', '2.2.0')
('npm:component-emitter', '1.2.1')
('npm:xml2js', '0.4.23')
('npm:snapdragon-node', '2.1.1')
('npm:js-yaml', '3.12.0')
('npm:window-size', '0.1.4')
('npm:one-time', '1.0.0')
('npm:ini', '1.3.5')
('npm:unique-string', '2.0.0')
('npm:cli-cursor', '2.1.0')
('npm:eslint-import-resolver-node', '0.3.2')
('npm:kleur', '2.0.2')
('npm:handlebars', '4.0.12')
('npm:duplexify', '3.7.1')
('npm:accepts', '1.3.7')
('npm:istanbul-lib-report', '1.1.5')
('npm:mime', '1.6.0')
('npm:esutils', '2.0.2')
('npm:dotnet-deps-parser', '4.10.0')
('npm:has-value', '1.0.0')
('npm:koa-helmet', '^ 4.0.0')
('npm:logform', '2.2.0')
('npm:makeerror', '1.0.11')
('npm:to-readable-stream', '1.0.0')
('npm:event-loop-spinner', '2.0.0')
('npm:stream-to-promise', '2.2.0')
('npm:normalize-path', '2.1.1')
('npm:@types/cacheable-request', '6.0.1')
('npm:is-gzip', '1.0.0')
('npm:pretty-format', '23.6.0')
('npm:performance-now', '2.1.0')
('npm:is-ci', '1.2.1')
('npm:minipass', '2.9.0')
('npm:delegates', '1.0.0')
('npm:diff', '3.5.0')
('npm:oauth-sign', '0.9.0')
('npm:yaml', '1.10.0')
('npm:fb-watchman', '2.0.0')
('npm:@types/node', '13.13.15')
('npm:object.pick', '1.3.0')
('npm:snyk-paket-parser', '1.6.0')
('npm:get-caller-file', '1.0.3')
('npm:is-windows', '1.0.2')
('npm:function-bind', '1.1.1')
('npm:@types/responselike', '1.0.0')
('npm:@snyk/docker-registry-v2-client', '1.13.5')
('npm:arr-union', '3.1.0')
('npm:expect', '23.6.0')
('npm:merge-stream', '1.0.1')
('npm:colors', '1.4.0')
('npm:snyk-tree', '1.0.0')
('npm:lodash.get', '4.4.2')
('npm:koa-logger', '3.2.1')
('npm:imurmurhash', '0.1.4')
('npm:snyk-go-parser', '1.4.1')
('npm:signal-exit', '3.0.2')
('npm:peek-stream', '1.1.3')
('npm:expand-brackets', '0.1.5')
('npm:pupa', '2.0.1')
('npm:cssstyle', '1.1.1')
('npm:mime-db', '1.37.0')
('npm:filename-regex', '2.0.1')
('npm:pac-proxy-agent', '3.0.1')
('npm:json-stable-stringify-without-jsonify', '1.0.1')
('npm:lodash.includes', '4.3.0')
('npm:p-finally', '1.0.0')
('npm:iconv-lite', '0.4.23')
('npm:browser-stdout', '1.3.1')
('npm:uuid', '3.3.2')
('npm:request-promise-core', '1.1.1')
('npm:is-installed-globally', '0.3.2')
('npm:@types/color-name', '1.1.1')
('npm:pascalcase', '0.1.1')
('npm:minimatch', '3.0.4')
('npm:snyk-mvn-plugin', '2.18.2')
('npm:co-body', '6.0.0')
('npm:make-dir', '3.1.0')
('npm:yargs-parser', '9.0.2')
('npm:is-extglob', '1.0.0')
('npm:os-homedir', '1.0.2')
('npm:test-exclude', '4.2.3')
('npm:growly', '1.3.0')
('npm:toidentifier', '1.0.0')
('npm:boxen', '4.2.0')
('npm:json-file-plus', '3.3.1')
('npm:fecha', '4.2.0')
('npm:uglify-js', '3.4.9')
('npm:es-abstract', '1.12.0')
('npm:object-copy', '0.1.0')
('npm:glob-base', '0.3.0')
('npm:eslint-restricted-globals', '0.1.1')
('npm:http-assert', '1.4.1')
('npm:node-int64', '0.4.0')
('npm:koa', '2.13.0')
('npm:@yarnpkg/fslib', '2.1.0')
('npm:ecc-jsbn', '0.1.2')
('npm:fast-deep-equal', '2.0.1')
('npm:lie', '3.3.0')
('npm:hpkp', '2.0.0')
('npm:brace-expansion', '1.1.11')
('npm:tmpl', '1.0.4')
('npm:combined-stream', '1.0.7')
('npm:path-type', '2.0.0')
('npm:any-promise', '1.3.0')
('npm:y18n', '3.2.1')
('npm:@types/hosted-git-info', '2.7.0')
('npm:helmet', '3.23.3')
('npm:fs.realpath', '1.0.0')
('npm:esrecurse', '4.2.1')
('npm:sliced', '1.0.1')
('npm:pseudomap', '1.0.2')
('npm:@snyk/graphlib', '2.1.9-patch')
('npm:chownr', '1.1.4')
('npm:deep-equal', '1.0.1')
('npm:mkdirp', '0.5.1')
('npm:thunkify', '2.1.2')
('npm:winston', '^ 3.1.0')
('npm:realpath-native', '1.0.2')
('npm:@snyk/snyk-cocoapods-plugin', '2.3.0')
('npm:fileset', '2.0.3')
('npm:@yarnpkg/libzip', '2.1.0')
('npm:detect-newline', '2.1.0')
('npm:proxy-agent', '3.1.1')
('npm:abab', '2.0.0')
('npm:is-arrayish', '0.2.1')
('npm:@yarnpkg/parsers', '2.1.0')
('npm:babel-traverse', '6.26.0')
('npm:jest-util', '23.4.0')
('npm:@snyk/ruby-semver', '2.2.0')
('npm:http-proxy-agent', '2.1.0')
('npm:graceful-fs', '4.1.15')
('npm:ajv', '6.6.1')
('npm:is-finite', '1.0.2')
('npm:babel-preset-jest', '23.2.0')
('npm:email-validator', '2.0.4')
('npm:@yarnpkg/core', '2.1.1')
('npm:exit', '0.1.2')
('npm:builtin-modules', '1.1.1')
('npm:@types/semver', '5.5.0')
('npm:lodash.size', '4.2.0')
('npm:feature-policy', '0.3.0')
('npm:object-keys', '1.0.12')
('npm:to-fast-properties', '1.0.3')
('npm:has-yarn', '2.1.0')
('npm:optimist', '0.6.1')
('npm:to-object-path', '0.3.0')
('npm:@types/glob', '7.1.3')
('npm:pumpify', '1.5.1')
('npm:require-uncached', '1.0.3')
('npm:fastq', '1.8.0')
('npm:fresh', '0.5.2')
('npm:lodash.set', '4.3.2')
('npm:ip', '1.1.5')
('npm:type-fest', '0.8.1')
