('rust:socket2', '0.5.7')
('rust:pin-project', '1.1.5')
('rust:tracing-attributes', '0.1.27')
('rust:vsimd', '0.8.0')
('rust:windows_i686_gnu', '0.52.6')
('rust:serde_derive', '1.0.204')
('rust:same-file', '1.0.6')
('actions:tj-actions/changed-files', 'cc733854b1f224978ef800d29e4709d5ee2883e4')
('rust:ghash', '0.5.1')
('rust:autocfg', '1.3.0')
('rust:futures-util', '0.3.30')
('rust:cfg-if', '1.0.0')
('rust:snafu', '0.7.5')
('rust:bitflags', '2.6.0')
('rust:clap_builder', '4.5.9')
('rust:predicates-tree', '1.0.9')
('rust:cookie', '0.18.1')
('rust:bitflags', '1.3.2')
('rust:ipnet', '2.9.0')
('rust:lockfree-object-pool', '0.1.6')
('rust:zopfli', '0.8.1')
('rust:reqwest', '0.11.27')
('rust:adler', '1.0.2')
('rust:bigdecimal', '0.4.5')
('rust:pq-sys', '0.6.1')
('rust:slab', '0.4.9')
('rust:windows-sys', '0.48.0')
('rust:md-5', '0.10.6')
('rust:tokio', '1.38.1')
('rust:crossbeam-epoch', '0.9.18')
('rust:console', '0.15.8')
('rust:prometheus', '0.13.4')
('rust:futures-task', '0.3.30')
('rust:thiserror-impl', '1.0.62')
('rust:utf8parse', '0.2.2')
('rust:pkcs8', '0.10.2')
('rust:googletest', '0.11.0')
('rust:claims', '0.7.1')
('rust:regex', '1.10.5')
('rust:serde_path_to_error', '0.1.16')
('rust:mockall_derive', '0.12.1')
('rust:diesel_table_macro_syntax', '0.2.0')
('rust:diligent-date-parser', '0.1.4')
('rust:deranged', '0.3.11')
('rust:plotters-backend', '0.3.6')
('rust:sec1', '0.7.3')
('rust:tokio-macros', '2.3.0')
('rust:unicode-width', '0.1.13')
('rust:rayon-core', '1.12.1')
('rust:anyhow', '1.0.86')
('rust:uuid', '1.10.0')
('rust:num-conv', '0.1.0')
('rust:futures-io', '0.3.30')
('rust:core-foundation', '0.9.4')
('rust:instant', '0.1.13')
('rust:spki', '0.7.3')
('rust:group', '0.13.0')
('rust:linked-hash-map', '0.5.6')
('rust:diesel', '2.2.1')
('rust:windows_aarch64_gnullvm', '0.52.6')
('rust:zstd-sys', '2.0.12+zstd.1.5.6')
('rust:thread_local', '1.1.8')
('rust:async-compression', '0.4.11')
('rust:crc32fast', '1.4.2')
('rust:unicode-normalization', '0.1.23')
('rust:bstr', '1.9.1')
('rust:libssh2-sys', '0.3.0')
('rust:rustls-native-certs', '0.7.1')
('rust:syn', '2.0.71')
('rust:hex', '0.4.3')
('rust:entities', '1.0.1')
('rust:unicode-ident', '1.0.12')
('rust:foreign-types-shared', '0.1.1')
('rust:winreg', '0.50.0')
