('npm:yargs', '15.4.1')
('npm:domexception', '2.0.1')
('npm:internal-slot', '1.0.3')
('npm:immer', '9.0.12')
('npm:@babel/helper-simple-access', '7.10.4')
('npm:@storybook/addon-essentials', '6.1.11')
('npm:pkg-dir', '1.0.0')
('npm:@babel/helper-define-map', '7.10.1')
('npm:is-root', '2.1.0')
('npm:path-to-regexp', '1.8.0')
('npm:react-syntax-highlighter', '13.5.3')
('npm:postcss-color-rebeccapurple', '4.0.1')
('npm:bonjour', '3.5.0')
('npm:@babel/plugin-transform-unicode-escapes', '7.16.7')
('npm:get-stdin', '7.0.0')
('npm:dns-txt', '2.0.2')
('npm:depd', '2.0.0')
('npm:eventemitter2', '6.4.2')
('npm:string-width', '4.2.2')
('npm:tslib', '1.13.0')
('npm:@types/classnames', '2.3.1')
('npm:@types/react-window', '^ 1.8.2')
('npm:data-urls', '2.0.0')
('npm:regenerate-unicode-properties', '10.0.1')
('npm:string.prototype.trimstart', '1.0.4')
('npm:postcss-normalize-display-values', '4.0.2')
('npm:@storybook/theming', '6.1.11')
('npm:postcss-discard-unused', '2.2.3')
('npm:tinycolor2', '1.4.2')
('npm:async', '2.6.4')
('npm:fs-extra', '0.30.0')
('npm:react-mde', '11.0.0')
('npm:clsx', '1.1.1')
('npm:@types/source-list-map', '0.1.2')
('npm:node-loggly-bulk', '2.2.4')
('npm:loader-utils', '1.4.0')
('npm:emoji-regex', '7.0.3')
('npm:iterate-iterator', '1.0.1')
('npm:@babel/plugin-proposal-export-namespace-from', '7.14.5')
('npm:@typescript-eslint/experimental-utils', '1.13.0')
('npm:is-docker', '2.1.1')
('npm:jest-snapshot', '27.1.0')
('actions:actions/checkout', '2.*.*')
('npm:memory-fs', '0.4.1')
('actions:actions/setup-dotnet', '3.*.*')
('npm:element-resize-detector', '1.2.4')
('npm:core-js', '3.5.0')
('npm:ansi-align', '3.0.0')
('npm:jest-matcher-utils', '25.5.0')
('npm:@babel/plugin-syntax-jsx', '7.10.1')
('npm:less', '3.12.2')
('npm:@chakra-ui/layout', '1.5.1')
('npm:html-webpack-plugin', '5.3.2')
('npm:walker', '1.0.8')
('npm:string.prototype.trimend', '1.0.4')
('npm:iterate-value', '1.0.2')
('npm:@types/d3-polygon', '1.0.5')
('npm:reduce-flatten', '1.0.1')
('npm:snapdragon-node', '2.1.1')
('npm:rgba-regex', '1.0.0')
('npm:html-encoding-sniffer', '2.0.1')
('npm:babel-plugin-polyfill-corejs3', '0.5.2')
('npm:is-generator-fn', '2.1.0')
('npm:@types/text-encoding-utf-8', '1.0.2')
('npm:js-stringify', '1.0.2')
('npm:@webassemblyjs/utf8', '1.8.5')
('npm:jest-validate', '27.1.0')
('npm:@babel/runtime-corejs3', '7.12.1')
('npm:babel-plugin-named-asset-import', '0.3.8')
('npm:debug', '2.6.9')
('npm:reactstrap', '~ 8.6.0')
('npm:@babel/helper-get-function-arity', '7.15.4')
('npm:find-root', '1.1.0')
('npm:is-set', '2.0.1')
('npm:immutable', '3.8.2')
('npm:react-remove-scroll', '2.4.1')
('npm:webpack-config-single-spa-react', '4.0.1')
('npm:is-ci', '3.0.0')
('npm:chokidar', '3.4.2')
('npm:@formatjs/intl-relativetimeformat', '8.0.0')
('npm:@babel/plugin-syntax-dynamic-import', '7.8.3')
('npm:@jest/core', '26.5.3')
('npm:get-stdin', '6.0.0')
('npm:jest-environment-jsdom', '25.5.0')
('npm:import-local', '2.0.0')
('npm:@typescript-eslint/parser', '3.6.0')
('npm:@webassemblyjs/wasm-parser', '1.11.1')
('npm:react-helmet-async', '1.0.7')
('npm:@babel/plugin-transform-new-target', '7.10.4')
('npm:eslint-plugin-prettier', '3.4.1')
('npm:babel-plugin-emotion', '10.2.2')
('npm:ecc-jsbn', '0.1.2')
('npm:@babel/plugin-transform-typeof-symbol', '7.10.4')
('npm:tmpl', '1.0.4')
('npm:react-jss', '10.5.0')
('npm:eslint-scope', '3.7.3')
('npm:globals', '13.14.0')
('npm:babel-plugin-minify-flip-comparisons', '0.4.3')
('npm:@emotion/sheet', '0.9.4')
('npm:string-width', '4.2.3')
('npm:p-locate', '3.0.0')
('npm:@chakra-ui/modal', '1.10.1')
('npm:function.prototype.name', '1.1.2')
('npm:jsonfile', '6.0.1')
('npm:url-parse', '1.5.10')
('npm:@emotion/is-prop-valid', '0.7.3')
('npm:pumpify', '1.5.1')
('npm:@babel/generator', '7.12.5')
('npm:pascal-case', '3.1.1')
('npm:@antv/coord', '0.1.0')
('npm:pretty-format', '26.5.2')
('npm:@babel/plugin-proposal-async-generator-functions', '7.10.1')
('npm:@icons/material', '0.2.4')
('npm:@babel/plugin-transform-block-scoped-functions', '7.14.5')
('rubygems:jekyll-theme-cayman', '0.1.1')
('npm:infer-owner', '1.0.4')
('npm:@babel/runtime', '7.12.5')
('npm:acorn-walk', '7.2.0')
('npm:@babel/plugin-transform-unicode-regex', '7.16.7')
('npm:babel-core', '7.0.0-bridge.0')
('npm:slice-ansi', '2.1.0')
('npm:graceful-fs', '4.2.4')
('npm:convert-source-map', '0.3.5')
('npm:whatwg-url', '8.4.0')
('npm:component-emitter', '1.3.0')
('npm:postcss-calc', '7.0.5')
('npm:acorn', '3.3.0')
('npm:string_decoder', '1.1.1')
('npm:@babel/plugin-transform-shorthand-properties', '7.10.1')
('npm:@types/moxios', '0.4.11')
('npm:@chakra-ui/select', '1.2.3')
('npm:@formatjs/intl', '1.4.10')
('npm:mini-svg-data-uri', '1.2.3')
('npm:is-number', '3.0.0')
('npm:true-case-path', '1.0.3')
('npm:react-bootstrap-table-next', '4.0.3')
('npm:is-plain-obj', '3.0.0')
('npm:react-redux', '7.2.8')
('rubygems:colorator', '1.1.0')
('npm:unist-util-visit', '2.0.3')
('npm:ansi-styles', '3.2.1')
('npm:@babel/helper-module-imports', '7.10.4')
('npm:jest-each', '26.6.2')
('npm:@jest/reporters', '27.1.0')
('npm:@formatjs/icu-skeleton-parser', '1.3.6')
('npm:raw-body', '2.5.1')
('npm:@savantly/sprout-toolkit', '0.1.1-2')
('npm:@typescript-eslint/visitor-keys', '3.10.1')
('npm:@types/http-proxy-middleware', '0.19.3')
('npm:ts-jest', '26.4.2')
('npm:eslint-plugin-react', '7.19.0')
('npm:esrecurse', '4.3.0')
('npm:intl-messageformat', '9.13.0')
('npm:has-property-descriptors', '1.0.0')
('npm:convert-source-map', '1.8.0')
('npm:jest-regex-util', '25.2.6')
('npm:@chakra-ui/css-reset', '1.1.1')
('npm:@chakra-ui/icons', '1.0.17')
('npm:cliui', '7.0.4')
('npm:@types/estree', '0.0.50')
('npm:react-ace', '9.2.1')
('npm:p-try', '1.0.0')
('npm:html-webpack-plugin', '4.0.0-beta.11')
('npm:@babel/plugin-transform-modules-commonjs', '7.17.9')
('npm:@babel/plugin-transform-flow-strip-types', '7.12.1')
('npm:ansi-align', '2.0.0')
('npm:@types/istanbul-reports', '3.0.0')
('npm:@typescript-eslint/visitor-keys', '4.6.0')
('npm:tooltip.js', '1.3.3')
('npm:@babel/plugin-transform-function-name', '7.10.1')
('rubygems:jekyll-commonmark', '1.3.1')
('npm:which-collection', '1.0.1')
('npm:highlight.js', '9.13.1')
('npm:@babel/helper-remap-async-to-generator', '7.12.1')
('npm:@babel/plugin-transform-spread', '7.14.6')
('npm:fast-glob', '3.2.11')
('npm:create-emotion', '10.0.27')
('npm:es-abstract', '1.20.0')
('npm:es-abstract', '1.18.0-next.1')
('npm:css-tree', '1.0.0-alpha.37')
('npm:@formatjs/fast-memoize', '1.2.1')
('npm:detect-port', '1.3.0')
('npm:@babel/plugin-transform-react-pure-annotations', '7.16.7')
('npm:levn', '0.3.0')
('npm:array-union', '2.1.0')
('npm:@babel/plugin-transform-template-literals', '7.14.5')
('npm:min-indent', '1.0.1')
('npm:@types/react-bootstrap', '0.32.29')
('npm:is-ci', '2.0.0')
('npm:file-loader', '6.0.0')
('npm:@types/papaparse', '5.2.0')
('npm:caniuse-lite', '1.0.30001208')
('npm:supports-color', '5.5.0')
('npm:replace-in-file', '^ 4.1.0')
('npm:wrap-ansi', '3.0.1')
('npm:@chakra-ui/hooks', '1.5.4')
('npm:@babel/helper-replace-supers', '7.12.1')
('npm:tough-cookie', '4.0.0')
('npm:@formio/bootstrap3', '2.6.8')
('npm:d3-polygon', '1.0.6')
