('npm:@date-io/core', '2.11.0')
('npm:yargs', '15.4.1')
('npm:domexception', '2.0.1')
('npm:async-mutex', '0.3.2')
('npm:internal-slot', '1.0.3')
('npm:@babel/plugin-syntax-top-level-await', '7.10.4')
('npm:@types/uuid', '^ 8.3.0')
('npm:commander', '2.15.1')
('npm:@mui/lab', '5.0.0-alpha.54')
('npm:wrappy', '1.0.2')
('npm:buffer-xor', '1.0.3')
('npm:@babel/helper-simple-access', '7.10.4')
('npm:jss-plugin-camel-case', '10.8.2')
('npm:update-notifier', '4.1.3')
('npm:tr46', '2.1.0')
('npm:walker', '1.0.7')
('npm:configstore', '5.0.1')
('npm:@mui/utils', '5.1.0')
('npm:eventemitter2', '0.4.14')
('npm:chrome-trace-event', '1.0.2')
('npm:memorystream', '0.3.1')
('npm:denque', '1.4.1')
('npm:cli-tableau', '2.0.1')
('npm:escape-string-regexp', '2.0.0')
('npm:bonjour', '3.5.0')
('npm:globby', '11.0.1')
('npm:extend', '3.0.2')
('npm:date-fns', '2.21.3')
('npm:@types/minio', '7.0.13')
('npm:pino-pretty', '^ 5.0.2')
('npm:jest-get-type', '27.4.0')
('npm:istanbul-lib-coverage', '3.0.0')
('npm:@webassemblyjs/ieee754', '1.11.1')
('npm:@babel/plugin-transform-block-scoping', '7.16.0')
('npm:jest', '^ 27.4.7')
('npm:@babel/helper-builder-react-jsx-experimental', '7.11.5')
('npm:dns-txt', '2.0.2')
('npm:depd', '2.0.0')
('npm:@types/express', '^ 4.17.12')
('npm:@mui/material', '^ 5.1.0')
('npm:@types/express', '4.17.12')
('npm:@babel/preset-modules', '0.1.4')
('npm:p-limit', '3.1.0')
('npm:is-generator-function', '1.0.10')
('npm:tslib', '1.13.0')
('npm:@types/react-tooltip', '3.11.0')
('npm:data-urls', '2.0.0')
('npm:evp_bytestokey', '1.0.3')
('npm:string.prototype.trimstart', '1.0.4')
('actions:docker/setup-qemu-action', '2')
('npm:leven', '2.1.0')
('npm:@types/jest', '^ 27.4.7')
('npm:ecdsa-sig-formatter', '1.0.11')
('npm:resolve-from', '5.0.0')
('npm:semver', '6.3.0')
('npm:abort-controller', '3.0.0')
('npm:@sorry-cypress/logger', '1.0.0')
('npm:tinycolor2', '1.4.2')
('npm:async', '2.6.4')
('npm:ms', '2.0.0')
('npm:get-stream', '6.0.1')
('npm:url-loader', '4.1.1')
('npm:md5', '^ 2.2.1')
('npm:clsx', '1.1.1')
('npm:emoji-regex', '7.0.3')
('npm:cosmiconfig', '7.0.1')
('npm:normalize-path', '3.0.0')
('npm:apollo-server-types', '3.7.1')
('npm:mime-types', '2.1.35')
('npm:is-docker', '2.1.1')
('npm:@babel/plugin-transform-unicode-regex', '7.16.0')
('npm:global-dirs', '2.0.1')
('npm:is-interactive', '1.0.0')
('npm:available-typed-arrays', '1.0.5')
('npm:log-driver', '1.2.7')
('npm:@babel/plugin-transform-spread', '7.11.0')
('npm:typescript', '4.0.3')
('npm:@types/eslint', '7.28.2')
('npm:ansi-align', '3.0.0')
('npm:sprintf-js', '1.0.3')
('npm:http-proxy-middleware', '2.0.1')
('npm:strip-ansi', '6.0.0')
('npm:@babel/plugin-transform-modules-umd', '7.16.0')
('npm:accepts', '1.3.8')
('npm:pidusage', '3.0.0')
('npm:@graphql-tools/merge', '8.3.1')
('npm:p-map', '2.1.0')
('npm:bn.js', '4.12.0')
('npm:pino-http', '5.7.0')
('npm:apollo-reporting-protobuf', '3.4.0')
('npm:@pm2/js-api', '0.8.0')
('npm:@josephg/resolvable', '1.0.1')
('npm:esbuild-node-externals', '1.2.0')
('npm:string.prototype.trimend', '1.0.4')
('npm:@tootallnate/once', '2.0.0')
('npm:is-fullwidth-code-point', '1.0.0')
('npm:@jest/reporters', '27.4.6')
('npm:@types/mongodb', '^ 3.5.32')
('npm:has-bigints', '1.0.1')
('npm:html-encoding-sniffer', '2.0.1')
('npm:any-observable', '0.3.0')
('npm:is-generator-fn', '2.1.0')
('npm:tr46', '0.0.3')
('npm:@graphql-tools/utils', '7.2.5')
