('npm:@types/glob', '7.1.1')
('npm:pinkie', '2.0.4')
('npm:ansi-colors', '3.2.4')
('npm:mixin-deep', '1.3.2')
('npm:npm-run-path', '2.0.2')
('npm:fs-mkdirp-stream', '1.0.0')
('npm:@types/selenium-webdriver', '3.0.16')
('npm:balanced-match', '1.0.0')
('npm:shebang-command', '1.2.0')
('npm:compressible', '2.0.17')
('npm:ieee754', '1.1.13')
('npm:hash-base', '3.0.4')
('npm:lodash', '4.17.15')
('npm:postcss-load-config', '2.1.0')
('npm:mime-types', '2.1.24')
('npm:url', '0.11.0')
('npm:wrappy', '1.0.2')
('npm:buffer-xor', '1.0.3')
('npm:fs-extra', '7.0.1')
('npm:@babel/helper-split-export-declaration', '7.4.4')
('npm:typescript', '3.5.3')
('npm:eventemitter3', '3.1.2')
('npm:babylon', '6.18.0')
('maven:io.springfox:springfox-swagger2', '2.9.2')
('npm:is-utf8', '0.2.1')
('maven:org.springframework.boot:spring-boot-starter-data-mongodb', '')
('npm:es-abstract', '1.13.0')
('npm:randombytes', '2.1.0')
('npm:cookie', '0.4.0')
('npm:bytes', '3.0.0')
('npm:array-initial', '1.1.0')
('npm:make-iterator', '1.0.1')
('npm:chartjs-color', '2.3.0')
('npm:escape-html', '1.0.3')
('npm:arr-filter', '1.1.2')
('npm:istanbul-lib-coverage', '1.2.1')
('npm:through', '2.3.8')
('npm:chrome-trace-event', '1.0.2')
('npm:@babel/helper-get-function-arity', '7.0.0')
('npm:unique-stream', '2.3.1')
('npm:thunky', '1.0.3')
('npm:is-accessor-descriptor', '0.1.6')
('npm:json-schema-traverse', '0.4.1')
('maven:javax.persistence:javax.persistence-api', '')
('npm:object.map', '1.0.1')
('maven:io.springfox:springfox-swagger-ui', '2.8.0')
('npm:pinkie-promise', '2.0.1')
('npm:nan', '2.14.0')
('npm:bonjour', '3.5.0')
('npm:encodeurl', '1.0.2')
('npm:jquery', '3.4.1')
('npm:browserify-des', '1.0.2')
('npm:agent-base', '4.3.0')
('npm:trim-right', '1.0.1')
('npm:amdefine', '1.0.1')
('npm:babel-runtime', '6.26.0')
('npm:extend', '3.0.2')
('npm:load-json-file', '1.1.0')
('npm:ngx-embed-video', '1.0.4')
('npm:to-arraybuffer', '1.0.1')
('npm:binary-extensions', '2.0.0')
('npm:make-dir', '2.1.0')
('npm:mem', '4.3.0')
('npm:pako', '1.0.10')
('npm:loglevel', '1.6.4')
('npm:normalize-url', '1.9.1')
('npm:stream-http', '2.8.3')
('npm:is-extendable', '0.1.1')
('npm:aws4', '1.8.0')
('npm:upath', '1.1.2')
('maven:org.apache.maven.plugins:maven-site-plugin', '3.7.1')
('npm:to-absolute-glob', '2.0.2')
('npm:extend-shallow', '3.0.2')
('npm:@webassemblyjs/helper-wasm-section', '1.8.5')
('npm:async-limiter', '1.0.1')
('npm:regjsgen', '0.2.0')
('npm:spdx-expression-parse', '3.0.0')
('npm:asap', '2.0.6')
('npm:spdx-license-ids', '3.0.5')
('npm:dns-txt', '2.0.2')
('npm:class-utils', '0.3.6')
('npm:from2', '2.3.0')
('npm:each-props', '1.3.2')
('npm:replace-homedir', '1.0.0')
('npm:select-hose', '2.0.0')
('npm:to-regex', '3.0.2')
('npm:JSONStream', '1.3.5')
('npm:parseuri', '0.0.5')
('npm:jsdom', '8.5.0')
('npm:object.getownpropertydescriptors', '2.0.3')
('npm:har-schema', '2.0.0')
('npm:whatwg-url', '2.0.1')
('npm:karma-coverage-istanbul-reporter', '2.0.6')
('npm:smart-buffer', '4.0.2')
('maven:commons-lang:commons-lang', '2.6')
('npm:webpack-dev-middleware', '3.7.0')
('npm:canvg', '1.5.3')
('npm:source-map-loader', '0.2.4')
('npm:arr-flatten', '1.1.0')
('npm:qjobs', '1.2.0')
('npm:@angular-devkit/schematics', '8.2.2')
('npm:define-property', '2.0.2')
('npm:semver-dsl', '1.0.1')
('maven:org.webjars:bootstrap', '3.3.7')
('npm:evp_bytestokey', '1.0.3')
('npm:lcid', '2.0.0')
('npm:stylus-loader', '3.0.2')
('npm:@angular/animations', '8.2.6')
('npm:array-last', '1.3.0')
('npm:sort-keys', '1.1.2')
('npm:commander', '2.20.0')
('npm:remove-bom-buffer', '3.0.0')
('maven:org.springframework.boot:spring-boot-starter-mail', '2.1.8')
('npm:semver', '6.3.0')
('npm:which', '1.3.1')
('npm:@webassemblyjs/helper-buffer', '1.8.5')
('npm:socket.io-parser', '3.2.0')
('npm:utils-merge', '1.0.1')
('npm:ms', '2.0.0')
('npm:bn.js', '4.11.8')
('npm:global-modules', '1.0.0')
('npm:after', '0.8.2')
('npm:npm-bundled', '1.0.6')
('npm:spdy', '4.0.1')
('npm:now-and-later', '2.0.1')
('npm:traverse', '0.6.6')
('npm:for-in', '1.0.2')
('npm:npm-package-arg', '6.1.0')
('npm:interpret', '1.2.0')
('npm:undertaker-registry', '1.0.1')
('npm:omggif', '1.0.7')
('npm:set-immediate-shim', '1.0.1')
('npm:cliui', '4.1.0')
('npm:stackblur-canvas', '2.2.0')
('maven:org.springframework.cloud:spring-cloud-starter-netflix-eureka-client', '2.1.1')
('maven:org.jacoco:jacoco-maven-plugin', '0.8.2')
('npm:browserify-sign', '4.0.4')
('npm:dom-serialize', '2.2.1')
('npm:buffer', '4.9.1')
('npm:clone', '2.1.2')
('npm:tree-kill', '1.2.1')
('maven:org.springframework.data:spring-data-mongodb', '2.1.10')
('npm:iconv-lite', '0.4.24')
('npm:socket.io-client', '2.1.1')
('npm:is-date-object', '1.0.1')
('maven:com.github.spotbugs:spotbugs-maven-plugin', '3.1.9')
('npm:loader-runner', '2.4.0')
('npm:range-parser', '1.2.1')
('npm:repeat-string', '1.6.1')
('npm:async-settle', '1.0.0')
('npm:@types/source-list-map', '0.1.2')
('npm:bluebird', '3.5.5')
('npm:uglify-js', '3.6.0')
('npm:unset-value', '1.0.0')
('npm:emoji-regex', '7.0.3')
('npm:babel-template', '6.26.0')
('npm:normalize-range', '0.1.2')
('npm:typedarray', '0.0.6')
('npm:normalize-path', '3.0.0')
('npm:p-retry', '3.0.1')
('npm:buffer-indexof', '1.1.1')
('npm:tunnel-agent', '0.6.0')
('npm:create-hmac', '1.1.7')
('npm:fs-minipass', '1.2.6')
('npm:rechoir', '0.6.2')
('npm:shallow-clone', '1.0.0')
('npm:worker-plugin', '3.1.0')
('npm:type', '1.0.3')
('npm:@babel/generator', '7.5.5')
('npm:arrify', '1.0.1')
('npm:depd', '1.1.2')
('npm:array-each', '1.0.1')
('npm:source-map', '0.7.3')
('npm:multicast-dns-service-types', '1.1.0')
('npm:import-fresh', '2.0.0')
('npm:yaeti', '0.0.6')
('npm:unc-path-regex', '0.1.2')
('npm:is-descriptor', '0.1.6')
('npm:vinyl-fs', '3.0.3')
('npm:cssstyle', '0.2.37')
('npm:strip-eof', '1.0.0')
('npm:serve-index', '1.9.1')
('npm:memory-fs', '0.4.1')
('npm:collection-map', '1.0.0')
('npm:once', '1.4.0')
('npm:ws', '3.3.3')
('npm:util-promisify', '2.1.0')
('npm:base64-js', '1.3.1')
('npm:sprintf-js', '1.0.3')
('npm:buffer-from', '1.1.1')
('npm:@angular/compiler', '8.2.3')
('npm:clean-css', '4.2.1')
('npm:@babel/types', '7.5.5')
('npm:chalk', '2.4.2')
('npm:p-map', '2.1.0')
('npm:path-key', '2.0.1')
('npm:browserstack', '1.5.3')
('npm:fsevents', '2.0.7')
('npm:spdx-correct', '3.1.0')
('npm:protoduck', '5.0.1')
('npm:@types/html2canvas', '0.0.35')
('npm:cssauron', '1.4.0')
('npm:saucelabs', '1.5.0')
('npm:parse-filepath', '1.0.2')
