('npm:dom-serializer', '0.1.1')
('npm:scss-tokenizer', '0.2.3')
('npm:handle-thing', '1.2.5')
('npm:cliui', '2.1.0')
('npm:wrappy', '1.0.2')
('npm:buffer-xor', '1.0.3')
('npm:react-overlays', '0.8.3')
('npm:recast', '0.11.23')
('npm:inquirer', '7.3.3')
('npm:es-shim-unscopables', '1.0.2')
('npm:react-test-renderer', '16.14.0')
('npm:eventemitter2', '0.4.14')
('npm:sockjs-client', '1.1.4')
('npm:multimatch', '2.1.0')
('npm:ua-parser-js', '0.7.38')
('npm:use-memo-one', '1.1.3')
('npm:postcss-calc', '5.3.1')
('pip:flask-script', '2.0.6')
('npm:bonjour', '3.5.0')
('npm:lodash.foreach', '4.5.0')
('npm:amdefine', '1.0.1')
('npm:extend', '3.0.2')
('npm:uglifyjs-webpack-plugin', '0.4.6')
('npm:binary-search', '1.3.6')
('npm:dns-txt', '2.0.2')
('npm:depd', '2.0.0')
('npm:shallow-clone', '0.1.2')
('npm:style-loader', '0.20.2')
('pip:kombu', '5.2.4')
('pip:reportlab', '3.6.13')
('npm:is-finite', '1.1.0')
('npm:autoprefixer', '6.7.7')
('npm:evp_bytestokey', '1.0.3')
('pip:vine', '5.1.0')
('npm:postcss-discard-unused', '2.2.3')
('npm:pbkdf2', '3.1.2')
('npm:color-string', '0.3.0')
('npm:async', '2.6.4')
('npm:ms', '2.0.0')
('npm:braces', '3.0.3')
('npm:for-in', '1.0.2')
('npm:react-draggable', '3.3.2')
('npm:request', '2.88.2')
('npm:emoji-regex', '7.0.3')
('npm:change-case', '3.0.2')
('npm:normalize-range', '0.1.2')
('npm:normalize-path', '3.0.0')
('npm:tunnel-agent', '0.6.0')
('npm:array.prototype.find', '2.2.3')
('npm:mime-types', '2.1.35')
('npm:@types/node', '14.18.63')
('npm:memory-fs', '0.4.1')
('npm:sprintf-js', '1.0.3')
('npm:accepts', '1.3.8')
('npm:nth-check', '1.0.2')
('npm:bn.js', '4.12.0')
('npm:es-object-atoms', '1.0.0')
('npm:is-fullwidth-code-point', '1.0.0')
