('npm:@babel/helper-module-transforms', '7.12.1')
('npm:coa', '2.0.2')
('npm:lower-case', '1.1.4')
('npm:pinkie', '2.0.4')
('npm:regjsparser', '0.6.6')
('npm:@vue/cli-service', '4.5.10')
('npm:mute-stream', '0.0.8')
('npm:babel-plugin-dynamic-import-node', '2.3.3')
('npm:astral-regex', '1.0.0')
('npm:d3-collection', '1.0.7')
('npm:run-async', '2.4.1')
('npm:mixin-deep', '1.3.2')
('npm:npm-run-path', '2.0.2')
('npm:saxes', '3.1.11')
('npm:balanced-match', '1.0.0')
('npm:shebang-command', '1.2.0')
('npm:d3-shape', '1.3.7')
('npm:postcss-value-parser', '4.1.0')
('npm:@babel/plugin-syntax-top-level-await', '7.12.1')
('npm:whatwg-url', '7.1.0')
('npm:url', '0.11.0')
('npm:wrappy', '1.0.2')
('npm:buffer-xor', '1.0.3')
('npm:gzip-size', '5.1.1')
('npm:html-webpack-plugin', '3.2.0')
('npm:figgy-pudding', '3.5.2')
('npm:@babel/plugin-transform-destructuring', '7.12.1')
('npm:uri-js', '4.4.1')
('npm:escodegen', '1.14.3')
('npm:@babel/helper-simple-access', '7.12.1')
('npm:randombytes', '2.1.0')
('npm:inquirer', '7.3.3')
('npm:cookie', '0.4.0')
('npm:object.values', '1.1.2')
('npm:eslint-plugin-cypress', '2.11.2')
('npm:babel-loader', '8.2.2')
('npm:eslint-visitor-keys', '1.3.0')
('npm:ramda', '0.24.1')
('npm:check-more-types', '2.24.0')
('npm:http-parser-js', '0.5.3')
('npm:escape-html', '1.0.3')
('npm:html-comment-regex', '1.1.2')
('npm:esquery', '1.3.1')
('npm:vue', '2.6.12')
('npm:through', '2.3.8')
('npm:chrome-trace-event', '1.0.2')
('npm:@webassemblyjs/leb128', '1.9.0')
('npm:postcss', '7.0.35')
('npm:schema-utils', '2.7.1')
('npm:@types/node', '14.14.22')
('npm:is-accessor-descriptor', '0.1.6')
('npm:json-schema-traverse', '0.4.1')
('npm:@babel/helper-skip-transparent-expression-wrappers', '7.12.1')
('maven:io.debezium:debezium-embedded', '')
('npm:type-fest', '0.6.0')
('npm:d3-chord', '1.0.6')
('npm:@types/eslint-visitor-keys', '1.0.0')
('npm:pinkie-promise', '2.0.1')
('npm:@cypress/xvfb', '1.2.4')
('npm:minipass-pipeline', '1.2.4')
('npm:@vue/cli-plugin-e2e-cypress', '4.5.10')
