('npm:sinon', '15.2.0')
('go:golang.org/x/crypto', '0.22.0')
('npm:jackspeak', '2.3.6')
('npm:yargs-parser', '20.2.9')
('npm:@typescript-eslint/scope-manager', '6.20.0')
('npm:wrappy', '1.0.2')
('npm:readable-stream', '3.6.2')
('npm:uri-js', '4.4.1')
('npm:doctrine', '2.1.0')
('npm:@typescript-eslint/scope-manager', '6.14.0')
('go:gopkg.in/yaml.v3', '3.0.1')
('npm:randombytes', '2.1.0')
('npm:bytes', '3.1.2')
('npm:ansi-regex', '6.0.1')
('npm:typed-array-buffer', '1.0.2')
('npm:diff-match-patch', '1.0.5')
('npm:bytes', '3.0.0')
('npm:levn', '0.4.1')
('npm:postcss-modules-values', '4.0.0')
('npm:es-shim-unscopables', '1.0.2')
('go:github.com/google/uuid', '1.6.0')
('npm:comma-separated-tokens', '2.0.3')
('npm:escape-html', '1.0.3')
('npm:pathval', '1.1.1')
('go:github.com/x448/float16', '0.8.4')
('npm:path-to-regexp', '1.8.0')
('go:github.com/go-webauthn/x', '0.1.9')
('npm:renderkid', '3.0.0')
('npm:json-schema-traverse', '0.4.1')
('npm:@webassemblyjs/helper-numbers', '1.11.6')
('go:github.com/lann/builder', '0.0.0-20180802200727-47ae307949d0')
('go:github.com/kelseyhightower/envconfig', '1.4.0')
('npm:sinon-chai', '3.7.0')
('go:github.com/golang/groupcache', '0.0.0-20210331224755-41bb18bfe9da')
('go:github.com/prometheus/common', '0.48.0')
('go:golang.org/x/net', '0.23.0')
('npm:is-docker', '3.0.0')
('npm:encodeurl', '1.0.2')
('npm:string.prototype.matchall', '4.0.11')
('npm:react-ace', '11.0.1')
('npm:json-parse-even-better-errors', '2.3.1')
('npm:react-day-picker', '8.10.0')
('npm:extend', '3.0.2')
('npm:rimraf', '3.0.2')
('npm:webpack-cli', '5.1.4')
('npm:chrome-trace-event', '1.0.3')
('npm:isarray', '0.0.1')
('npm:just-extend', '4.2.1')
('go:github.com/mattn/go-runewidth', '0.0.9')
('npm:@isaacs/cliui', '8.0.2')
('npm:p-retry', '6.2.0')
('actions:docker/setup-qemu-action', '3.*.*')
('npm:depd', '2.0.0')
('go:github.com/gorilla/securecookie', '1.1.2')
('npm:is-network-error', '1.0.1')
('npm:thunky', '1.1.0')
('npm:select-hose', '2.0.0')
('npm:wrap-ansi', '8.1.0')
('npm:eslint', '8.52.0')
('npm:p-limit', '3.1.0')
('npm:has-bigints', '1.0.2')
('go:github.com/rubenv/sql-migrate', '1.6.1')
('npm:is-generator-function', '1.0.10')
('npm:is-finalizationregistry', '1.0.2')
('npm:@types/classnames', '2.3.1')
('npm:@nodelib/fs.stat', '2.0.5')
('npm:is-shared-array-buffer', '1.0.3')
('npm:setprototypeof', '1.1.0')
('npm:color-name', '1.1.4')
('npm:micromark-util-decode-numeric-character-reference', '2.0.0')
('npm:fastq', '1.15.0')
('npm:@discoveryjs/json-ext', '0.5.7')
('npm:@webpack-cli/serve', '2.0.5')
('go:google.golang.org/genproto/googleapis/api', '0.0.0-20231016165738-49dd2c1f3d0b')
('npm:resolve-from', '5.0.0')
('npm:entities', '2.2.0')
('npm:@types/body-parser', '1.19.2')
('npm:minimatch', '3.1.2')
('npm:utils-merge', '1.0.1')
('npm:ms', '2.0.0')
('npm:enhanced-resolve', '5.15.0')
('npm:micromark-util-character', '2.0.1')
('npm:@webassemblyjs/helper-wasm-section', '1.11.6')
('npm:anymatch', '3.1.3')
('npm:@jridgewell/trace-mapping', '0.3.9')
('npm:braces', '3.0.3')
('npm:http-proxy-middleware', '2.0.6')
('npm:domutils', '2.8.0')
('npm:get-stream', '6.0.1')
('npm:@types/http-proxy', '1.17.11')
('npm:remark-parse', '11.0.0')
('go:github.com/go-kit/log', '0.2.1')
('npm:import-fresh', '3.3.0')
('npm:globals', '13.22.0')
('npm:bundle-name', '4.1.0')
('npm:globalthis', '1.0.3')
('npm:string.prototype.trim', '1.2.9')
('go:github.com/gorilla/csrf', '1.7.2')
('npm:neo-async', '2.6.2')
('npm:function-bind', '1.1.2')
('npm:yargs-unparser', '2.0.0')
('npm:@types/bonjour', '3.5.13')
('npm:@types/ws', '8.5.10')
('npm:iconv-lite', '0.4.24')
('npm:loader-runner', '4.3.0')
('npm:nise', '5.1.4')
('npm:parent-module', '1.0.1')
('npm:commander', '2.20.3')
('npm:range-parser', '1.2.1')
('npm:jest-worker', '27.5.1')
('npm:is-weakref', '1.0.2')
('go:github.com/aws/aws-sdk-go-v2/internal/endpoints/v2', '2.6.13')
('go:filippo.io/edwards25519', '1.1.0')
('npm:@types/estree', '1.0.1')
('npm:normalize-path', '3.0.0')
('npm:@tsconfig/node16', '1.0.4')
('npm:@types/unist', '3.0.0')
('go:go.opencensus.io', '0.24.0')
('npm:path-parse', '1.0.7')
('npm:@webassemblyjs/helper-buffer', '1.11.6')
('npm:@remix-run/router', '1.17.0')
('npm:mime-types', '2.1.35')
('npm:depd', '1.1.2')
('npm:fast-json-stable-stringify', '2.1.0')
('npm:minimatch', '9.0.3')
('npm:@types/serve-static', '1.15.5')
('npm:@humanwhocodes/module-importer', '1.0.1')
('go:github.com/google/s2a-go', '0.1.7')
('npm:serve-index', '1.9.1')
('npm:y18n', '5.0.8')
('npm:once', '1.4.0')
('go:github.com/go-jose/go-jose/v4', '4.0.1')
('npm:log-symbols', '4.1.0')
('npm:property-information', '6.3.0')
('npm:natural-compare', '1.4.0')
('npm:available-typed-arrays', '1.0.7')
('npm:accepts', '1.3.8')
('npm:character-entities', '2.0.2')
('npm:es-errors', '1.3.0')
('npm:isarray', '2.0.5')
('go:github.com/prometheus/client_model', '0.5.0')
('npm:@types/hast', '3.0.1')
('npm:unist-util-visit-parents', '6.0.1')
('npm:@tsconfig/node10', '1.0.9')
('npm:is-regex', '1.1.4')
('npm:glob', '10.3.10')
('npm:es-object-atoms', '1.0.0')
('npm:ansi-styles', '6.2.1')
('npm:is-number-object', '1.0.7')
('go:google.golang.org/protobuf', '1.33.0')
('npm:concat-map', '0.0.1')
('npm:ajv', '6.12.6')
('npm:dom-serializer', '1.4.1')
('go:github.com/davecgh/go-spew', '1.1.1')
('npm:caniuse-lite', '1.0.30001512')
('npm:type-detect', '4.0.8')
('npm:function.prototype.name', '1.1.6')
('npm:@types/mocha', '10.0.7')
('npm:diff', '5.2.0')
('npm:glob', '7.2.0')
('npm:get-intrinsic', '1.2.4')
('npm:rechoir', '0.8.0')
('npm:compressible', '2.0.18')
('npm:nth-check', '2.1.1')
('go:github.com/aws/smithy-go', '1.20.3')
('npm:object.fromentries', '2.0.8')
('npm:lru-cache', '6.0.0')
('npm:inline-style-parser', '0.1.1')
('npm:@types/semver', '7.5.6')
('npm:wrap-ansi-cjs', '7.0.0')
('go:github.com/aws/aws-sdk-go-v2/service/ssooidc', '1.24.0')
('npm:ajv-keywords', '5.1.0')
('npm:mime', '1.6.0')
('npm:cssesc', '3.0.0')
('npm:has-tostringtag', '1.0.2')
('npm:@nodelib/fs.scandir', '2.1.5')
('go:golang.org/x/time', '0.3.0')
('npm:dns-packet', '5.6.1')
('npm:esutils', '2.0.3')
('npm:file-entry-cache', '6.0.1')
('npm:resolve', '2.0.0-next.5')
('npm:set-function-name', '2.0.2')
('go:github.com/googleapis/gax-go/v2', '2.12.0')
('npm:stylus-loader', '8.1.0')
('npm:@types/react-dom', '18.2.17')
('npm:is-path-inside', '3.0.3')
('go:github.com/coreos/go-oidc/v3', '3.10.0')
('go:github.com/aws/aws-sdk-go-v2/internal/ini', '1.8.0')
('npm:array-flatten', '1.1.1')
('go:golang.org/x/sys', '0.19.0')
('npm:resolve-cwd', '3.0.0')
('npm:@webassemblyjs/helper-api-error', '1.11.6')
('npm:domelementtype', '2.3.0')
('npm:acorn-jsx', '5.3.2')
('npm:micromark-core-commonmark', '2.0.0')
('npm:eslint-visitor-keys', '3.4.3')
('npm:resolve-from', '4.0.0')
('go:github.com/go-webauthn/webauthn', '0.10.2')
('npm:debug', '4.3.5')
('npm:mdast-util-to-string', '4.0.0')
('npm:he', '1.2.0')
('npm:@webassemblyjs/utf8', '1.11.6')
('npm:debug', '2.6.9')
('npm:mdast-util-from-markdown', '2.0.0')
('go:github.com/fxamacker/cbor/v2', '2.6.0')
('npm:lodash.get', '4.4.2')
('npm:default-gateway', '6.0.3')
('npm:imurmurhash', '0.1.4')
('npm:@typescript-eslint/types', '6.20.0')
('actions:actions/checkout', '4.*.*')
('npm:esquery', '1.5.0')
('npm:object.hasown', '1.1.4')
('npm:micromark-util-classify-character', '2.0.0')
('npm:@types/prop-types', '15.7.5')
('npm:@typescript-eslint/utils', '6.20.0')
('npm:path-exists', '4.0.0')
('npm:acorn-walk', '8.2.0')
('npm:json-stable-stringify-without-jsonify', '1.0.1')
('npm:hast-util-to-jsx-runtime', '2.2.0')
('npm:gopd', '1.0.1')
('npm:param-case', '3.0.4')
('npm:tslib', '2.6.2')
('npm:on-finished', '2.4.1')
('npm:nanoid', '3.3.7')
('npm:browser-stdout', '1.3.1')
('npm:@typescript-eslint/types', '6.14.0')
('npm:path-scurry', '1.10.1')
('go:cloud.google.com/go', '0.110.8')
('npm:minimatch', '5.1.6')
