('npm:mute-stream', '0.0.8')
('npm:astral-regex', '1.0.0')
('npm:babel-plugin-transform-es2015-literals', '6.22.0')
('npm:babel-plugin-transform-strict-mode', '6.24.1')
('npm:mixin-deep', '1.3.2')
('npm:npm-run-path', '2.0.2')
('npm:validator', '10.11.0')
('npm:balanced-match', '1.0.0')
('npm:shebang-command', '1.2.0')
('npm:babel-plugin-transform-es2015-block-scoped-functions', '6.22.0')
('npm:ieee754', '1.1.13')
('npm:lodash', '4.17.15')
('npm:topo', '2.0.2')
('npm:wrappy', '1.0.2')
('npm:fs-extra', '7.0.1')
('npm:babylon', '6.18.0')
('npm:sinon-chai', '2.14.0')
('npm:is-utf8', '0.2.1')
('npm:events', '1.1.1')
('npm:output-file-sync', '1.1.2')
('npm:reconnect-core', '1.3.0')
('npm:moment-timezone', '0.5.27')
('npm:anymatch', '2.0.0')
('npm:cookie', '0.4.0')
('npm:bytes', '3.0.0')
('npm:eslint-config-airbnb-base', '11.3.2')
('npm:babel-plugin-transform-es2015-modules-umd', '6.24.1')
('npm:escape-html', '1.0.3')
('npm:istanbul-lib-coverage', '1.2.1')
('npm:through', '2.3.8')
('npm:is-accessor-descriptor', '0.1.6')
('npm:json-schema-traverse', '0.4.1')
('npm:read-pkg', '2.0.0')
('npm:write-file-atomic', '2.4.3')
('npm:nan', '2.14.0')
('npm:postgres-bytea', '1.0.0')
('npm:rxjs', '6.5.5')
('npm:js-beautify', '1.10.3')
('npm:pg-packet-stream', '1.1.0')
('npm:encodeurl', '1.0.2')
('npm:swagger-ui-dist', '3.25.0')
('npm:trim-right', '1.0.1')
('npm:strip-ansi', '5.2.0')
('npm:babel-runtime', '6.26.0')
('npm:extend', '3.0.2')
('npm:semver', '4.3.2')
('npm:isarray', '0.0.1')
('npm:is-extendable', '0.1.1')
('npm:lodash', '^ 4.17.4')
('npm:latest-version', '3.1.0')
('npm:pstree.remy', '1.1.7')
('npm:extend-shallow', '3.0.2')
('npm:regjsgen', '0.2.0')
('npm:@types/body-parser', '1.19.1')
('npm:spdx-expression-parse', '3.0.0')
('npm:sequelize-pool', '2.3.0')
('npm:spdx-license-ids', '3.0.5')
('npm:class-utils', '0.3.6')
('npm:strip-json-comments', '2.0.1')
('npm:long', '4.0.0')
('npm:split', '1.0.1')
('npm:to-regex', '3.0.2')
('npm:har-schema', '2.0.0')
('npm:are-we-there-yet', '1.1.5')
('npm:file-uri-to-path', '1.0.0')
('npm:arr-flatten', '1.1.0')
('npm:rimraf', '2.6.3')
('npm:define-property', '2.0.2')
('npm:is-generator-function', '1.0.7')
('npm:timed-out', '4.0.1')
('npm:babel-eslint', '7.2.3')
('npm:color-name', '1.1.4')
('npm:espree', '6.2.1')
('npm:deep-extend', '0.6.0')
('npm:growl', '1.10.5')
('npm:async-listener', '0.6.10')
('npm:ecdsa-sig-formatter', '1.0.11')
('npm:semver', '6.3.0')
('npm:glob-parent', '2.0.0')
('npm:which', '1.3.1')
('npm:yallist', '3.1.1')
('npm:configstore', '3.1.2')
('npm:utils-merge', '1.0.1')
('npm:ms', '2.0.0')
('npm:string-width', '3.1.0')
('npm:millisecond', '0.1.2')
('npm:resolve', '1.15.0')
('npm:hosted-git-info', '2.8.5')
('npm:traverse', '0.6.6')
('npm:for-in', '1.0.2')
('npm:babel-helper-replace-supers', '6.24.1')
('npm:aws4', '1.11.0')
('npm:sinon', '1.17.7')
('npm:babel-plugin-transform-es2015-classes', '6.24.1')
('npm:nopt', '4.0.3')
('npm:buffer', '4.9.1')
('npm:clone', '2.1.2')
('npm:cli-color', '1.4.0')
('npm:iconv-lite', '0.4.24')
('npm:cors', '2.8.5')
('npm:undefsafe', '2.0.2')
('npm:to-regex-range', '2.1.1')
('npm:parent-module', '1.0.1')
('npm:commander', '2.20.3')
('npm:@stripe/react-stripe-js', '1.3.0')
('npm:range-parser', '1.2.1')
('npm:repeat-string', '1.6.1')
('npm:babel-helper-hoist-variables', '6.24.1')
('npm:superagent-retry', '0.6.0')
('npm:agent-base', '6.0.2')
('npm:ansi-escapes', '4.3.1')
('npm:unset-value', '1.0.0')
('npm:request', '2.88.2')
('npm:emoji-regex', '7.0.3')
('npm:babel-template', '6.26.0')
('npm:postgres-date', '1.0.4')
('npm:normalize-path', '3.0.0')
('npm:source-map-support', '0.4.18')
('npm:tunnel-agent', '0.6.0')
('npm:qs', '6.7.0')
