('npm:@babel/helper-module-transforms', '7.12.1')
('npm:tmp', '0.2.1')
('npm:@jest/transform', '26.6.2')
('npm:@types/ws', '7.4.0')
('npm:domexception', '2.0.1')
('npm:write-file-atomic', '3.0.3')
('npm:@graphql-toolkit/url-loader', '0.10.3')
('npm:mixin-deep', '1.3.2')
('npm:npm-run-path', '2.0.2')
('npm:balanced-match', '1.0.0')
('npm:shebang-command', '1.2.0')
('npm:lodash', '4.17.15')
('npm:@babel/plugin-syntax-top-level-await', '7.12.1')
('npm:async-retry', '1.3.1')
('npm:jest-message-util', '26.6.2')
('npm:wrappy', '1.0.2')
('npm:eventemitter3', '3.1.2')
('npm:is-utf8', '0.2.1')
('npm:@babel/helper-simple-access', '7.12.1')
('npm:escodegen', '1.14.3')
('npm:emittery', '0.7.2')
('npm:update-notifier', '4.1.3')
('npm:cookie', '0.4.0')
('npm:walker', '1.0.7')
('npm:configstore', '5.0.1')
('npm:escape-html', '1.0.3')
('npm:esquery', '1.3.1')
('npm:is-accessor-descriptor', '0.1.6')
('npm:json-schema-traverse', '0.4.1')
('npm:prompts', '2.4.0')
('npm:@graphql-toolkit/graphql-file-loader', '0.10.3')
('npm:@protobufjs/eventemitter', '1.1.0')
('npm:require_optional', '1.0.1')
('npm:json-buffer', '3.0.0')
('npm:encodeurl', '1.0.2')
('npm:wkt-parser', '1.2.4')
('npm:globby', '11.0.0')
('npm:ini', '1.3.7')
('npm:json-parse-even-better-errors', '2.3.1')
('npm:@babel/helper-module-imports', '7.12.5')
('npm:extend', '3.0.2')
('npm:rimraf', '3.0.2')
('npm:fastq', '1.7.0')
('npm:is-extendable', '0.1.1')
('npm:istanbul-lib-coverage', '3.0.0')
('npm:extend-shallow', '3.0.2')
('npm:@types/http-assert', '1.5.1')
('npm:async-limiter', '1.0.1')
('npm:@types/babel__traverse', '7.11.0')
('npm:@babel/template', '7.8.6')
('npm:class-utils', '0.3.6')
('npm:strip-json-comments', '2.0.1')
('npm:long', '4.0.0')
('npm:package-json', '6.5.0')
('npm:to-regex', '3.0.2')
('npm:terminal-link', '2.1.1')
('npm:@types/node-fetch', '2.5.7')
('npm:har-schema', '2.0.0')
('npm:@cnakazawa/watch', '1.0.4')
('npm:ts-invariant', '0.4.4')
('npm:jest-util', '26.6.2')
('npm:arr-flatten', '1.1.0')
('npm:@babel/plugin-syntax-class-properties', '7.12.1')
('npm:whatwg-mimetype', '2.3.0')
('npm:data-urls', '2.0.0')
