('npm:react-popper', '0.10.4')
('npm:handle-thing', '1.2.5')
('npm:wrappy', '1.0.2')
('npm:buffer-xor', '1.0.3')
('npm:style-loader', '0.21.0')
('npm:babylon', '6.18.0')
('npm:postcss-discard-duplicates', '4.0.0')
('npm:walker', '1.0.7')
('npm:@types/react-dom', '16.0.6')
('npm:@sinonjs/commons', '1.0.2')
('npm:multimatch', '2.1.0')
('npm:bonjour', '3.5.0')
('npm:lodash.isfinite', '3.3.2')
('npm:amdefine', '1.0.1')
('npm:extend', '3.0.2')
('npm:path-browserify', '0.0.0')
('npm:hash.js', '1.1.3')
('npm:spdx-expression-parse', '3.0.0')
('npm:sane', '2.5.2')
('npm:dns-txt', '2.0.2')
('npm:parseuri', '0.0.5')
('npm:are-we-there-yet', '1.1.5')
('npm:yargs-parser', '10.1.0')
('npm:dev-ip', '1.0.1')
('npm:timed-out', '4.0.1')
('npm:evp_bytestokey', '1.0.3')
('npm:leven', '2.1.0')
('npm:ms', '2.0.0')
('npm:randexp', '0.4.9')
('npm:postcss-normalize-charset', '4.0.0')
('npm:for-in', '1.0.2')
('npm:util.promisify', '1.0.0')
('npm:staged-git-files', '1.1.1')
('npm:streamfilter', '1.0.7')
('npm:jest-haste-map', '23.6.0')
('npm:webpack-notifier', '1.6.0')
('npm:npm-path', '2.0.4')
('npm:react-redux', '5.0.7')
('npm:source-map-support', '0.4.18')
('npm:tunnel-agent', '0.6.0')
('npm:sinon', '6.1.5')
('npm:is-descriptor', '0.1.6')
('npm:memory-fs', '0.4.1')
('npm:protractor', '5.4.0')
('npm:string-length', '2.0.0')
('npm:sprintf-js', '1.0.3')
('npm:check-error', '1.0.2')
('npm:stable', '0.1.8')
('npm:json3', '3.3.2')
('npm:selfsigned', '1.10.3')
('npm:is-fullwidth-code-point', '1.0.0')
('npm:snapdragon-node', '2.1.1')
('npm:rgba-regex', '1.0.0')
('npm:lodash.tonumber', '4.0.3')
('npm:array-differ', '1.0.0')
('npm:any-observable', '0.3.0')
('npm:stringify-object', '3.2.2')
('npm:colornames', '1.1.1')
('npm:object-component', '0.0.3')
('npm:cipher-base', '1.0.4')
('npm:didyoumean', '1.2.1')
('npm:sourcemap-istanbul-instrumenter-loader', '0.2.0')
('npm:normalize-path', '2.1.1')
('npm:browserify-rsa', '4.0.1')
('npm:async', '1.5.2')
('npm:filesize', '3.6.1')
('npm:oauth-sign', '0.9.0')
('npm:fb-watchman', '2.0.0')
('npm:joi', '11.4.0')
('npm:run-queue', '1.0.3')
('npm:chokidar', '1.7.0')
('npm:hmac-drbg', '1.0.1')
('npm:is-ci', '1.0.10')
('npm:lodash.get', '4.4.2')
('npm:immutable', '3.8.2')
('npm:signal-exit', '3.0.2')
('npm:expand-brackets', '0.1.5')
('npm:uuid', '3.3.2')
('npm:p-finally', '1.0.0')
('npm:browser-stdout', '1.3.1')
('npm:longest', '1.0.1')
('npm:test-exclude', '4.2.3')
('npm:typescript', '2.9.2')
('npm:domutils', '1.6.2')
('npm:glob-base', '0.3.0')
('npm:ecc-jsbn', '0.1.2')
('npm:buffer-fill', '1.0.0')
('npm:lodash.debounce', '3.1.1')
('npm:parseurl', '1.3.2')
('npm:redbox-react', '1.5.0')
('npm:workbox-webpack-plugin', '3.4.1')
('npm:workbox-google-analytics', '3.5.0')
('npm:tmpl', '1.0.4')
('npm:react-dom', '16.4.2')
('npm:hpack.js', '2.1.6')
('npm:sha.js', '2.4.9')
('npm:fs-extra', '7.0.0')
('npm:decamelize-keys', '1.1.0')
('npm:deep-equal', '1.0.1')
('npm:stream-http', '2.7.2')
('npm:globals', '9.18.0')
('npm:des.js', '1.0.0')
('npm:is-arrayish', '0.2.1')
('npm:pako', '1.0.6')
('npm:array-union', '1.0.2')
('npm:tough-cookie', '2.4.3')
('npm:cookie-signature', '1.0.6')
('npm:babel-preset-jest', '23.2.0')
('npm:json-loader', '0.5.7')
('npm:object-keys', '1.0.12')
('npm:buffer-alloc', '1.2.0')
('npm:cssnano-util-get-match', '4.0.0')
('npm:enzyme', '3.5.0')
('npm:react-dom', '16.4.1')
('npm:@types/jest', '23.1.3')
('npm:sisteransi', '0.1.1')
('npm:slice-ansi', '0.0.4')
('npm:lodash.padstart', '4.6.1')
('npm:aws-sign2', '0.7.0')
('npm:lcid', '1.0.0')
('npm:vinyl-file', '2.0.0')
('npm:@types/react', '16.4.6')
('npm:webpack-cli', '3.0.8')
('npm:color', '3.0.0')
('npm:browserify-cipher', '1.0.0')
('npm:availity-reactstrap-validation', '2.0.6')
('npm:lint-staged', '7.2.2')
('npm:string_decoder', '1.1.1')
('npm:cssesc', '0.1.0')
('npm:is-number', '3.0.0')
('npm:lodash.curry', '4.1.1')
('npm:history', '4.7.2')
('npm:reactstrap', '6.4.0')
('npm:@types/react-redux', '6.0.3')
('npm:ansi-styles', '3.2.1')
('npm:w3c-hr-time', '1.0.1')
('npm:browserify-aes', '1.1.1')
('npm:source-list-map', '2.0.0')
('npm:jest-worker', '23.2.0')
('npm:hash-base', '2.0.2')
('npm:dom-walk', '0.1.1')
('npm:cloneable-readable', '1.1.2')
('npm:object.values', '1.0.4')
('npm:workbox-sw', '3.5.0')
('npm:jest-each', '23.6.0')
('npm:react-dock', '0.2.4')
('npm:@types/react-redux', '6.0.6')
('npm:@webassemblyjs/leb128', '1.5.13')
('npm:webpack-log', '2.0.0')
('npm:eventsource', '0.1.6')
('npm:es-to-primitive', '1.1.1')
('npm:cssnano-util-same-parent', '4.0.0')
('npm:react-deep-force-update', '2.1.1')
('npm:rimraf', '2.6.2')
('npm:mimic-fn', '1.2.0')
('npm:array-equal', '1.0.0')
('npm:os-locale', '1.4.0')
